,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
2015-01-01,2.0862992348129028e-05,2.202905066903226e-05,2.276527791064516e-05,2.0944892340806452e-05,2.1586467486774196e-05,2.215480898032258e-05
2015-02-01,9.098837995828572e-06,9.896046814142857e-06,1.0611402119571428e-05,9.052207214242858e-06,9.67123031807143e-06,1.0403167463785715e-05
2015-03-01,3.6166887545806454e-05,3.963417444380968e-05,4.2887922219645164e-05,3.361414823935484e-05,3.6218232380720967e-05,3.93329994348129e-05
2015-04-01,3.9370854506933336e-05,4.1679836606799996e-05,4.341761666e-05,3.718183191056667e-05,3.890271571886e-05,4.056692574753334e-05
2015-05-01,3.561411531993549e-05,3.623326362645162e-05,3.566970227225807e-05,3.5273715935096776e-05,3.5708327504516126e-05,3.542879516516129e-05
2015-06-01,3.3464267551666664e-05,3.394459789476667e-05,3.3669547014e-05,3.1688832336e-05,3.22920313498e-05,3.1697718593166665e-05
2015-07-01,4.4188725735483866e-05,4.589692362580645e-05,4.6702604048387096e-05,4.5422711045161294e-05,4.707802789677419e-05,4.7622589577419355e-05
2015-08-01,4.241666146303226e-05,4.4279076522580645e-05,4.5099273319354836e-05,4.089539308109677e-05,4.251366656774193e-05,4.350656257096774e-05
2015-09-01,6.3082589577e-05,7.123701936597667e-05,7.917427433736666e-05,4.954741377933333e-05,5.7075386239181336e-05,6.624523634480667e-05
2015-10-01,3.9211524123225806e-05,4.246289873283871e-05,4.4973394455064516e-05,3.4796029320645165e-05,3.7485300472e-05,3.961305407625806e-05
2015-11-01,4.280493542026666e-05,4.4648446496266667e-05,4.50410532724e-05,4.3328668748576666e-05,4.4527554211766664e-05,4.4807987948500006e-05
2015-12-01,5.396162615739677e-05,5.884418420170323e-05,6.359230985349354e-05,5.4415010146558066e-05,5.847707933306774e-05,6.327904884530322e-05
2016-01-01,1.928360390952742e-05,2.0491593037780644e-05,2.0916699865464516e-05,1.8507783039789355e-05,1.9218421388879033e-05,1.9428186400522578e-05
2016-02-01,4.407834692517241e-05,4.593211897437931e-05,4.5377065511482763e-05,4.4721524748e-05,4.593186483403448e-05,4.528230874555172e-05
2016-03-01,2.9251149761612903e-05,3.303306636019355e-05,3.681900240258065e-05,3.1207727648387095e-05,3.4608541236161295e-05,3.83356555783871e-05
2016-04-01,3.078418003533334e-05,3.24528343776e-05,3.394502755966667e-05,3.0158883831e-05,3.1458621944566665e-05,3.32118995682e-05
2016-05-01,2.4049321186129033e-05,2.6782693648290325e-05,3.061610925454839e-05,2.4650505003548388e-05,2.725654742719355e-05,3.106144007483871e-05
2016-06-01,3.12035524398e-05,3.1614548107243334e-05,3.119532543316667e-05,2.5965234720216665e-05,2.632785595799e-05,2.673463028171e-05
2016-07-01,4.2931886638709676e-05,4.6398804668387097e-05,4.971402442903226e-05,4.2351567690000004e-05,4.552880330180646e-05,4.8696567660645164e-05
2016-08-01,4.1717087820645166e-05,4.274618172025807e-05,4.225381662987097e-05,4.19825274e-05,4.3052934211651614e-05,4.300910251387097e-05
2016-09-01,5.187567571859999e-05,5.5286690319123335e-05,5.59810321162e-05,5.0833859696866666e-05,5.385210346727e-05,5.4453450736863335e-05
2016-10-01,4.163850807532258e-05,4.2895686390712905e-05,4.361650542662258e-05,3.866466878283871e-05,3.9431645065940966e-05,3.981112406866258e-05
2016-11-01,5.296006712339333e-05,5.5400146381000005e-05,5.649634407233333e-05,5.130938575221666e-05,5.2676028961366666e-05,5.348451773006667e-05
2016-12-01,2.276953273451613e-05,2.432389362612903e-05,2.544107407548387e-05,2.4591375648387097e-05,2.5847572282258066e-05,2.7132638143225806e-05
2017-01-01,1.9852144763303225e-05,2.185858230548387e-05,2.389485512903226e-05,1.8551661359296774e-05,2.0086770884193547e-05,2.203734143129032e-05
2017-02-01,2.247366884e-05,2.3877869079285715e-05,2.4702738364642856e-05,2.1292018986964286e-05,2.2167010539642858e-05,2.3031356620000003e-05
2017-03-01,4.133162809551612e-05,4.420921327862581e-05,4.520344356301613e-05,4.121449307129032e-05,4.341118991655161e-05,4.447064117036129e-05
2017-04-01,4.699407137933333e-05,4.870942808446667e-05,4.9112237888666665e-05,4.8159726229e-05,4.935872290683334e-05,4.9666221165466666e-05
2017-05-01,4.760535152677419e-05,4.967749611774193e-05,5.106774222677419e-05,4.950543696645161e-05,5.1033085499999995e-05,5.2088534348387105e-05
2017-06-01,5.880209051666667e-05,6.092161456841e-05,6.143562679831334e-05,6.104191453e-05,6.3041920759196e-05,6.288325966827333e-05
2017-07-01,4.996430521935484e-05,5.21228538783871e-05,5.371807393870968e-05,5.2326907426451613e-05,5.4691701241451607e-05,5.664973757096775e-05
2017-08-01,3.436373436774193e-05,3.629987270645161e-05,3.7898511608064515e-05,3.2823869435483875e-05,3.461220186793548e-05,3.620374832603226e-05
2017-09-01,3.921708359373333e-05,4.1863221058333336e-05,4.403900273099999e-05,3.9758727106333335e-05,4.2129725349333334e-05,4.4067353258e-05
2017-10-01,3.654766750596129e-05,3.7089365865677425e-05,3.667342553548387e-05,3.611854128430645e-05,3.6119321831419354e-05,3.530892074387097e-05
2017-11-01,2.536740747825e-05,2.6319538576386667e-05,2.70172495708e-05,2.6649451088265667e-05,2.7157828476776665e-05,2.7367777233633333e-05
2017-12-01,3.059554776448387e-05,3.2118747514677415e-05,3.300936910451613e-05,3.212765414287097e-05,3.298712283612903e-05,3.341874989064516e-05
2018-01-01,3.0162984991935482e-05,3.1463187252258065e-05,3.203962385516129e-05,3.142578904387096e-05,3.205607396387097e-05,3.2432958436451606e-05
2018-02-01,4.393346092857143e-05,4.7109857405657147e-05,4.8750738388775e-05,4.498580938678571e-05,4.720878197142393e-05,4.837045157150714e-05
2018-03-01,3.406735738548387e-05,3.568604373374193e-05,3.646077997409677e-05,3.405691707634839e-05,3.492912277237097e-05,3.538020606967742e-05
2018-04-01,4.7356658439166666e-05,4.891272119682e-05,4.980083233511e-05,4.638398014833334e-05,4.7231558408640334e-05,4.782497618127233e-05
2018-05-01,5.907535596919355e-05,6.093262818953033e-05,6.140912039225161e-05,5.7254708338838706e-05,5.820264734955871e-05,5.838458614469226e-05
2018-06-01,3.443817699333333e-05,3.5726112105964665e-05,3.6174383155766666e-05,3.385178080733333e-05,3.515657245022933e-05,3.572511071789767e-05
2018-07-01,2.3474710787096775e-05,2.4755954589258062e-05,2.5613269314193546e-05,2.247563389032258e-05,2.363240981829032e-05,2.4395517897612903e-05
2018-08-01,5.186697575129032e-05,5.4408275112580644e-05,5.6807916060000005e-05,4.6092760801290326e-05,4.7906600118354836e-05,5.0146163221806456e-05
2018-09-01,2.2899271803333332e-05,2.3895742253676668e-05,2.4794333764633336e-05,2.182210089033333e-05,2.2621456344216666e-05,2.341213168215e-05
2018-10-01,4.0902640886774195e-05,4.241095264387097e-05,4.2392377765161285e-05,4.080714923e-05,4.1697143598709676e-05,4.133973834129032e-05
2018-11-01,1.3746205403666667e-05,1.4136524868783334e-05,1.4505434553166667e-05,1.4380769671e-05,1.4408725418243334e-05,1.4580205622133331e-05
2018-12-01,4.554631354209678e-05,5.0419627268948385e-05,5.471088545980645e-05,4.151502151664517e-05,4.5418536005954835e-05,4.9801372420096775e-05
