,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
2015-01-01,4.0737171584870965e-05,4.3440503855806454e-05,4.548949439854839e-05,4.178945097247742e-05,4.37025585607742e-05,4.574467207006452e-05
2015-02-01,1.9479505726214284e-05,2.0527144537232143e-05,2.1031707729550002e-05,1.9390173877285714e-05,2.001753073237143e-05,2.0403993919e-05
2015-03-01,2.805178729116129e-05,3.136082162706452e-05,3.511738287464516e-05,2.6638243499580645e-05,2.920148924103226e-05,3.2557282734451614e-05
2015-04-01,1.6573797576666667e-05,1.6384095847333333e-05,1.6170445480333333e-05,1.5947607224333334e-05,1.570327866616667e-05,1.5534794045333335e-05
2015-05-01,6.23321320747742e-05,6.440099640441936e-05,6.381903478477419e-05,5.9573648030806446e-05,6.120018078974194e-05,6.102264336864516e-05
2015-06-01,1.8603268183333333e-05,1.88408485864e-05,1.8783747003333335e-05,1.7209334599333335e-05,1.733622269546667e-05,1.7356608795e-05
2015-07-01,4.397292054193548e-05,4.456383898903225e-05,4.407468246451613e-05,4.246300380967742e-05,4.2884686503225806e-05,4.251649038709678e-05
2015-08-01,3.495541759225806e-05,3.6180794790645166e-05,3.6964830313548386e-05,3.5741613812903224e-05,3.677212442548387e-05,3.735717084451613e-05
2015-09-01,2.2046503332133333e-05,2.2606472653266667e-05,2.4990229979000002e-05,2.4619655487666667e-05,2.50207109855e-05,2.6936314319466665e-05
2015-10-01,4.710668413301613e-05,4.74589214466129e-05,4.975012320954839e-05,4.8425149069893546e-05,4.859477231112903e-05,5.027600024380645e-05
2015-11-01,4.608109362053333e-05,4.7146882044466667e-05,4.7734923469100005e-05,4.618729878316667e-05,4.6416201076983335e-05,4.65695111326e-05
2015-12-01,3.4627505324290325e-05,3.692529975254839e-05,3.8704813688825805e-05,3.1459691996741936e-05,3.279287370774194e-05,3.4191662310741934e-05
2016-01-01,3.4934261474064515e-05,3.7492077459096774e-05,3.9356147365612904e-05,3.4950125855290324e-05,3.672795914248387e-05,3.835342095129033e-05
2016-02-01,3.496951065537931e-05,3.647682480862069e-05,3.6564641133103446e-05,3.4559164564827584e-05,3.5414698491034486e-05,3.5312389152758625e-05
2016-03-01,3.5695541178064516e-05,3.8722363108622576e-05,4.0897198447032256e-05,3.392393389803226e-05,3.612545920251613e-05,3.810330949728387e-05
2016-04-01,3.3177309573333335e-05,3.4294497107199995e-05,3.463975076566667e-05,3.346432426813334e-05,3.4257417701666665e-05,3.4743386391666664e-05
2016-05-01,5.119233918232258e-05,5.221616336332258e-05,5.2819114132258064e-05,5.317865737425806e-05,5.42577838923871e-05,5.5405118886451616e-05
2016-06-01,3.2732921701e-05,3.3615608855166665e-05,3.3828493577e-05,3.276926361866667e-05,3.3398195136333335e-05,3.349797125833334e-05
2016-07-01,5.0971063409677415e-05,5.335798017741936e-05,5.5830427635483874e-05,4.999104415354839e-05,5.2105651277419354e-05,5.4634890590322584e-05
2016-08-01,4.86449728e-05,5.125562570032258e-05,5.3623122493548384e-05,5.061804696129033e-05,5.256774640225806e-05,5.4228731558064516e-05
2016-09-01,2.981362626366667e-05,3.233954430286667e-05,3.520399066666667e-05,3.0101860025166668e-05,3.2391854136e-05,3.502935067766667e-05
2016-10-01,2.181958385781097e-05,2.332234193064516e-05,2.4227970884838708e-05,1.963001925739355e-05,2.0873312805806453e-05,2.1788399447096773e-05
2016-11-01,1.4699080480233334e-05,1.5554509969766666e-05,1.6361776082333335e-05,1.46659043505e-05,1.5277689478733333e-05,1.6019465640333332e-05
2016-12-01,6.303585597419354e-05,6.575558062664516e-05,6.608717934354839e-05,6.494250194000001e-05,6.667522343258065e-05,6.690892768193549e-05
2017-01-01,2.3513817443664516e-05,2.5721738073387096e-05,2.7446250856129032e-05,2.361502822467742e-05,2.5422259630645164e-05,2.716048124483871e-05
2017-02-01,2.7091667834535715e-05,2.8332469634071428e-05,2.9026371674428572e-05,2.9052595366785713e-05,2.9749370837392857e-05,3.018522818857143e-05
2017-03-01,3.10442691e-05,3.282824247658064e-05,3.466890917303226e-05,2.9049207796774195e-05,3.024565565516129e-05,3.189613166612903e-05
2017-04-01,2.0959583427599998e-05,2.3229582756333336e-05,2.6938608301e-05,2.0500754885766666e-05,2.2347443985933333e-05,2.5745226776166667e-05
2017-05-01,6.186472658387097e-05,6.410625773248387e-05,6.427034622903227e-05,6.19420830435484e-05,6.387791955977419e-05,6.430004714725807e-05
2017-06-01,4.369402508133333e-05,4.354129052066667e-05,4.4665597773333335e-05,4.364056777733334e-05,4.3683239465999996e-05,4.4992435173333335e-05
2017-07-01,3.499757267580645e-05,3.578807645816129e-05,3.637926972967742e-05,3.3798615333870965e-05,3.451070104483871e-05,3.5567108246774195e-05
2017-08-01,2.5912601424612903e-05,2.616446521135484e-05,2.5994911735483872e-05,2.4600212911774194e-05,2.4650214161387097e-05,2.4549266497806453e-05
2017-09-01,4.038866447583333e-05,4.149749255353334e-05,4.157806276436666e-05,4.2880074506e-05,4.3608497470866665e-05,4.325191000286667e-05
2017-10-01,3.9189301826258065e-05,3.9499111714e-05,3.9155861400193546e-05,3.9458706097903224e-05,3.938599363193548e-05,3.871251872677419e-05
2017-11-01,2.6995288335903332e-05,2.745925183105667e-05,2.8217121426416666e-05,2.895947908952333e-05,2.8794467067866665e-05,2.9081555082383336e-05
2017-12-01,2.8412416182903226e-05,3.00607509286129e-05,3.138501297916129e-05,2.8357449083548387e-05,2.935476431367742e-05,3.0435912032903226e-05
2018-01-01,3.4213722063774196e-05,3.6640242836904836e-05,3.869088409612903e-05,3.3482561695451614e-05,3.51589382537e-05,3.7103060916774196e-05
2018-02-01,2.3280132777785715e-05,2.471795158521214e-05,2.577038249599643e-05,2.3809186032392855e-05,2.4765589063021784e-05,2.5618958436060715e-05
2018-03-01,3.411377829435484e-05,3.621245870825387e-05,3.710746712506129e-05,3.1158000025000003e-05,3.25959405286871e-05,3.361448359503871e-05
2018-04-01,2.2252477137333332e-05,2.3786866529333333e-05,2.5783855215933332e-05,2.3447826047000002e-05,2.4542084369566668e-05,2.632347659586667e-05
2018-05-01,3.355609377741935e-05,3.453078022632258e-05,3.500207897641935e-05,3.193371521225807e-05,3.2352607486e-05,3.252885676083871e-05
2018-06-01,1.9427676506666667e-05,1.9344306805586666e-05,1.90355166129e-05,2.019548603666667e-05,2.00214369091e-05,1.97994209675e-05
