,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,78.94377,78.81252,78.51188,80.09366,80.065216,79.921425
1990-01-02,79.96858,78.35873,76.03889,82.201035,80.67723,78.48681
1990-01-03,77.586075,76.81083,75.76458,78.51853,77.89542,77.12274
1990-01-04,80.57687,79.73645,78.45503,81.73924,80.9106,79.655914
1990-01-05,81.60977,80.442566,78.91832,83.81746,82.59356,80.86022
1990-01-06,75.30879,74.242226,72.460945,78.020454,77.03501,75.219765
1990-01-07,70.30514,69.557816,68.69185,71.12402,70.22059,69.231735
1990-01-08,83.27688,84.12627,85.006294,82.101364,82.858536,83.68435
1990-01-09,96.47921,96.24073,95.86748,97.001686,96.72261,96.32444
1990-01-10,91.8302,91.726036,91.680214,92.24746,92.07892,91.96377
1990-01-11,86.43804,86.22728,85.817566,87.02216,86.84286,86.43369
1990-01-12,70.28267,70.37809,70.747665,67.89906,68.15432,69.03768
1990-01-13,71.86823,71.404686,70.98961,70.592186,70.06533,69.787056
1990-01-14,71.38949,71.16081,71.43758,70.684044,70.41556,70.75673
1990-01-15,85.58531,85.18998,84.779976,85.78053,85.44332,85.216545
1990-01-16,75.421906,74.93891,74.09599,75.056046,74.52934,73.548706
1990-01-17,82.19353,81.12399,79.70024,81.93715,80.75727,79.23554
1990-01-18,97.177185,96.8467,96.37818,97.1729,96.86295,96.553474
1990-01-19,96.31756,96.17722,95.91985,97.36684,97.24963,96.95225
1990-01-20,90.471275,89.98229,89.35738,91.17507,90.71888,90.16512
1990-01-21,95.16821,94.59597,93.66473,94.90086,94.37945,93.58386
1990-01-22,87.68907,87.258224,86.64627,88.43634,88.06087,87.56684
1990-01-23,83.45214,82.76337,81.80201,83.652115,83.047165,82.2851
1990-01-24,90.00728,89.47883,88.832695,90.56204,90.06884,89.51798
1990-01-25,90.54355,90.28333,89.97458,90.65392,90.33698,89.94847
1990-01-26,89.6984,89.408615,89.13049,90.08239,89.720764,89.34024
1990-01-27,82.70172,82.48372,82.16235,83.949524,83.79739,83.57861
1990-01-28,70.07071,70.044624,70.17056,67.66,67.81674,68.31231
1990-01-29,62.590332,62.35906,62.22876,59.150497,58.965084,59.11141
1990-01-30,76.90055,77.0546,78.009056,74.376976,74.56644,75.96397
1990-01-31,60.570763,60.46205,60.351547,59.247917,58.94864,58.824783
1990-02-01,67.04545,66.58244,66.48397,65.94906,65.42486,65.48262
1990-02-02,88.900955,88.74379,88.50162,88.727684,88.61688,88.54003
1990-02-03,82.98866,82.89432,82.51465,83.7481,83.70025,83.31714
1990-02-04,55.509533,55.413887,55.290863,52.93601,52.81853,52.82973
1990-02-05,65.01143,64.273964,63.20854,64.74841,63.965065,62.931366
1990-02-06,71.15678,71.15746,71.371666,69.11537,69.23129,69.873344
1990-02-07,79.22389,78.93812,78.73871,79.79592,79.4563,79.20108
1990-02-08,62.108913,60.7863,60.125015,62.684395,61.186337,60.160168
1990-02-09,70.40434,69.80324,68.94884,71.03651,70.48918,69.778
1990-02-10,80.22945,79.41464,77.96784,81.76002,80.92962,79.54764
1990-02-11,68.94171,68.55206,68.49136,71.16251,70.805336,70.64945
1990-02-12,79.69623,79.10364,78.442604,82.39456,81.815956,81.01671
1990-02-13,91.79484,92.0475,92.43428,92.58499,92.892044,93.390785
1990-02-14,87.047646,86.70043,86.222244,87.77833,87.415794,86.95614
1990-02-15,66.46574,66.067894,65.77944,64.22004,63.808224,63.615395
