,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,213.58296,215.64668,217.06009,215.6117,214.96667,215.68823
1990-01-02,198.06247,198.94669,196.75308,203.12494,201.3585,197.66937
1990-01-03,189.5142,190.95837,189.99245,194.47955,193.14552,190.44954
1990-01-04,181.62311,182.98502,182.55698,186.59644,185.67963,184.02728
1990-01-05,163.11102,164.42479,163.81764,164.96112,164.36037,163.44795
1990-01-06,185.67133,187.34766,187.09831,186.87376,186.36671,185.70575
1990-01-07,205.89896,206.69437,205.46394,207.41315,205.7609,203.95898
1990-01-08,252.93724,254.03094,252.92958,256.70926,254.56755,252.37424
1990-01-09,302.6697,302.53384,298.75647,306.51382,302.85678,298.2656
1990-01-10,312.31726,313.66977,310.88004,319.50613,317.40393,313.8051
1990-01-11,255.50056,256.50745,254.46216,260.14276,258.21838,255.46368
1990-01-12,232.3074,233.40865,232.55475,239.43645,237.6703,235.61934
1990-01-13,234.69554,234.93414,232.54805,241.28369,238.52414,234.97795
1990-01-14,234.95337,236.17996,234.15569,239.1115,237.24625,234.07207
1990-01-15,259.5448,259.63434,256.9887,264.44934,261.53793,258.0796
1990-01-16,209.85701,211.1397,211.39868,206.34421,204.91516,204.84514
1990-01-17,212.58989,213.81299,213.44756,212.71547,211.18724,209.90086
1990-01-18,275.06262,275.69327,273.3181,278.62357,275.9861,272.82242
1990-01-19,291.0435,291.87103,289.33844,294.17807,291.35654,287.57614
1990-01-20,277.39084,277.63556,274.19138,279.67218,276.68738,272.45276
1990-01-21,277.11188,277.6331,274.68988,278.60764,275.62997,271.61633
1990-01-22,256.08398,256.70312,254.43498,261.90268,259.21146,255.68103
1990-01-23,225.19598,225.29607,223.2728,225.75899,223.18826,220.79926
1990-01-24,264.75104,263.55615,259.49203,267.40408,262.91064,257.65668
1990-01-25,285.5512,285.798,282.31012,284.7173,281.7468,277.55518
1990-01-26,287.04062,286.7326,282.95883,283.13046,279.6681,275.20352
1990-01-27,254.2914,255.32515,253.5102,257.21503,255.03116,252.12741
1990-01-28,231.89839,232.90955,229.67508,239.23622,237.65866,233.49263
1990-01-29,199.44354,200.25096,199.4022,201.91515,200.11319,198.75595
1990-01-30,217.22038,219.54826,220.5797,215.59349,215.40782,216.23724
1990-01-31,213.8117,214.17047,212.34276,218.44713,216.09277,213.47876
1990-02-01,215.22424,216.41559,214.61948,220.28433,218.79922,216.19844
1990-02-02,261.52734,262.3959,261.17114,263.90002,261.7379,260.0357
1990-02-03,292.49258,294.4718,292.5702,294.83838,293.52698,290.89056
1990-02-04,222.54414,224.82428,224.32224,221.90852,221.65419,220.65347
1990-02-05,189.17711,190.3904,189.64342,190.47566,189.2608,188.24863
1990-02-06,212.46248,214.5893,214.67642,214.08577,213.55528,212.78763
1990-02-07,243.0917,244.63815,243.54678,247.19759,245.89166,243.87949
1990-02-08,206.90144,207.84569,206.15584,210.49623,208.80215,206.087
1990-02-09,204.2649,205.77943,205.07909,207.85468,206.84364,205.35915
1990-02-10,215.06834,216.40144,215.59784,217.83765,216.61711,215.0424
1990-02-11,191.54198,192.68791,191.25117,193.72153,192.44008,190.27667
1990-02-12,201.88853,202.5715,201.10367,203.67961,201.84491,199.5695
1990-02-13,270.99536,271.4405,268.44022,274.44815,271.70837,268.05923
1990-02-14,274.88354,276.1791,274.25037,278.19052,276.10114,273.28006
1990-02-15,235.22025,235.78758,233.06729,237.56526,235.31306,231.66846
1990-02-16,243.93375,245.5507,244.24161,244.38878,243.24574,241.32497
1990-02-17,189.11064,190.6436,190.49107,192.02354,191.13753,189.76152
1990-02-18,190.23503,191.15866,190.21593,192.37134,191.06802,189.53879
1990-02-19,195.09052,196.28561,195.376,196.86853,195.7512,194.3192
1990-02-20,244.18799,246.10832,245.3151,245.73647,244.8849,243.32658
1990-02-21,237.10638,237.64603,235.2118,240.3139,238.1987,235.00194
1990-02-22,242.84671,242.62521,239.5709,247.07436,243.75189,239.61049
1990-02-23,258.952,259.26352,256.1872,262.11768,259.17426,254.94432
1990-02-24,188.40314,189.7745,188.91307,188.50507,187.5439,186.03447
1990-02-25,166.10368,167.86205,168.59956,166.89491,166.29787,165.97076
1990-02-26,201.44124,202.8809,202.90746,202.75859,201.29396,200.01875
1990-02-27,217.92343,218.86493,220.3694,219.55116,217.82251,218.3837
1990-02-28,274.73862,275.03336,271.80765,279.6988,276.70963,272.484
1990-03-01,217.05006,218.4515,218.34071,222.00781,220.71661,219.49538
1990-03-02,232.07773,233.88515,232.89925,231.8351,231.04036,229.52028
1990-03-03,182.50923,185.39038,186.41673,184.55821,185.16772,185.43777
1990-03-04,172.64005,173.1763,171.63744,175.00916,173.54033,171.36763
1990-03-05,216.29376,216.49213,214.488,220.14247,217.5598,214.63503
1990-03-06,231.86063,231.62782,228.99316,233.6742,230.62958,227.36496
1990-03-07,261.129,262.22842,259.8071,262.14777,260.33627,257.2993
1990-03-08,228.85898,231.26389,232.43597,227.64609,227.22615,228.02957
1990-03-09,247.53568,250.78949,250.7855,249.94464,250.14197,249.62234
1990-03-10,254.81073,257.68796,256.28198,259.23615,259.07224,256.9279
1990-03-11,253.28539,257.15936,255.71231,257.7154,258.54785,256.09756
1990-03-12,248.82558,252.30026,252.94281,250.7842,251.60219,251.7839
1990-03-13,279.43286,281.78607,279.61185,283.02457,282.1525,279.3579
1990-03-14,268.15848,269.95563,268.8016,269.44244,268.3801,266.4845
1990-03-15,275.2419,278.8487,277.73386,276.6615,277.1547,275.1765
1990-03-16,283.8151,286.50583,285.70624,285.04156,284.51645,283.0562
1990-03-17,233.14192,234.55554,231.92717,240.24869,238.78563,234.72345
1990-03-18,215.87999,216.93666,215.33913,219.5241,217.82845,215.38423
1990-03-19,209.64536,209.81693,207.94014,213.60965,211.44402,208.7716
1990-03-20,185.14073,185.76984,184.96317,187.49042,185.71277,184.01624
1990-03-21,234.69548,235.12262,232.85316,238.16107,235.79819,232.66837
1990-03-22,253.82529,252.99178,249.37064,259.5553,255.84685,251.0487
1990-03-23,240.5751,239.30884,236.55344,246.9291,242.45413,238.35915
1990-03-24,282.61386,281.17557,276.28717,289.4335,284.6103,278.58658
1990-03-25,273.89062,272.8812,268.8429,274.7011,270.61902,266.38098
1990-03-26,249.37685,248.8881,246.4914,246.2241,242.9838,241.00403
1990-03-27,258.08072,259.69257,258.28677,260.50067,259.34647,257.49356
1990-03-28,231.80757,231.65442,228.51927,234.66591,231.7792,227.86542
1990-03-29,209.99323,211.57765,211.06468,214.62718,213.72058,212.37555
1990-03-30,201.05525,202.46832,202.35986,207.15288,206.05345,204.53384
1990-03-31,192.18692,193.98134,193.55516,195.17665,194.92929,193.53635
1990-04-01,223.93979,225.04306,223.14842,228.25835,226.57892,223.67775
1990-04-02,199.60469,198.02678,195.36842,204.21657,200.10896,196.60732
1990-04-03,200.17871,199.14037,197.858,200.89417,197.55771,196.06538
1990-04-04,276.0488,274.84924,270.6178,277.56415,273.44424,268.71118
1990-04-05,326.54138,326.29367,321.66553,331.0997,327.36365,321.943
1990-04-06,333.14114,334.12567,329.67795,337.05554,334.68542,329.52066
1990-04-07,303.1701,303.15598,299.5031,312.15216,308.71082,303.80716
1990-04-08,294.3853,295.58533,293.10873,296.9123,294.87396,291.54523
1990-04-09,288.79446,289.00696,285.789,292.12277,289.08755,284.9701
1990-04-10,284.27048,284.85062,282.54816,288.5694,285.9313,282.77493
1990-04-11,271.64886,271.05432,268.0822,278.20926,274.5361,270.4861
1990-04-12,266.68594,266.0668,261.4329,273.87866,270.1278,264.38116
1990-04-13,263.0693,261.91202,257.51947,266.2238,261.92776,256.7275
1990-04-14,285.4502,284.89786,280.75107,286.99817,283.29614,278.2984
1990-04-15,274.4996,275.5462,273.33282,276.81537,274.84116,271.7672
1990-04-16,250.8216,253.06894,251.92116,254.22908,253.7032,251.67897
1990-04-17,202.67107,202.52742,201.11401,203.94484,201.61447,199.77083
1990-04-18,239.53725,239.70747,237.52307,239.36784,236.91832,234.1546
1990-04-19,237.51323,238.38876,236.61073,237.16309,235.44424,233.24805
1990-04-20,244.90834,245.2902,243.18385,246.96455,244.83337,242.33752
1990-04-21,251.0959,251.30092,249.02008,255.30687,252.5882,249.39534
