,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,266.2832,266.19266,265.81845,266.37994,266.16693,265.91028
1990-01-02,261.33997,261.15002,260.6267,261.78223,261.44385,260.93234
1990-01-03,259.22467,259.01483,258.3375,259.4659,259.11877,258.51654
1990-01-04,256.1834,255.88373,255.34122,256.19348,255.76985,255.33293
1990-01-05,256.34222,256.0354,255.34647,256.66705,256.2105,255.56363
1990-01-06,261.27594,260.79956,260.07407,261.0689,260.46634,259.7823
1990-01-07,268.9229,268.37653,267.36884,268.90686,268.22986,267.28827
1990-01-08,273.8525,273.3282,272.3385,273.94397,273.30103,272.44012
1990-01-09,277.96332,277.34262,276.2088,278.24323,277.5362,276.55164
1990-01-10,279.83972,279.51562,278.65094,280.08472,279.73303,279.1162
1990-01-11,274.35736,273.93866,273.00842,274.42245,273.92786,273.185
1990-01-12,271.75183,271.38962,270.60806,271.73306,271.28644,270.69104
1990-01-13,271.75372,271.3761,270.5695,271.9284,271.44724,270.80432
1990-01-14,271.34015,270.89038,270.05014,271.64322,271.09723,270.38354
1990-01-15,271.9003,271.51215,270.8037,271.93127,271.43726,270.88843
1990-01-16,269.45953,269.11758,268.42554,269.06714,268.63028,268.0879
1990-01-17,270.78326,270.38226,269.54156,270.7448,270.24252,269.54056
1990-01-18,274.59192,274.26953,273.54138,274.71686,274.27942,273.68225
1990-01-19,275.7811,275.42725,274.66003,275.6723,275.196,274.53412
1990-01-20,275.41205,275.1056,274.36533,275.30444,274.91415,274.35037
1990-01-21,275.7124,275.31573,274.45596,275.48004,274.96445,274.2442
1990-01-22,274.67123,274.29443,273.44647,274.6323,274.16925,273.51086
1990-01-23,271.86328,271.56912,270.89594,271.9947,271.60596,271.10815
1990-01-24,275.31198,274.7597,273.7735,275.49744,274.84094,274.0093
1990-01-25,277.0598,276.60812,275.6347,276.304,275.75916,274.96167
1990-01-26,276.97318,276.42517,275.4512,275.4403,274.81873,274.07855
1990-01-27,275.8153,275.28802,274.3118,275.62344,274.976,274.14133
1990-01-28,272.33432,271.97864,271.0704,272.14697,271.69806,270.9673
1990-01-29,272.2711,271.9171,271.0959,272.37305,271.91678,271.28162
1990-01-30,271.9085,271.69205,271.03143,271.8202,271.50964,271.03378
1990-01-31,269.7381,269.48734,268.79123,269.34186,268.98157,268.47266
1990-02-01,271.82935,271.4815,270.6785,271.87103,271.3968,270.7335
1990-02-02,274.09674,273.5709,272.61926,274.56702,273.89948,273.00912
1990-02-03,274.23468,273.69427,272.60132,274.43228,273.75714,272.7433
1990-02-04,265.7757,265.63025,265.0959,265.49316,265.234,264.84058
1990-02-05,264.16968,263.8675,263.1463,263.97748,263.54907,262.96353
1990-02-06,268.49182,268.1869,267.52155,268.64893,268.22015,267.69366
1990-02-07,270.745,270.66324,270.17657,270.60965,270.4367,270.15427
1990-02-08,265.4339,265.33875,264.818,265.38757,265.1457,264.73413
1990-02-09,263.23138,263.14963,262.65033,263.15244,262.93597,262.54614
1990-02-10,264.22614,264.07666,263.6181,263.6994,263.44666,263.1468
1990-02-11,261.31723,261.22678,260.76434,261.0481,260.8424,260.5382
1990-02-12,260.623,260.36584,259.73187,259.84247,259.45032,258.9759
1990-02-13,272.0785,271.62207,270.67474,271.65515,271.06934,270.29303
1990-02-14,275.2057,274.93652,274.24332,274.8697,274.47256,273.9253
1990-02-15,270.33725,270.2094,269.63428,269.5909,269.42853,269.1726
1990-02-16,267.11633,266.97488,266.38678,266.3039,266.05487,265.6481
1990-02-17,262.42432,262.20895,261.59094,262.42554,262.06458,261.5122
1990-02-18,261.9903,261.76654,261.2217,261.84167,261.50958,261.07962
1990-02-19,267.9198,267.54224,266.79788,267.69165,267.1822,266.56042
1990-02-20,272.1748,271.8173,271.05255,272.25555,271.78406,271.16415
1990-02-21,272.67126,272.40558,271.66644,272.69104,272.3397,271.78632
1990-02-22,271.35175,271.006,270.20358,271.17773,270.72888,270.0816
1990-02-23,272.50507,272.34814,271.7345,272.2497,272.0386,271.63092
1990-02-24,261.1934,261.09424,260.69067,260.2958,260.04645,259.8024
1990-02-25,259.49457,259.18094,258.5697,258.6083,258.12177,257.60736
1990-02-26,268.73465,268.38235,267.62323,268.61987,268.10126,267.41766
1990-02-27,272.45444,272.15158,271.58475,272.42734,271.99054,271.5475
1990-02-28,274.81995,274.52518,273.7223,275.05066,274.6327,273.91705
1990-03-01,269.90674,270.05347,269.60815,269.23975,269.3649,269.23114
1990-03-02,263.7052,263.76056,263.43286,262.23682,262.19128,262.13785
1990-03-03,258.3325,258.18094,257.73917,258.20636,257.86877,257.47635
1990-03-04,258.87338,258.46735,257.58813,258.75763,258.15216,257.29468
1990-03-05,267.76447,267.305,266.51733,267.5595,266.93594,266.2183
1990-03-06,269.88776,269.4652,268.74243,269.98508,269.38687,268.69858
1990-03-07,274.1392,273.83997,273.12775,274.27002,273.85083,273.26068
1990-03-08,272.15723,271.97314,271.56934,272.0514,271.75446,271.48114
1990-03-09,272.46323,272.30182,271.78027,272.23843,271.96948,271.601
1990-03-10,273.28998,273.0615,272.42554,273.31573,273.00208,272.53082
1990-03-11,274.0307,273.71295,272.91727,274.2445,273.81204,273.135
1990-03-12,273.40356,273.1249,272.51382,273.57144,273.15817,272.6383
1990-03-13,276.2383,275.857,275.124,276.23706,275.7345,275.10648
1990-03-14,275.175,274.8955,274.2818,275.22043,274.7989,274.2697
1990-03-15,276.3653,276.31573,276.00272,275.89984,275.73743,275.59473
1990-03-16,277.5327,277.3579,276.88037,276.72116,276.4116,276.09717
1990-03-17,273.69672,273.34308,272.57867,273.81458,273.3346,272.6856
1990-03-18,271.62906,271.53668,271.06873,271.4063,271.20163,270.9159
1990-03-19,268.26123,268.30844,268.01376,268.0359,267.96564,267.83105
1990-03-20,266.24234,266.11096,265.73956,265.84927,265.60223,265.385
1990-03-21,271.54022,271.21857,270.54712,271.59412,271.1637,270.61334
1990-03-22,273.78583,273.4182,272.6678,274.1267,273.65497,273.0198
