,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,263.64496,263.46613,262.99295,263.76135,263.4693,263.0787
1990-01-02,257.3966,257.0473,256.44644,257.8092,257.30536,256.69284
1990-01-03,255.57875,255.32248,254.648,255.80502,255.41655,254.82104
1990-01-04,253.75024,253.37048,252.79887,253.76547,253.28128,252.82077
1990-01-05,251.37314,251.0068,250.26787,251.88814,251.35864,250.60971
1990-01-06,253.27786,252.76073,252.11522,253.24742,252.57454,251.89445
1990-01-07,261.82544,261.0766,259.9815,261.7209,260.79605,259.64502
1990-01-08,271.1885,270.4019,269.151,271.32178,270.394,269.24365
1990-01-09,271.38928,270.61252,269.49377,271.54578,270.6746,269.70255
1990-01-10,274.88345,274.53275,273.7601,275.08298,274.73093,274.2558
1990-01-11,270.48032,269.74982,268.55426,270.54724,269.72394,268.70038
1990-01-12,270.29773,269.78558,268.94385,270.3643,269.7927,269.16183
1990-01-13,269.83176,269.256,268.35928,269.9995,269.333,268.6343
1990-01-14,269.53442,268.99753,268.06506,269.755,269.13803,268.35593
1990-01-15,270.5285,269.9502,269.10214,270.57635,269.93573,269.3262
1990-01-16,266.58774,266.10895,265.41125,265.9541,265.396,264.89282
1990-01-17,266.90607,266.31644,265.2933,266.5925,265.93463,265.11386
1990-01-18,273.05112,272.53796,271.69016,273.19864,272.59387,271.92642
1990-01-19,272.4143,271.91467,271.16772,272.46616,271.8269,271.17184
1990-01-20,272.4007,271.91818,271.11005,272.4336,271.87366,271.2465
1990-01-21,273.08746,272.4975,271.4846,272.659,271.96265,271.12595
1990-01-22,271.85962,271.28394,270.21878,271.88092,271.26184,270.4665
1990-01-23,269.96213,269.48862,268.63916,270.0715,269.52762,268.8963
1990-01-24,268.2753,267.62677,266.69547,268.64627,267.87753,267.0688
1990-01-25,272.336,271.78864,270.7917,270.91818,270.26773,269.4409
1990-01-26,272.9805,272.54056,271.69095,271.34338,270.84238,270.20944
1990-01-27,266.5457,265.9486,265.095,266.60168,265.86807,265.1668
1990-01-28,271.07443,270.48895,269.34216,271.23038,270.57263,269.63245
1990-01-29,269.6016,269.10376,268.19424,269.7105,269.12836,268.4493
1990-01-30,268.49847,268.06985,267.2966,268.3996,267.9271,267.41574
1990-01-31,266.37878,266.0084,265.2697,265.5128,265.09537,264.67334
1990-02-01,269.052,268.54333,267.59448,268.99097,268.3694,267.60544
1990-02-02,264.808,264.03424,262.98724,265.93362,264.9521,263.8343
1990-02-03,261.72235,260.93634,259.67963,262.0955,261.11917,259.8415
1990-02-04,261.41446,261.11444,260.52325,260.80307,260.42523,260.04456
1990-02-05,260.49203,260.05673,259.31342,260.10822,259.5278,258.9231
1990-02-06,263.8825,263.32663,262.43134,263.9772,263.32806,262.63507
1990-02-07,268.7786,268.56653,267.9352,268.42737,268.1879,267.90686
1990-02-08,261.3759,261.11053,260.48697,261.36145,260.9433,260.40143
1990-02-09,258.3758,258.24268,257.80225,257.9944,257.7436,257.4609
1990-02-10,258.40384,258.0828,257.54196,257.86386,257.44162,257.03406
1990-02-11,255.66982,255.36844,254.78119,255.29298,254.90363,254.5187
1990-02-12,253.7443,253.33269,252.58183,252.54028,252.04935,251.55952
1990-02-13,266.02206,265.20944,263.92496,265.26764,264.32605,263.22632
1990-02-14,270.09467,269.7187,269.02914,269.5803,269.06387,268.50153
1990-02-15,267.16977,266.80588,265.99228,266.49237,266.1953,265.8379
1990-02-16,264.63577,264.34634,263.65833,263.62396,263.2605,262.8542
1990-02-17,257.55637,257.0966,256.32907,257.91254,257.29596,256.5512
1990-02-18,254.8342,254.58247,254.12221,254.51196,254.14261,253.75575
1990-02-19,260.19193,259.6989,259.02945,259.4695,258.82803,258.2622
1990-02-20,267.4243,266.7468,265.7021,267.49475,266.72113,265.87152
1990-02-21,269.94,269.41507,268.39075,269.9264,269.3515,268.57605
1990-02-22,267.9244,267.32584,266.33917,267.83133,267.16876,266.42673
1990-02-23,269.59705,269.33517,268.6408,269.31128,269.0639,268.72818
1990-02-24,252.74573,252.4528,251.96883,251.24988,250.79915,250.53581
1990-02-25,249.82678,249.45155,248.9054,248.12953,247.54184,247.0615
1990-02-26,261.9819,261.37726,260.45853,261.53723,260.73685,259.8786
1990-02-27,268.84882,268.38132,267.81915,268.71744,268.12442,267.7259
1990-02-28,271.3187,270.896,269.9658,271.62497,271.08606,270.24002
1990-03-01,264.8656,264.9072,264.39923,263.5849,263.71814,263.71915
1990-03-02,260.3315,260.12347,259.44095,258.90674,258.65897,258.40854
1990-03-03,251.42929,250.98999,250.23357,251.41684,250.85403,250.30132
1990-03-04,248.96835,248.38257,247.32123,248.75806,247.91983,246.79677
1990-03-05,261.48828,260.75085,259.82532,261.1351,260.17584,259.2356
1990-03-06,265.38318,264.71622,263.87152,265.2995,264.43225,263.58405
1990-03-07,272.17032,271.75165,271.02667,272.27728,271.7776,271.2172
1990-03-08,268.94598,268.7559,268.57797,268.19714,267.93323,268.00302
1990-03-09,269.8833,269.6579,269.2698,269.70438,269.4019,269.20535
1990-03-10,271.18134,270.8235,270.13098,271.4676,271.07062,270.58795
1990-03-11,270.20218,269.702,268.73914,271.07553,270.46783,269.57428
1990-03-12,267.03763,266.68222,266.0637,267.37665,266.89804,266.33243
1990-03-13,270.4188,270.114,269.59323,270.39398,269.95743,269.5367
1990-03-14,266.963,266.731,266.31165,266.43933,266.06525,265.72525
1990-03-15,269.1051,269.19138,269.1086,268.35788,268.3153,268.37872
1990-03-16,270.57224,270.34384,270.07312,269.17856,268.80597,268.72595
1990-03-17,266.704,265.87405,264.78232,267.1939,266.24887,265.23718
1990-03-18,269.5584,269.23282,268.4961,269.78513,269.37512,268.77048
1990-03-19,265.3188,265.34183,265.13348,264.79282,264.75,264.82513
1990-03-20,260.78857,260.61014,260.31686,260.12143,259.83115,259.72772
1990-03-21,268.0904,267.6484,266.94333,267.9584,267.42593,266.87936
1990-03-22,270.53967,269.97815,269.06824,271.3522,270.73978,269.9898
1990-03-23,266.21994,265.52686,264.53494,266.851,266.0468,265.14267
1990-03-24,269.42184,268.47836,267.26715,268.9682,267.88147,266.73294
1990-03-25,269.8711,269.53497,268.8198,269.1867,268.7668,268.23956
1990-03-26,268.94827,268.32407,267.35788,268.19028,267.46603,266.73364
1990-03-27,268.22772,267.652,266.75305,268.27972,267.6286,266.9792
1990-03-28,270.5916,270.2054,269.41803,271.01883,270.62042,270.06845
1990-03-29,257.6656,257.2806,256.69144,256.7221,256.26346,255.93504
1990-03-30,258.39728,257.92657,257.24023,258.10953,257.53815,257.01233
1990-03-31,259.58218,259.10446,258.37506,259.10785,258.53754,257.9392
1990-04-01,262.68793,262.3307,261.76187,262.168,261.70013,261.30008
1990-04-02,261.62793,261.0511,260.39047,261.3066,260.6576,260.1834
1990-04-03,264.10678,263.41483,262.63037,263.76785,262.9457,262.3046
1990-04-04,268.23804,267.571,266.63043,268.23883,267.50513,266.71405
1990-04-05,278.34512,277.6154,276.64246,278.2115,277.3855,276.57315
1990-04-06,282.18912,281.98175,281.25143,281.4765,281.27997,280.8175
1990-04-07,278.47635,278.2084,277.6532,278.13718,277.85342,277.57333
1990-04-08,274.57922,274.2496,273.51428,273.87253,273.51782,273.10046
1990-04-09,274.7296,274.2279,273.4868,274.28925,273.68506,273.1211
1990-04-10,273.12177,272.5685,271.87665,272.8416,272.22202,271.73572
1990-04-11,275.068,274.54446,273.7653,274.87454,274.25586,273.65677
1990-04-12,274.15848,273.6255,272.571,274.3759,273.74557,272.84244
1990-04-13,269.07632,268.38443,267.61447,268.91934,268.11246,267.53232
1990-04-14,274.6067,274.04532,273.24008,273.89737,273.21875,272.5693
1990-04-15,268.95004,268.45676,267.71066,269.18274,268.57355,267.93973
1990-04-16,271.84464,271.37167,270.59384,271.87128,271.35843,270.8496
1990-04-17,266.80536,266.29623,265.594,266.7245,266.10556,265.54898
1990-04-18,269.32693,268.7858,268.01636,269.22003,268.56793,267.88095
1990-04-19,268.51416,268.08716,267.42752,267.92236,267.35272,266.81705
1990-04-20,270.6119,270.17978,269.3401,270.59982,270.0896,269.3941
1990-04-21,271.8875,271.5314,270.91464,271.86392,271.41583,270.96295
1990-04-22,271.90018,271.31726,270.07056,272.55167,271.81784,270.53867
1990-04-23,270.53842,269.76892,268.9153,270.59097,269.70755,268.92548
1990-04-24,284.16098,283.42447,282.20834,285.00467,284.17844,283.10638
1990-04-25,282.5132,282.46246,282.04163,282.03818,281.96658,281.86884
1990-04-26,268.84634,268.56815,268.18707,268.60852,268.2835,268.20633
1990-04-27,273.45694,272.98257,272.1084,274.06458,273.5131,272.78903
1990-04-28,270.6163,270.05792,269.24457,271.01025,270.3545,269.6388
1990-04-29,272.60977,272.38263,271.9295,272.3442,272.01212,271.7497
1990-04-30,270.66907,270.25345,269.57278,270.99304,270.45615,269.88782
1990-05-01,268.1227,267.68048,266.97723,268.59317,268.01645,267.38422
1990-05-02,272.1029,271.75076,271.2117,272.39407,271.93396,271.5312
1990-05-03,287.68747,286.94577,285.8078,288.0155,287.202,286.26517
1990-05-04,282.52667,281.82858,280.81418,281.768,280.91742,280.11322
1990-05-05,278.9762,278.96933,278.81998,277.846,277.78314,277.90445
1990-05-06,276.08185,275.4189,274.38647,275.77185,275.05652,274.28445
1990-05-07,275.08502,274.7121,274.13058,274.80106,274.26788,273.87985
1990-05-08,279.42712,279.08658,278.20602,279.3551,278.9392,278.27673
1990-05-09,284.5935,284.2108,283.41754,284.68954,284.23965,283.66605
1990-05-10,286.43872,286.1858,285.3902,286.5002,286.20547,285.65036
1990-05-11,285.7877,285.53485,284.90457,285.75235,285.44547,285.06964
1990-05-12,288.3573,287.80154,286.84546,288.76483,288.0954,287.33167
1990-05-13,288.36603,287.83875,286.8539,288.59576,287.9424,287.13214
1990-05-14,287.29636,286.72958,285.4852,286.95285,286.35187,285.32492
1990-05-15,289.95596,289.19403,287.92084,290.1413,289.30154,288.23276
1990-05-16,288.55533,288.32947,287.6104,288.34402,288.0728,287.67435
1990-05-17,283.39944,283.15753,282.58545,282.0754,281.7703,281.5143
1990-05-18,281.52255,281.22357,280.66833,280.10187,279.77054,279.54614
1990-05-19,283.96423,283.29883,282.15497,283.82254,283.09348,282.11725
1990-05-20,280.8387,280.3029,279.37363,280.60773,280.06342,279.41284
1990-05-21,273.41608,273.00067,272.2643,273.2144,272.70667,272.10492
1990-05-22,270.63766,270.16092,269.45035,270.48685,269.90784,269.33975
1990-05-23,279.8573,279.28568,278.27872,279.98325,279.30737,278.4716
1990-05-24,285.5843,284.96042,284.03592,285.8036,285.09006,284.345
1990-05-25,285.2589,284.85535,283.82385,285.46368,285.0095,284.12518
1990-05-26,283.3757,282.6961,281.64468,283.69116,282.91577,282.03622
1990-05-27,282.25848,281.51056,280.35187,282.11703,281.2777,280.30423
1990-05-28,287.5383,286.88617,285.89487,287.29932,286.58752,285.83374
1990-05-29,275.90317,275.3823,274.6068,275.80954,275.1985,274.5778
1990-05-30,273.02167,272.48447,271.60904,272.60733,271.91876,271.13013
1990-05-31,277.1302,276.64874,275.95593,277.333,276.79657,276.29834
1990-06-01,282.98154,282.13245,280.94196,283.89575,282.96964,281.89615
1990-06-02,278.88443,278.59512,278.7101,279.07132,278.6751,278.99326
1990-06-03,284.6953,284.34814,283.25018,284.48117,284.09818,283.26602
1990-06-04,281.80978,281.19608,280.4397,282.32028,281.7064,281.24976
1990-06-05,285.19458,284.81757,284.00955,285.5847,285.1892,284.6867
1990-06-06,289.04056,288.3903,287.4605,289.25473,288.52008,287.78638
1990-06-07,290.741,290.0733,288.97687,291.18622,290.47546,289.6266
1990-06-08,291.90128,291.23965,290.16745,291.80646,291.0824,290.27072
1990-06-09,294.12585,293.28812,291.83017,294.50845,293.63837,292.45898
1990-06-10,286.2001,285.74094,284.82593,285.84726,285.3622,284.68024
1990-06-11,275.86087,275.4173,274.68292,275.22513,274.66577,274.05377
1990-06-12,282.9399,282.02182,280.99225,283.3259,282.3091,281.41937
1990-06-13,286.88742,286.77835,286.285,286.2335,286.09564,285.87488
1990-06-14,280.44934,280.09067,279.46213,280.8537,280.3548,279.76544
1990-06-15,275.90585,275.51688,274.92764,275.7567,275.27435,274.8515
1990-06-16,285.23737,284.8786,283.91757,285.40994,285.04022,284.26822
1990-06-17,273.3607,273.0627,272.48587,273.52032,273.0991,272.59595
1990-06-18,276.50363,275.96298,275.0682,277.00644,276.3173,275.4544
1990-06-19,290.49695,289.66745,288.26376,292.54007,291.55753,290.13025
1990-06-20,272.4108,271.94986,271.2899,272.27734,271.76477,271.35962
