,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,4.4911103,4.6506186,4.885331,4.018899,4.145256,4.3246293
1990-01-02,10.9721985,11.289933,11.78629,10.562567,10.843511,11.261054
1990-01-03,9.869146,10.154064,10.5997,9.689567,9.960402,10.357449
1990-01-04,7.3668447,7.6407022,8.039081,7.127593,7.4020033,7.773664
1990-01-05,5.5542197,5.7938046,6.1297483,5.3775616,5.6100345,5.917412
1990-01-06,5.886689,6.087927,6.3874807,5.784949,5.97731,6.2470093
1990-01-07,4.4109893,4.5642447,4.7913804,4.4057207,4.5471954,4.747326
1990-01-08,6.6155715,6.7490225,6.986239,6.566413,6.6901875,6.896432
1990-01-09,4.9935,5.1184196,5.323453,4.882504,4.9719157,5.1225286
1990-01-10,7.0008774,7.161956,7.4343314,7.055759,7.1938972,7.4210267
1990-01-11,5.06903,5.161917,5.333645,5.1234665,5.186461,5.311938
1990-01-12,4.975885,4.992187,5.080363,4.9380107,4.9479985,5.015281
1990-01-13,7.2635837,7.2480974,7.334609,7.2265615,7.153652,7.1595216
1990-01-14,4.361133,4.449448,4.6061645,4.3181286,4.3815565,4.498241
1990-01-15,3.855884,3.907582,4.017788,3.7975428,3.8029058,3.8521686
1990-01-16,3.501456,3.5074892,3.563606,3.6607368,3.6289275,3.637268
1990-01-17,2.1617541,2.2413518,2.3574424,1.9886779,2.035924,2.108713
1990-01-18,7.9089255,8.311156,8.854998,7.6669602,8.062861,8.569602
1990-01-19,6.23801,6.451318,6.7685666,6.304947,6.493248,6.7646575
1990-01-20,3.1423106,3.1812828,3.267511,3.1398394,3.1705184,3.2388766
1990-01-21,3.4618266,3.5734959,3.7422414,3.377265,3.4933832,3.6548235
1990-01-22,2.3126173,2.3898058,2.5052707,2.2743661,2.303621,2.3605106
1990-01-23,7.55405,7.6894813,7.9411626,7.556853,7.6865654,7.909862
1990-01-24,4.390637,4.6716003,5.034974,4.421057,4.692834,5.030707
1990-01-25,4.4325943,4.5257063,4.6878285,4.080309,4.1257563,4.220135
1990-01-26,5.6138773,5.829026,6.138612,5.5034175,5.698106,5.966456
1990-01-27,5.49426,5.698346,5.9942217,5.5225725,5.710562,5.971905
1990-01-28,2.927713,2.8851233,2.8801754,2.9580164,2.9097426,2.8919768
1990-01-29,5.2177973,5.3123636,5.48644,5.0636373,5.1522083,5.3028646
1990-01-30,7.9565597,8.070662,8.303515,7.844367,7.9377007,8.124413
