,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,273.15167,272.97845,272.3665,273.46808,273.22122,272.76984
1990-01-02,274.3602,274.00854,273.21625,274.8052,274.35522,273.69885
1990-01-03,274.69696,274.61505,274.0905,274.67435,274.45294,274.0233
1990-01-04,272.80356,272.69888,272.14957,272.61118,272.42697,272.03262
1990-01-05,271.0351,270.8777,270.27356,270.8432,270.6059,270.15652
1990-01-06,269.17007,268.9406,268.26233,269.0246,268.71225,268.18594
1990-01-07,268.10593,267.97327,267.38962,268.00317,267.7748,267.33044
1990-01-08,266.56992,266.3724,265.7218,266.43744,266.1391,265.62292
1990-01-09,271.39557,271.08597,270.32108,271.6029,271.18878,270.55487
1990-01-10,270.49472,270.16644,269.3807,270.6958,270.25916,269.60077
1990-01-11,265.5981,265.45746,264.85727,265.5406,265.29465,264.82507
1990-01-12,271.7366,271.47568,270.75296,271.42123,271.02557,270.4044
1990-01-13,270.522,270.39767,269.80942,270.51126,270.2451,269.75153
1990-01-14,262.13638,261.9565,261.3106,261.71683,261.3865,260.82697
1990-01-15,265.613,265.47235,264.86353,265.33835,265.06287,264.55634
1990-01-16,264.94595,264.9111,264.40607,264.86746,264.71066,264.3211
1990-01-17,264.32568,264.2447,263.6915,264.59247,264.43076,264.0346
1990-01-18,268.1238,267.97092,267.3438,268.17462,267.91342,267.41614
1990-01-19,267.3219,267.19998,266.6019,267.34445,267.11053,266.6389
1990-01-20,267.80496,267.37436,266.46576,267.40353,266.8065,265.97015
1990-01-21,274.68228,274.59915,274.0362,274.68616,274.46902,274.0111
1990-01-22,276.83795,276.9055,276.4914,276.78394,276.78766,276.5492
1990-01-23,273.96158,274.13428,273.82376,274.04565,274.18454,274.07993
1990-01-24,265.64877,265.54816,264.96274,265.42834,265.19348,264.7138
1990-01-25,267.03802,267.06436,266.6043,266.97394,266.8218,266.42377
1990-01-26,273.53482,273.8267,273.63086,273.36154,273.5828,273.55707
1990-01-27,268.74094,268.76117,268.29236,268.6203,268.504,268.13968
1990-01-28,270.9126,270.72342,270.04395,270.81885,270.50275,269.93774
1990-01-29,273.11053,273.13873,272.6755,273.429,273.32263,272.96652
1990-01-30,271.06058,271.1599,270.7668,271.2948,271.2781,271.011
1990-01-31,266.53192,266.61197,266.19873,266.63504,266.6131,266.34018
1990-02-01,276.0598,276.13602,275.71805,276.14594,276.08002,275.7626
1990-02-02,282.59573,282.57318,282.05585,282.6622,282.5715,282.22894
1990-02-03,268.45026,269.11496,269.28427,268.4902,269.0646,269.38678
1990-02-04,261.16867,261.17078,260.67715,260.5911,260.45984,260.07626
1990-02-05,261.81244,261.7672,261.22595,261.80286,261.61417,261.17307
1990-02-06,261.0659,261.01196,260.46185,260.79868,260.61157,260.17212
1990-02-07,260.69315,260.5684,259.9474,260.50543,260.226,259.69446
1990-02-08,263.1592,263.14096,262.62653,263.219,263.08752,262.70425
1990-02-09,264.71216,264.7057,264.20322,264.7855,264.65732,264.27765
1990-02-10,268.1286,268.08896,267.55362,268.04358,267.86755,267.44058
1990-02-11,264.99524,264.95145,264.4124,264.8391,264.66235,264.23532
1990-02-12,269.13092,269.11356,268.60153,269.11682,268.9784,268.59042
1990-02-13,271.40146,271.26276,270.63007,271.40442,271.15213,270.65112
1990-02-14,273.33853,273.31097,272.79022,273.23965,273.0823,272.67715
1990-02-15,271.6479,271.6314,271.12268,271.55807,271.4151,271.0254
1990-02-16,266.8517,266.93454,266.5261,266.6547,266.56873,266.23715
1990-02-17,271.05682,271.05383,270.56073,270.7975,270.68625,270.3307
1990-02-18,270.8909,270.84265,270.30554,270.7494,270.57693,270.16144
1990-02-19,272.62967,272.48657,271.8559,272.50577,272.23892,271.73047
1990-02-20,275.5189,275.32852,274.65204,275.78366,275.45187,274.88004
1990-02-21,273.19968,272.7185,271.7527,273.34387,272.7688,271.95526
1990-02-22,272.0558,271.86423,271.1896,271.89255,271.5799,271.0304
1990-02-23,278.50967,278.55334,278.1156,278.42337,278.34088,278.0233
1990-02-24,276.00226,275.97446,275.46698,275.82642,275.67374,275.2878
1990-02-25,273.73425,273.75296,273.29382,273.78424,273.66977,273.3239
1990-02-26,276.63303,276.5922,276.07535,276.80298,276.64575,276.259
1990-02-27,275.48776,275.37552,274.7892,275.90463,275.66544,275.19867
1990-02-28,276.37717,275.92368,274.99808,276.09903,275.5901,274.8556
1990-03-01,277.6849,276.85562,275.5562,277.9175,276.97424,275.80746
1990-03-02,276.3741,275.99033,275.13846,276.46103,275.91888,275.15533
1990-03-03,270.80103,270.7822,270.29727,270.64093,270.48843,270.1166
1990-03-04,270.9102,270.8009,270.2276,270.77795,270.5647,270.13422
1990-03-05,272.06564,271.9197,271.31174,271.82733,271.56955,271.09662
1990-03-06,269.75833,269.61142,269.00455,269.47717,269.21118,268.7322
1990-03-07,271.1362,270.85233,270.1105,270.9174,270.50467,269.88104
1990-03-08,273.3805,273.1351,272.43387,273.6759,273.29413,272.70352
1990-03-09,277.35562,277.50085,277.19217,277.0459,277.06775,276.8829
1990-03-10,273.84238,273.76453,273.2348,273.42087,273.22873,272.83194
1990-03-11,270.74597,270.92682,270.65768,270.43353,270.4946,270.35303
1990-03-12,275.7991,275.3401,274.43295,275.8284,275.2745,274.52
1990-03-13,274.69586,274.44302,273.74396,274.98087,274.58978,273.99997
1990-03-14,274.22736,274.01672,273.36157,274.33646,273.94962,273.36594
1990-03-15,278.5959,278.28055,277.5224,278.60028,278.15692,277.51852
1990-03-16,284.82645,284.46835,283.669,285.18015,284.72607,284.07877
1990-03-17,285.9428,286.09097,285.79944,285.463,285.5634,285.4722
1990-03-18,283.10376,283.13843,282.73495,282.3824,282.36203,282.15167
1990-03-19,277.77155,277.63187,277.05533,277.3193,277.0083,276.50894
1990-03-20,280.9551,280.70285,280.01505,280.88672,280.55295,280.0323
1990-03-21,283.99475,283.71225,282.9954,283.87155,283.5199,282.98267
1990-03-22,289.01175,288.85324,288.2614,288.9361,288.73114,288.34186
1990-03-23,290.5863,290.57208,290.12555,290.78677,290.6936,290.41736
1990-03-24,284.3207,284.30762,283.86307,284.31378,284.22583,283.95587
1990-03-25,274.37012,274.51184,274.22287,273.7708,273.7886,273.62543
1990-03-26,268.60703,268.5862,268.13525,268.44244,268.28,267.9374
1990-03-27,268.9808,268.8138,268.21722,268.65466,268.36182,267.88965
1990-03-28,270.97064,270.73343,270.06693,270.43332,270.058,269.504
1990-03-29,273.6852,273.3279,272.54163,273.26218,272.76514,272.0899
1990-03-30,279.9126,279.41125,278.48108,278.75912,278.22714,277.51743
1990-03-31,280.13074,280.3516,280.14365,279.55722,279.65698,279.57938
1990-04-01,278.94455,279.1487,278.9239,278.46997,278.53604,278.42493
1990-04-02,277.5131,277.41153,276.88083,277.44016,277.1886,276.75998
1990-04-03,274.2003,274.17584,273.7219,273.9971,273.8497,273.5252
1990-04-04,280.28506,280.11154,279.50803,279.48187,279.15726,278.6555
1990-04-05,279.23108,279.1536,278.6456,278.49536,278.283,277.89328
1990-04-06,273.3841,272.9932,272.1711,273.19543,272.70773,272.0423
1990-04-07,285.93945,285.4381,284.50476,285.45575,284.82883,284.02377
1990-04-08,284.76538,284.4022,283.60602,284.50754,284.03827,283.39032
1990-04-09,284.51398,284.15005,283.3522,284.46976,284.00626,283.3635
1990-04-10,289.80325,289.71365,289.1891,288.98926,288.7303,288.2913
1990-04-11,289.1045,289.06992,288.59912,289.01495,288.86374,288.5317
1990-04-12,287.49506,287.19113,286.4497,287.4076,286.9601,286.33087
1990-04-13,285.34128,285.31802,284.85587,285.51907,285.36136,285.02097
1990-04-14,287.65775,287.3542,286.6103,287.312,286.9024,286.30905
1990-04-15,286.46295,286.427,285.94925,286.10742,285.9641,285.63602
1990-04-16,281.3839,281.56168,281.29608,281.182,281.23163,281.09528
1990-04-17,277.31778,277.27182,276.78088,276.9007,276.71527,276.34262
1990-04-18,278.78973,278.72986,278.2233,278.4982,278.27863,277.8705
1990-04-19,282.3524,282.42636,282.05194,282.54318,282.4847,282.23648
1990-04-20,283.84216,283.6636,283.03488,284.04697,283.74655,283.255
1990-04-21,285.1876,284.74945,283.8594,285.3321,284.7702,284.01575
1990-04-22,283.1565,282.72058,281.83096,283.27936,282.6725,281.87164
1990-04-23,287.5669,287.21362,286.40482,287.37183,286.85693,286.14664
1990-04-24,291.46182,291.4436,290.96805,291.58932,291.45566,291.1252
1990-04-25,289.48947,289.4635,288.97842,289.62088,289.453,289.08682
1990-04-26,288.8592,288.68494,288.04984,289.39786,289.13303,288.66855
1990-04-27,284.019,283.75827,283.0349,284.89078,284.47968,283.86746
1990-04-28,290.24924,289.97873,289.24387,290.61786,290.23654,289.65274
1990-04-29,293.0584,292.98328,292.44214,293.25186,293.0617,292.66763
1990-04-30,287.79825,287.6596,287.05322,287.90442,287.64606,287.18246
