,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-02,7.040494892862625e-06,8.228822480305098e-06,9.358928764413577e-06,6.286246843956178e-06,7.550674581580097e-06,8.875738785718568e-06
1990-01-03,0.00018637502216733992,0.00020754292199853808,0.00022627240105066448,0.00016964135284069926,0.0001873660512501374,0.00020550756016746163
1990-01-04,1.9915132725145668e-06,1.6461633549624821e-06,1.225840492224961e-06,2.561007931944914e-06,2.0726008642668603e-06,1.5346931832027622e-06
1990-01-05,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-06,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-07,0.00015230130520649254,0.00013691728236153722,0.00011664187331916764,0.00014440731320064515,0.00012688408605754375,0.00010722013394115493
1990-01-08,0.0001256132818525657,0.00014570839994121343,0.00016455145669169724,0.00012889904610347003,0.00014578910486306995,0.0001631440973142162
1990-01-09,9.514410521660466e-06,8.181769771908876e-06,6.507307716674404e-06,9.989572390622925e-06,8.41976907395292e-06,6.671314622508362e-06
1990-01-10,1.5530133168795146e-05,1.6964448150247335e-05,1.8147278751712292e-05,1.6383244656026363e-05,1.7416319678886794e-05,1.8419825210003182e-05
1990-01-11,5.025627979193814e-05,4.937363701174036e-05,4.7190180339384824e-05,4.110719237360172e-05,3.965272117056884e-05,3.781573104788549e-05
1990-01-12,7.282890874193981e-05,8.820607763482258e-05,0.00010311424557585269,6.293244223343208e-05,7.454539445461705e-05,8.658449223730713e-05
1990-01-13,2.136069809921537e-07,2.147711057887136e-07,2.10720216387017e-07,2.7497227961248427e-07,2.706222801407421e-07,2.6398794261695e-07
1990-01-14,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-15,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-16,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-17,4.591490505845286e-05,4.363374682725407e-05,3.9960847061593086e-05,3.359864422236569e-05,3.0885199521435425e-05,2.7697467885445803e-05
1990-01-18,8.790467836661264e-05,9.644638339523226e-05,0.00010340873268432915,8.016364154173061e-05,8.627588977105916e-05,9.216776379616931e-05
1990-01-19,5.424948312793276e-07,4.5014087390882196e-07,3.353721638177376e-07,6.988970540078299e-07,5.675356078427285e-07,4.2038755054818466e-07
1990-01-20,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-21,2.229690210242552e-07,1.8510847610286874e-07,1.3790183572837122e-07,2.8732435453093785e-07,2.3342794008840428e-07,1.7289298170908296e-07
1990-01-22,1.5294217519112863e-06,1.3901172906116699e-06,1.1965413477810216e-06,1.68767860486696e-06,1.5228343954731827e-06,1.3297216128194123e-06
1990-01-23,1.930264443217311e-05,1.8803184502758086e-05,1.7720107280183583e-05,2.088933797494974e-05,1.9724935555132106e-05,1.8269065549247898e-05
1990-01-24,7.176864073699107e-06,7.768757313897368e-06,8.207660357584246e-06,8.365494977624621e-06,8.941939995565917e-06,9.475831575400662e-06
1990-01-25,2.9469651053659618e-05,3.233809184166603e-05,3.4604716347530484e-05,3.376488166395575e-05,3.567609383026138e-05,3.7374171370174736e-05
1990-01-26,5.670875452779001e-06,5.126153155288193e-06,4.36999380326597e-06,5.259772478893865e-06,4.711513611255214e-06,4.066350356879411e-06
1990-01-27,2.374393261561636e-05,2.4824386855470948e-05,2.529708763177041e-05,2.213267725892365e-05,2.2298931071418338e-05,2.2231506591197103e-05
1990-01-28,2.8745087547576986e-05,3.324516364955343e-05,3.726939030457288e-05,2.8716893211822025e-05,3.252781607443467e-05,3.628849663073197e-05
1990-01-29,4.273536546861578e-08,3.555082628281525e-08,2.646769559078166e-08,3.055077968383557e-08,2.4865682846098025e-08,1.8407579460699708e-08
1990-01-30,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-31,1.7660955563769676e-05,2.1308980649337173e-05,2.471756852173712e-05,1.3547874004871119e-05,1.576175964146387e-05,1.7967793610296212e-05
