,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,88.36539,88.455215,88.64236,86.22512,86.42424,86.79681
1990-01-02,114.74996,113.329475,111.248604,112.25346,110.91376,109.11824
1990-01-03,108.46954,106.92986,104.841324,107.48638,106.03738,103.998604
1990-01-04,73.12401,72.865105,71.99497,73.22572,73.15699,72.2033
1990-01-05,57.52344,55.38416,52.78277,56.547867,54.56554,52.25268
1990-01-06,80.361755,79.645966,79.19086,78.248,77.679695,77.59449
1990-01-07,104.2651,102.99719,101.46063,104.55693,103.44056,102.03313
1990-01-08,78.614105,79.009186,79.90704,76.75526,77.25111,78.29894
1990-01-09,99.42483,97.287766,94.44417,98.71815,96.77927,94.26197
1990-01-10,102.49753,101.16582,99.83784,102.95621,101.77648,100.47202
1990-01-11,105.68558,105.38768,105.77713,105.077614,104.87094,105.36261
1990-01-12,98.86276,99.12949,98.86932,96.93505,97.3223,97.11019
1990-01-13,105.43332,103.55743,101.007515,105.80815,104.050095,101.66212
1990-01-14,116.1228,114.79956,113.12666,114.71191,113.737946,112.56432
1990-01-15,75.95182,75.72169,74.90649,75.04311,74.983025,74.599525
1990-01-16,81.48661,81.98797,83.37893,80.38762,80.841095,82.18979
1990-01-17,81.42313,81.82631,82.19725,81.24009,81.77485,82.30892
1990-01-18,119.14372,118.72975,117.66394,116.85396,116.368904,115.53158
1990-01-19,55.697777,55.313473,55.647232,56.55182,55.909016,55.957157
1990-01-20,117.69274,117.426704,116.93621,118.75916,118.695244,118.402664
1990-01-21,81.704865,78.48218,75.2278,81.92171,78.872765,75.93814
1990-01-22,128.06123,127.5036,126.73995,126.077896,125.637276,125.09153
1990-01-23,100.10322,100.490105,99.7709,97.90313,98.25912,97.87838
1990-01-24,141.94728,141.28786,139.82718,142.94992,142.27243,140.95958
1990-01-25,83.64381,84.098694,84.43156,82.24661,82.84133,83.425995
1990-01-26,157.0493,155.50227,153.50409,156.09026,154.53885,152.69957
1990-01-27,78.62405,77.27877,75.82617,83.05,81.77664,80.40881
1990-01-28,123.09253,123.51378,124.023415,125.36123,125.892426,126.53824
1990-01-29,156.15521,155.00558,152.88376,155.82092,154.86076,153.08376
1990-01-30,162.81462,160.63606,157.42711,160.6608,158.73148,156.17746
1990-01-31,81.417694,81.90217,84.25419,79.92963,80.545425,83.23587
1990-02-01,112.72209,109.94978,106.21189,112.54034,109.77547,106.24274
1990-02-02,97.95205,97.98661,98.42378,99.891716,99.97566,100.50338
1990-02-03,147.4831,147.0392,146.47221,145.68759,145.3717,145.00195
1990-02-04,166.31656,166.06389,164.32642,166.44727,166.13057,164.56686
1990-02-05,126.5331,126.24038,126.47266,125.1428,124.98103,125.29493
1990-02-06,151.74315,149.70164,148.58542,150.8067,148.67136,147.54709
1990-02-07,149.17488,147.58707,144.7919,150.96288,149.2298,146.49635
1990-02-08,70.92438,68.52983,67.606445,71.65791,69.527214,68.87426
1990-02-09,161.13676,157.84546,153.25203,157.72495,154.48222,150.31633
1990-02-10,162.65475,161.02838,158.3631,161.82384,160.42645,157.95807
1990-02-11,160.81967,160.5149,159.86685,159.18501,158.98596,158.60904
1990-02-12,110.85298,110.56919,109.82746,112.88177,112.48132,111.612144
1990-02-13,158.168,158.04306,157.03052,158.3228,158.25443,157.30263
1990-02-14,173.05127,172.99968,171.55594,170.1918,170.19215,168.83301
1990-02-15,162.28667,159.43759,156.18735,164.48181,161.68657,158.69293
1990-02-16,167.89104,163.36874,157.8907,170.32898,165.99028,160.73999
1990-02-17,174.55774,171.29092,167.17033,175.31609,172.0525,167.93541
1990-02-18,85.54225,82.940056,83.277016,85.523605,82.883575,83.16815
1990-02-19,181.02548,180.05894,179.13156,176.48114,175.45819,174.55167
1990-02-20,173.6874,172.6302,171.02664,172.48735,171.5696,169.95673
1990-02-21,96.02201,94.2175,93.40255,97.09077,94.90385,94.19796
1990-02-22,181.74593,180.29329,178.61205,181.70618,180.20271,178.39333
1990-02-23,138.1684,138.17413,137.74185,145.60548,145.90196,145.61125
1990-02-24,169.09001,167.24916,163.53311,174.43945,172.82208,169.3094
1990-02-25,179.3616,177.28891,173.5411,183.61154,181.73717,178.088
1990-02-26,111.53579,113.39197,115.26351,113.57404,115.57636,117.46009
1990-02-27,167.76198,162.88495,156.10652,164.29189,159.2505,152.28801
1990-02-28,193.63614,195.98515,195.20924,193.62636,195.96292,195.01605
1990-03-01,175.15453,173.86922,172.21597,173.01447,171.84741,169.96805
1990-03-02,178.63579,176.34912,173.05196,174.03758,172.16805,169.41518
1990-03-03,203.54854,201.2776,198.31174,199.46341,197.45943,194.87361
1990-03-04,206.29716,204.63957,203.57036,203.32596,201.86559,200.93399
1990-03-05,158.30171,155.14427,148.72067,149.07552,146.46507,141.02164
1990-03-06,99.773155,101.5124,103.437546,97.24147,98.72569,100.27321
1990-03-07,76.04209,76.29311,77.722916,74.831116,74.829285,75.79373
1990-03-08,127.37434,125.5466,122.731514,127.17244,125.50743,122.68658
1990-03-09,243.46648,240.34209,235.69728,240.21509,237.43918,233.0836
1990-03-10,98.71799,96.703156,96.44512,99.9168,98.02046,97.76021
1990-03-11,193.8442,189.11314,182.64726,185.2667,180.85403,175.14023
1990-03-12,241.39833,237.78464,232.19406,236.88414,233.71533,228.83864
1990-03-13,175.13213,176.2534,176.31546,182.62944,183.81725,183.63925
1990-03-14,195.71121,191.0987,185.00209,193.97665,189.69864,183.87517
1990-03-15,213.59827,210.9926,207.87123,213.31499,210.98207,207.8699
1990-03-16,198.8154,196.56038,193.35275,195.11607,193.16624,190.41948
1990-03-17,192.51956,191.09875,190.26126,192.76462,191.62086,190.70222
1990-03-18,208.55037,206.53366,204.55641,210.2697,208.38179,206.2927
1990-03-19,231.81389,230.05557,228.36531,232.13486,230.41064,228.13757
1990-03-20,209.02432,207.13795,205.0172,207.52548,205.91524,204.11548
1990-03-21,172.28955,172.95401,174.11574,178.77264,179.68414,180.30359
1990-03-22,244.88603,242.4096,237.93678,243.66052,241.70073,237.84947
1990-03-23,239.94644,237.11887,233.67664,236.49069,234.1273,231.29405
1990-03-24,211.12808,211.52495,209.71602,204.88391,205.06384,203.96152
1990-03-25,224.22414,222.56996,220.68155,224.16043,222.66025,220.59308
1990-03-26,274.87015,272.9414,270.41843,273.7593,272.11362,269.61566
1990-03-27,256.75125,256.06143,254.07904,254.61852,253.98146,251.90965
1990-03-28,261.45203,260.45056,258.35895,254.46342,254.02025,252.3727
1990-03-29,234.38614,233.74374,231.0545,231.96422,231.81134,229.19676
1990-03-30,218.356,220.65164,220.93402,199.3869,202.22478,203.60083
1990-03-31,194.39604,195.42677,194.36652,180.72966,181.93027,181.49641
1990-04-01,253.24507,253.8307,253.91821,256.7148,257.09787,256.86047
1990-04-02,115.05205,113.27253,111.62224,114.0063,112.7452,111.63512
1990-04-03,229.59279,227.02306,222.76418,218.46716,216.15952,212.66895
1990-04-04,267.01895,264.30276,261.16458,266.83075,264.32364,261.394
1990-04-05,270.79794,269.7621,268.54987,270.1412,269.32474,268.18402
1990-04-06,258.99588,257.21906,255.19792,258.743,257.04727,255.11128
1990-04-07,267.67355,265.45032,263.96817,268.40375,266.2187,264.55023
1990-04-08,274.3555,270.72113,265.9197,276.38297,273.27936,269.1919
1990-04-09,239.94691,231.63913,217.68942,243.19733,235.06093,221.12083
1990-04-10,137.31699,137.09976,138.32683,136.14044,135.95445,137.58633
1990-04-11,254.1831,252.35268,248.70886,253.58237,251.77405,248.40192
1990-04-12,295.30655,293.69397,291.1193,293.79037,292.36536,290.23773
1990-04-13,267.98312,267.08395,266.50452,264.66653,264.05008,264.07632
1990-04-14,298.57922,296.63766,293.53693,298.18472,296.3281,293.6755
1990-04-15,292.4699,291.6817,289.5443,292.98187,292.2274,290.43158
1990-04-16,120.54261,120.07458,124.0855,120.81363,120.00681,123.87788
1990-04-17,290.4759,288.22156,284.88687,289.04037,286.67072,283.70734
1990-04-18,273.9972,270.8168,267.2281,277.4169,274.14206,270.73663
1990-04-19,296.9582,295.4504,293.21423,293.801,292.21533,290.5164
1990-04-20,296.9427,295.8479,293.2999,294.97415,293.85483,291.85474
1990-04-21,280.90427,279.44583,277.1679,276.97037,275.73465,274.7788
1990-04-22,294.81076,293.2384,289.8218,294.09164,292.5961,289.7277
1990-04-23,291.7799,291.4575,289.3152,290.299,289.6863,288.15637
1990-04-24,261.6698,263.13632,262.1556,255.27043,256.47528,256.72336
1990-04-25,286.85858,284.4763,280.76782,285.68027,283.31586,280.44162
1990-04-26,200.53009,200.15791,200.07016,191.71909,191.26071,191.87065
1990-04-27,213.81343,210.1248,201.87244,208.8241,205.48329,198.61278
1990-04-28,223.75708,225.57686,231.01897,213.74648,215.28917,222.5332
1990-04-29,212.75728,213.27907,215.09756,209.71547,210.09161,211.92935
1990-04-30,256.07898,253.73518,248.78261,262.19202,259.68997,255.04276
1990-05-01,289.68298,287.59717,283.88284,289.90527,287.9181,284.8232
1990-05-02,306.53784,305.99823,304.7943,307.0773,306.12967,305.44888
1990-05-03,126.6325,123.7519,123.47643,125.83968,123.73364,124.366806
1990-05-04,168.40477,168.69553,169.9963,173.32402,173.24532,174.4391
1990-05-05,185.99089,185.27228,187.10701,187.97827,187.45682,190.1674
1990-05-06,252.15141,250.33255,249.62575,254.50415,253.10153,252.81477
1990-05-07,292.03616,292.79697,290.08002,290.85922,291.18005,289.10245
1990-05-08,184.76971,182.78183,178.54974,180.39716,178.76648,175.78026
1990-05-09,217.0868,215.46378,211.79643,215.64777,214.22438,212.25632
1990-05-10,256.36145,254.7525,253.31773,260.8432,259.36835,258.5296
1990-05-11,232.68997,233.93347,232.75209,238.3825,239.2582,238.5072
1990-05-12,285.22455,282.29758,277.75897,288.75055,285.26108,281.4532
1990-05-13,332.5114,332.36478,331.23895,332.6565,332.16266,332.0967
1990-05-14,294.48267,293.00446,289.965,294.5244,293.05554,291.11642
1990-05-15,228.74715,231.04451,233.36423,241.1571,242.43677,244.27127
1990-05-16,183.87828,185.52463,186.03421,183.99065,184.30481,184.34903
1990-05-17,212.02641,207.22513,201.36264,211.48679,206.03247,200.22171
1990-05-18,258.84573,261.7816,263.49188,257.29587,259.57755,261.65784
1990-05-19,311.88837,314.2388,313.51523,315.53012,317.04044,317.08255
1990-05-20,297.4207,297.9032,294.77176,285.23315,285.44824,284.0174
1990-05-21,331.48083,329.89667,325.26965,321.94598,319.80182,316.86526
1990-05-22,291.6607,293.73236,295.5763,289.2462,291.2829,294.0304
1990-05-23,201.71443,202.53958,207.28256,203.81389,204.69861,210.89537
1990-05-24,209.02983,211.84685,214.45416,219.76878,221.75667,224.57127
1990-05-25,280.46085,284.3742,286.7248,282.4562,285.67743,288.7846
1990-05-26,233.58731,234.10638,233.82045,238.94244,238.8269,238.8261
1990-05-27,324.98123,323.91278,321.93298,329.51883,328.1667,327.50482
1990-05-28,326.79294,324.12344,320.12787,326.05576,322.6149,318.97974
1990-05-29,350.7868,351.03006,350.3768,349.2156,348.95462,349.15646
1990-05-30,342.1257,342.83246,342.07755,341.96753,342.13867,341.9559
1990-05-31,334.1689,335.2152,333.8951,331.838,332.34906,331.95605
