,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,271.7282,271.11932,270.32312,271.7951,271.08905,270.41998
1990-01-02,273.02893,272.63107,271.85947,273.0458,272.54224,271.89172
1990-01-03,274.78052,274.2406,273.34937,274.83255,274.20386,273.4502
1990-01-04,276.8277,276.3501,275.48495,277.03784,276.48645,275.74908
1990-01-05,278.28864,278.2541,277.5581,277.75,277.6358,277.1624
1990-01-06,270.8494,270.73804,270.20764,270.58844,270.39203,270.03497
1990-01-07,265.0948,264.9976,264.4649,264.73865,264.53445,264.16434
1990-01-08,268.2173,268.03012,267.17468,268.04236,267.72723,266.9948
1990-01-09,269.62836,269.5461,269.01074,269.6372,269.46063,269.05164
1990-01-10,260.9319,260.90704,260.37732,260.5312,260.3911,260.01257
1990-01-11,262.05157,261.58606,260.49896,261.99533,261.4166,260.44992
1990-01-12,262.3695,262.27408,261.94183,262.64392,262.39127,262.13116
1990-01-13,262.04843,261.90442,261.43634,262.01773,261.76743,261.43213
1990-01-14,261.78326,261.5777,260.69852,261.8418,261.4912,260.73004
1990-01-15,264.8452,264.6855,264.1813,265.12576,264.81464,264.41003
1990-01-16,269.792,269.60806,269.044,269.9499,269.63388,269.15985
1990-01-17,265.26373,265.2089,264.71204,265.61014,265.3973,264.99133
1990-01-18,268.6624,268.29172,267.60278,268.40057,267.9276,267.36444
1990-01-19,276.90417,276.35724,275.3222,276.87042,276.2569,275.37122
1990-01-20,268.59906,268.4372,267.60016,268.13593,267.88776,267.26508
1990-01-21,268.87857,268.5771,267.86667,268.9906,268.56128,267.95007
1990-01-22,268.3913,268.164,267.46756,268.5216,268.17285,267.6137
1990-01-23,271.23804,270.91046,270.14136,271.5816,271.16443,270.5019
1990-01-24,265.855,265.52893,264.60883,265.18692,264.7676,264.01358
1990-01-25,268.25604,267.75092,266.7406,267.74377,267.07812,266.18048
1990-01-26,271.54874,271.4534,270.89227,271.67856,271.44513,270.99854
1990-01-27,266.23425,265.99298,265.44354,266.273,265.9253,265.47046
1990-01-28,260.21454,259.69263,258.808,259.2589,258.64963,257.9335
1990-01-29,254.1654,253.78337,253.11147,253.97047,253.4559,252.90334
1990-01-30,259.22812,258.88177,258.0284,258.70813,258.2737,257.6552
1990-01-31,262.17358,261.7133,260.91022,262.12466,261.55472,260.8743
1990-02-01,273.40796,273.05176,272.10062,273.32263,272.85706,272.05475
1990-02-02,267.8946,267.69675,266.96765,267.9082,267.5952,267.02014
1990-02-03,263.31076,262.90405,262.1213,263.38977,262.84357,262.16144
1990-02-04,264.33597,263.54474,262.48218,263.66443,262.77234,261.88934
1990-02-05,269.41345,268.61346,267.41693,269.15692,268.2593,267.23315
1990-02-06,270.71832,270.42267,269.5965,270.65573,270.24548,269.56537
1990-02-07,267.79938,267.61343,267.14084,267.6925,267.36163,266.9903
1990-02-08,272.1184,271.75705,270.99628,271.9721,271.48575,270.85257
1990-02-09,270.65015,270.58408,270.12344,270.4621,270.28143,269.98102
1990-02-10,268.5373,268.17722,267.46075,268.30057,267.8289,267.26294
1990-02-11,269.56055,269.02484,268.08148,269.68253,269.0479,268.2125
1990-02-12,273.3963,273.22357,272.5699,273.17413,272.9171,272.4381
1990-02-13,266.17297,266.06653,265.60394,265.6884,265.47885,265.19226
1990-02-14,263.4658,263.2789,262.7547,263.62766,263.30396,262.8472
1990-02-15,266.06335,265.76892,265.06458,265.65643,265.28522,264.72028
1990-02-16,268.75635,268.5799,268.08096,268.30927,267.9756,267.59662
1990-02-17,273.17578,272.87915,272.26532,273.29297,272.89636,272.42584
1990-02-18,276.5515,276.2547,275.37775,276.44415,276.0684,275.3626
1990-02-19,272.02045,271.80725,271.16956,271.88617,271.57004,271.09958
1990-02-20,271.52078,271.24115,270.4743,271.498,271.1057,270.49524
1990-02-21,275.85687,275.3403,274.33887,275.7672,275.1636,274.3601
1990-02-22,273.39325,273.12335,272.3055,272.98175,272.6272,271.98578
1990-02-23,263.63977,263.25803,262.54797,263.05853,262.57108,262.01288
1990-02-24,264.47668,264.18372,263.61465,264.13766,263.75006,263.3307
1990-02-25,267.26178,267.0091,266.45563,267.07788,266.7048,266.28802
1990-02-26,272.58942,272.16504,271.18707,272.4286,271.88354,271.0445
1990-02-27,274.0604,273.95898,273.32373,274.24884,274.00433,273.46643
1990-02-28,271.19977,271.161,270.63446,271.36377,271.1781,270.77487
1990-03-01,270.62292,270.438,269.8542,270.71207,270.39563,269.92154
1990-03-02,267.29358,267.1276,266.6181,267.1209,266.8295,266.4449
1990-03-03,267.53888,267.34558,266.7381,267.4698,267.19244,266.75092
1990-03-04,272.55945,272.5559,271.9442,272.9317,272.77063,272.2365
1990-03-05,275.84662,275.44016,274.6172,275.61316,275.1048,274.45178
1990-03-06,277.88263,277.7792,277.21918,277.33337,277.14954,276.763
1990-03-07,274.885,275.0835,274.87225,274.1485,274.22723,274.17526
1990-03-08,275.50177,275.5647,275.32584,275.39758,275.3393,275.2105
1990-03-09,271.54272,271.55347,271.1695,271.27228,271.1568,270.9229
1990-03-10,268.84204,268.81744,268.42313,267.81848,267.66058,267.47598
1990-03-11,266.06885,266.0525,265.82123,265.8485,265.69998,265.5929
1990-03-12,265.6467,265.40964,264.7901,265.49966,265.1198,264.59796
1990-03-13,261.0872,260.96796,260.72565,261.1685,260.88528,260.7459
1990-03-14,272.54398,272.29132,271.53186,272.4525,272.0835,271.43884
1990-03-15,271.14105,271.09418,270.73703,271.34036,271.19794,270.9823
1990-03-16,270.38788,270.25305,269.77643,270.58832,270.3248,269.95312
1990-03-17,271.51367,271.3261,270.74603,271.67645,271.3604,270.9017
1990-03-18,270.70984,270.44736,269.9501,270.60062,270.21478,269.8515
1990-03-19,270.6021,270.36353,269.72388,270.4176,270.04276,269.55804
1990-03-20,275.4973,275.16522,274.4894,275.3002,274.8686,274.35782
1990-03-21,277.12836,276.86496,276.01068,276.88736,276.53192,275.82355
1990-03-22,269.43384,269.2781,268.63458,269.13754,268.87854,268.38367
1990-03-23,272.13074,271.56482,270.6144,271.86084,271.20135,270.432
1990-03-24,276.91684,276.5672,275.85324,276.9323,276.48914,275.9278
1990-03-25,275.28766,274.86743,274.08557,275.17114,274.6394,274.00085
1990-03-26,277.7426,277.28357,276.32623,277.73425,277.1754,276.37384
1990-03-27,281.41196,281.06918,280.3603,281.00458,280.54016,280.00854
1990-03-28,284.67496,284.42307,283.78046,284.1101,283.7417,283.34143
1990-03-29,286.3631,286.03357,285.29474,286.38358,285.96835,285.42096
1990-03-30,286.20013,285.90588,285.29462,286.18274,285.80896,285.36838
1990-03-31,287.0036,286.9453,286.39362,286.36917,286.22186,285.8648
1990-04-01,278.69955,278.40643,277.7046,278.4978,278.12708,277.61658
1990-04-02,275.02145,274.6098,273.91034,274.2177,273.6897,273.11615
1990-04-03,277.7533,277.37213,276.58923,277.18103,276.68115,276.07422
1990-04-04,272.79028,272.47885,271.9231,272.63434,272.20135,271.75217
1990-04-05,268.29498,267.98434,267.39145,268.10236,267.67026,267.1983
1990-04-06,269.8437,269.5727,269.03864,269.815,269.42685,269.0111
1990-04-07,275.67926,275.30383,274.56055,275.16345,274.67426,274.09143
1990-04-08,277.7102,277.33496,276.66138,277.4747,276.9949,276.48438
1990-04-09,280.77002,280.29913,279.36725,280.4384,279.88605,279.18396
