,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,275.7457,275.38934,274.6083,276.0549,275.59888,274.92224
1990-01-02,275.32306,275.02026,274.27927,275.65765,275.2378,274.58643
1990-01-03,278.38486,278.0373,277.3223,278.64844,278.19553,277.57117
1990-01-04,279.1719,278.8793,278.21008,279.20087,278.79245,278.22784
1990-01-05,282.2009,282.3537,281.73022,281.46454,281.54623,281.17545
1990-01-06,274.39777,274.63425,274.53143,274.11182,274.1864,274.15005
1990-01-07,267.09268,267.12402,266.84354,266.88058,266.78442,266.62482
1990-01-08,272.27496,272.18967,271.60065,272.08417,271.83356,271.31528
1990-01-09,274.3128,274.2589,273.6997,274.47974,274.29544,273.83405
1990-01-10,264.03616,264.28586,264.0265,263.7941,263.92126,263.78622
1990-01-11,265.90317,265.64294,264.7502,266.17575,265.7843,264.97498
1990-01-12,264.92938,265.02963,264.9594,265.12347,265.05844,265.03818
1990-01-13,265.04138,265.167,265.11227,265.27536,265.23755,265.23395
1990-01-14,264.85242,264.69482,263.92993,265.197,264.9097,264.228
1990-01-15,268.17065,268.11456,267.85858,268.43845,268.2188,268.02362
1990-01-16,271.8369,271.7071,271.3173,272.00925,271.74893,271.44153
1990-01-17,268.99847,268.9773,268.59875,269.42212,269.2822,268.98895
1990-01-18,272.1238,271.93463,271.25705,271.8477,271.5434,271.02448
1990-01-19,282.14575,281.68652,280.80017,282.4084,281.85562,281.09998
1990-01-20,274.27295,274.67606,274.44928,274.10876,274.39578,274.3286
1990-01-21,272.82288,272.6324,272.02765,272.95132,272.63132,272.1183
1990-01-22,272.25195,272.10904,271.5235,272.43436,272.14774,271.65692
1990-01-23,274.0827,273.8964,273.23782,274.3915,274.094,273.5476
1990-01-24,272.3648,272.29782,271.64755,272.21463,272.07922,271.58063
1990-01-25,274.06165,274.0036,273.53372,274.19214,273.98813,273.60297
1990-01-26,275.70926,275.59558,274.97565,275.7737,275.53433,275.02274
1990-01-27,269.5863,269.5256,269.14682,270.15573,269.97318,269.63547
1990-01-28,265.14005,264.82568,264.17227,264.54166,264.10925,263.5468
1990-01-29,258.69638,258.49075,257.87494,258.24243,257.9122,257.43176
1990-01-30,264.58124,264.44183,263.75003,263.88687,263.6644,263.18915
1990-01-31,270.6483,270.16168,269.33487,270.63168,270.00574,269.28494
