,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,267.7107,266.84927,266.0379,267.53534,266.57922,265.91776
1990-01-02,270.73483,270.24188,269.43967,270.43396,269.84665,269.19705
1990-01-03,271.1762,270.4439,269.3764,271.01666,270.2122,269.32922
1990-01-04,274.48352,273.82086,272.75983,274.8748,274.18048,273.2703
1990-01-05,274.37634,274.1545,273.386,274.03546,273.7254,273.14938
1990-01-06,267.30103,266.8418,265.88388,267.0651,266.59766,265.9199
1990-01-07,263.0969,262.87115,262.08624,262.5967,262.2845,261.70386
1990-01-08,264.1596,263.87057,262.74872,264.00055,263.6209,262.67435
1990-01-09,264.94388,264.8333,264.32178,264.79465,264.62582,264.26926
1990-01-10,257.82758,257.52823,256.72815,257.26828,256.86093,256.23895
1990-01-11,258.19995,257.52914,256.24768,257.8149,257.0489,255.92485
1990-01-12,259.80966,259.51852,258.92426,260.1644,259.7241,259.22418
1990-01-13,259.05548,258.64185,257.76038,258.7601,258.2973,257.6303
1990-01-14,258.71408,258.46057,257.4671,258.48657,258.0727,257.23206
1990-01-15,261.5198,261.25644,260.50403,261.81308,261.41046,260.79648
1990-01-16,267.74707,267.50903,266.7707,267.8905,267.51883,266.8782
1990-01-17,261.52896,261.4405,260.82535,261.79816,261.51242,260.9937
1990-01-18,265.201,264.6488,263.94855,264.95343,264.31186,263.7044
1990-01-19,271.6626,271.02795,269.84424,271.3325,270.6582,269.6425
1990-01-20,262.9252,262.19836,260.75104,262.16312,261.3797,260.2015
1990-01-21,264.93427,264.52182,263.7057,265.02988,264.49124,263.78183
1990-01-22,264.53064,264.219,263.41162,264.60883,264.19797,263.57053
1990-01-23,268.39337,267.9245,267.04486,268.7717,268.23486,267.45615
1990-01-24,259.3452,258.76,257.57013,258.1592,257.456,256.44653
1990-01-25,262.45044,261.4982,259.94745,261.29538,260.1681,258.758
1990-01-26,267.3882,267.31122,266.8089,267.5834,267.35593,266.9743
1990-01-27,262.8822,262.46033,261.7403,262.3903,261.87744,261.30542
1990-01-28,255.289,254.55959,253.44376,253.9762,253.19,252.3202
1990-01-29,249.63441,249.07599,248.34799,249.69852,248.99962,248.37491
1990-01-30,253.875,253.32173,252.30681,253.52942,252.88304,252.12129
1990-01-31,253.6989,253.2649,252.48558,253.61766,253.1037,252.46365
1990-02-01,269.99643,269.50494,268.4406,269.84375,269.24677,268.33478
1990-02-02,263.23782,262.82294,262.10202,263.27744,262.74585,262.15884
1990-02-03,259.0648,258.51996,257.62247,259.32224,258.62457,257.81305
1990-02-04,258.68292,257.59366,256.44653,258.02008,256.84058,255.8656
1990-02-05,262.70935,261.48642,260.1997,262.15237,260.84042,259.74777
1990-02-06,266.46198,266.0763,265.28052,266.17978,265.68933,265.07004
1990-02-07,262.46777,262.214,261.9143,261.96045,261.54926,261.34906
1990-02-08,269.57846,269.0768,268.28357,269.47986,268.8518,268.17978
1990-02-09,266.95453,266.9108,266.58194,266.5611,266.42157,266.2929
1990-02-10,261.06622,260.56332,259.93585,260.7424,260.1247,259.6489
1990-02-11,263.7805,262.92926,261.78558,263.90198,262.96445,261.9098
1990-02-12,270.03427,269.81143,269.12808,269.6641,269.3837,268.9095
1990-02-13,260.9551,260.60855,260.10544,260.3366,259.89667,259.56738
1990-02-14,258.62585,258.4002,257.99982,258.77533,258.40897,258.0625
1990-02-15,262.30652,261.84424,260.9559,261.76868,261.24475,260.4847
1990-02-16,262.39868,262.16943,261.81024,261.30203,260.8985,260.6857
1990-02-17,270.22293,269.8907,269.3185,270.15863,269.72955,269.31757
1990-02-18,273.12122,272.7222,271.73248,273.02686,272.57214,271.7687
1990-02-19,268.52805,268.1342,267.373,268.39627,267.91202,267.32846
1990-02-20,268.7744,268.36493,267.51706,268.74966,268.24146,267.5745
1990-02-21,271.15335,270.3754,269.12164,271.03607,270.20905,269.19202
1990-02-22,266.84546,266.4133,265.55438,266.21426,265.718,265.05225
1990-02-23,259.60123,258.9206,257.99786,258.88345,258.12518,257.38727
1990-02-24,259.64145,259.12924,258.48685,259.03735,258.4371,257.95847
1990-02-25,262.51624,262.2241,261.77426,261.9859,261.5828,261.2968
1990-02-26,268.58234,267.95963,266.85422,268.35352,267.6205,266.68134
1990-02-27,271.36398,271.21683,270.46338,271.7331,271.4327,270.77628
1990-02-28,266.72284,266.66455,266.00494,266.99432,266.7964,266.2931
1990-03-01,265.70605,265.4436,264.83054,265.77908,265.40402,264.90543
1990-03-02,264.08344,263.68954,263.0889,263.82217,263.33142,262.86765
1990-03-03,261.3082,260.7643,259.7704,261.01093,260.4125,259.6564
1990-03-04,268.71054,268.68973,267.86475,269.3974,269.19955,268.45227
1990-03-05,271.3032,270.72424,269.7884,271.02094,270.3597,269.63446
1990-03-06,274.0328,273.84097,272.9971,272.98868,272.80054,272.28946
1990-03-07,271.57098,271.5551,271.1999,270.55374,270.4816,270.384
1990-03-08,272.8147,272.59546,272.09845,272.9345,272.62656,272.2286
1990-03-09,267.77905,267.71283,267.1631,267.2612,267.11218,266.80243
1990-03-10,264.5295,264.26715,263.6992,263.458,263.0545,262.72058
1990-03-11,261.60745,261.27087,260.76538,261.65253,261.20093,260.81088
1990-03-12,260.61423,260.2442,259.5147,260.84683,260.3207,259.66745
1990-03-13,252.89061,252.7125,252.62125,252.79893,252.41063,252.4184
1990-03-14,266.39536,266.0217,265.3133,266.33075,265.8323,265.2066
1990-03-15,267.49054,267.41214,267.11688,267.4351,267.28888,267.20383
1990-03-16,266.15793,265.8655,265.3139,266.4133,266.00223,265.57343
1990-03-17,269.09995,268.77094,267.99316,269.34808,268.90826,268.29126
1990-03-18,268.0831,267.61267,266.94745,267.79523,267.22403,266.761
1990-03-19,265.69028,265.33316,264.51804,265.41843,264.93863,264.3494
1990-03-20,272.11722,271.5181,270.59595,271.73944,271.06924,270.3759
1990-03-21,274.964,274.49936,273.24316,274.74603,274.24237,273.18777
1990-03-22,261.8787,261.42316,260.46942,261.58926,261.0701,260.33826
1990-03-23,263.54294,262.62985,261.379,262.9923,262.0109,261.0101
1990-03-24,273.07382,272.429,271.45956,273.22025,272.53836,271.77908
1990-03-25,271.64633,270.98233,269.9199,271.36444,270.63004,269.78024
1990-03-26,270.27176,269.50903,268.20874,270.8763,270.08044,268.99762
1990-03-27,273.20087,272.51382,271.51712,273.38577,272.60117,271.75
1990-03-28,276.5292,276.19226,275.50616,275.67853,275.216,274.8283
1990-03-29,279.21564,278.7147,277.87094,279.21555,278.63605,277.99872
1990-03-30,278.35175,277.81805,277.03766,278.92206,278.3395,277.7202
1990-03-31,279.8614,279.72568,279.11826,278.93488,278.73306,278.3644
1990-04-01,270.65915,269.8853,268.6423,270.98782,270.16772,269.13663
1990-04-02,269.85956,269.21765,268.32968,268.87234,268.1419,267.42404
1990-04-03,274.94138,274.37674,273.34943,273.95914,273.27423,272.46878
1990-04-04,267.54648,267.0499,266.4378,267.3211,266.7241,266.2192
1990-04-05,263.26004,262.65585,261.74344,263.13498,262.44208,261.7024
1990-04-06,264.14505,263.6011,262.78003,264.07507,263.45126,262.81317
1990-04-07,269.08786,268.5597,267.55313,269.00043,268.35532,267.45654
1990-04-08,269.49554,269.06137,268.4084,268.94293,268.38083,267.88116
1990-04-09,273.95853,273.42126,272.60092,273.44214,272.8422,272.31036
1990-04-10,273.29645,272.86945,272.09488,273.30032,272.85162,272.3499
1990-04-11,274.36526,273.91278,273.1722,274.7298,274.22177,273.63373
1990-04-12,269.17285,268.68628,268.00662,269.1036,268.48236,267.91592
1990-04-13,273.86154,273.4489,272.7121,273.77457,273.25922,272.70688
1990-04-14,274.70502,274.0244,272.9177,275.35367,274.5735,273.54913
1990-04-15,277.04044,276.52222,275.68604,277.31885,276.71704,276.04504
1990-04-16,281.4914,281.25757,280.36484,280.92145,280.6542,280.05765
1990-04-17,272.8622,272.3876,271.66745,272.7635,272.20227,271.63794
1990-04-18,272.11865,271.66467,270.94482,272.60168,272.01254,271.36298
1990-04-19,272.56778,271.82608,270.7048,272.91193,272.07422,271.1203
1990-04-20,275.31583,274.76266,273.88818,275.65787,275.05896,274.44324
1990-04-21,279.04245,278.58603,277.81607,278.79138,278.30017,277.75986
1990-04-22,280.8069,280.21448,279.1622,281.6903,281.04214,280.1522
1990-04-23,281.3463,280.83676,279.9926,281.83978,281.28937,280.64752
1990-04-24,284.09534,283.4364,282.4816,284.54086,283.85748,283.08783
1990-04-25,285.9366,285.34494,284.2723,286.14758,285.53265,284.68024
1990-04-26,283.22604,282.72205,281.7974,282.67627,282.11746,281.41446
1990-04-27,286.24387,286.0576,285.24722,286.27863,285.99274,285.34863
1990-04-28,282.27405,281.96747,281.30157,282.1239,281.75644,281.33383
1990-04-29,280.40057,280.1282,279.45337,280.7146,280.3427,279.85648
1990-04-30,275.80746,275.52725,275.21625,275.76184,275.4104,275.31558
1990-05-01,275.00937,274.61227,274.0168,275.22928,274.73553,274.3391
1990-05-02,273.0335,272.57108,271.92178,273.26993,272.71057,272.21698
1990-05-03,279.85498,279.22995,278.24002,279.50085,278.74048,277.84998
1990-05-04,282.23203,281.4031,280.06604,281.40872,280.51715,279.42828
1990-05-05,281.55365,280.98474,279.893,281.4683,280.79553,279.85733
1990-05-06,278.4353,277.9245,277.0835,278.01315,277.36316,276.65433
1990-05-07,275.4602,275.12762,274.5152,276.12686,275.72568,275.28937
1990-05-08,277.31134,276.4668,275.05972,276.6369,275.71066,274.6169
1990-05-09,276.82617,276.32574,275.50305,277.08652,276.50623,275.84045
1990-05-10,275.37128,274.79083,273.87756,275.33145,274.63663,273.92725
1990-05-11,278.97787,278.4021,277.49707,278.80457,278.1087,277.28122
1990-05-12,279.56012,278.99496,278.1365,279.63928,279.00003,278.3204
1990-05-13,275.29092,274.68726,273.88287,275.30267,274.61145,273.94412
1990-05-14,280.22495,279.5254,278.30936,280.4801,279.68073,278.64304
1990-05-15,280.5668,280.72223,280.37875,280.01953,279.9914,279.85455
1990-05-16,280.08853,279.53128,278.62796,280.53983,279.8978,279.17166
1990-05-17,285.45526,284.9969,284.15024,284.6375,284.0608,283.37738
1990-05-18,281.97888,281.5124,280.70584,282.652,282.1307,281.50043
1990-05-19,278.8455,278.19928,277.31583,279.03387,278.28738,277.53302
1990-05-20,275.7541,275.4414,274.9873,275.29996,274.86038,274.5726
1990-05-21,272.63138,272.35995,271.8714,272.36188,271.95175,271.65363
1990-05-22,275.96835,275.59537,274.78165,276.10706,275.5925,274.9424
1990-05-23,282.91736,282.2027,281.1194,283.23218,282.41675,281.43393
1990-05-24,281.60858,280.99316,280.48053,281.01828,280.3044,279.909
1990-05-25,281.84387,281.09573,280.17966,282.37344,281.5677,280.7218
1990-05-26,283.8998,283.14722,282.20142,283.91718,283.09412,282.3568
1990-05-27,280.49475,280.06165,279.3965,279.40918,278.91006,278.5232
1990-05-28,278.8587,278.38904,277.66605,278.77002,278.25906,277.79773
1990-05-29,276.0913,275.4103,274.6074,276.15463,275.39536,274.77176
1990-05-30,280.4856,279.95407,279.0716,280.7853,280.16037,279.43668
1990-05-31,282.19373,281.4849,280.54718,282.46976,281.6972,280.95697
1990-06-01,281.52557,281.0578,280.3864,281.53183,280.939,280.43896
1990-06-02,278.8574,278.96536,278.8517,278.08344,278.11612,278.31628
1990-06-03,273.80017,273.28607,272.3783,274.4481,273.87723,273.12512
1990-06-04,279.2849,278.87473,278.00107,279.73532,279.22955,278.5091
1990-06-05,274.12775,273.68777,273.09875,274.21106,273.61978,273.1043
1990-06-06,279.24564,279.06857,278.63614,279.8275,279.58887,279.34158
1990-06-07,278.6237,278.22968,277.88257,278.45892,278.0209,277.8457
1990-06-08,283.54077,282.99487,282.12045,283.4103,282.913,282.39444
1990-06-09,286.58173,285.95358,284.95038,286.9755,286.32144,285.4985
1990-06-10,288.44012,287.81143,286.81036,289.24615,288.54886,287.71957
1990-06-11,286.48416,285.76334,284.3446,285.7447,285.07214,283.92593
1990-06-12,280.82416,280.25363,279.42773,280.47485,279.8647,279.2351
1990-06-13,281.05038,280.47855,279.5427,281.47644,280.8144,280.0461
1990-06-14,282.13654,281.73422,280.81046,282.5429,281.9916,281.22708
1990-06-15,290.12524,289.58255,288.37723,289.78403,289.25613,288.306
1990-06-16,281.212,280.8067,280.17398,281.65936,281.16333,280.6356
1990-06-17,285.78012,285.05188,284.04013,285.6305,284.88583,284.12418
1990-06-18,287.96945,287.19315,286.32892,288.60883,287.73926,287.01535
1990-06-19,288.19565,287.72107,286.8414,289.00528,288.46173,287.7061
1990-06-20,288.19513,287.79584,286.9939,288.02274,287.52386,286.91403
1990-06-21,281.65887,280.98236,279.94107,281.3789,280.6786,279.8915
1990-06-22,289.3016,288.45312,287.20987,289.9684,289.07034,287.99265
1990-06-23,287.6994,287.21487,286.267,287.92395,287.4156,286.6879
1990-06-24,286.82297,286.20737,285.44492,287.4347,286.7753,286.12027
1990-06-25,290.38248,289.83414,289.0102,290.0339,289.42813,288.7728
1990-06-26,282.47696,281.97235,281.18173,282.65952,282.0777,281.45975
1990-06-27,281.55383,281.23206,280.7261,281.6429,281.25253,280.88495
1990-06-28,284.39294,283.6954,282.90738,283.54648,282.81476,282.32227
