,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
2015-01-01,109.10539877419355,108.27647932258064,107.23291738709678,107.93776351612904,107.18935861290322,106.36821083870967
2015-02-01,142.10985014285714,140.91148592857144,139.60759146428572,141.13308542857143,140.06774732142858,138.91828928571428
2015-03-01,194.78655787096775,193.66223922580647,192.26550161290322,193.7127702903226,192.81393612903224,191.55336664516128
2015-04-01,227.03698946666665,225.44678566666667,223.560983,225.534135,223.90528600000002,222.29605733333335
2015-05-01,287.00481354838706,286.2868632258065,284.69828387096777,288.95647483870965,287.7590706451613,286.7472016129032
2015-06-01,314.01973699999996,314.5244166666667,313.307707,317.471437,317.6353433333333,316.340702
2015-07-01,291.2811970967742,291.8693403225806,292.55303741935484,290.01994,290.7759825806451,291.19415354838713
2015-08-01,252.45269741935485,251.5642970967742,250.15147258064516,253.25148516129033,252.31389096774194,250.60407451612903
2015-09-01,211.47878466666668,209.69306300000002,207.66814383333335,211.85667533333333,210.0608088,208.29039616666665
2015-10-01,155.1145093548387,153.62037874193547,151.93572470967743,153.80426532258065,152.2750970967742,150.53220664516127
2015-11-01,109.1233273,108.13042466666666,107.0438875,108.00311126666666,107.09802996666667,106.12315923333334
2015-12-01,86.61157780645162,85.52964354838709,84.38601561290322,85.81465116129033,84.79794861290323,83.69751567741935
2016-01-01,108.34962670967742,107.358993,106.14594341935484,107.69250174193547,106.72332516129032,105.57707577419355
2016-02-01,141.9749702413793,140.27574513793104,138.1545124827586,141.6314131034483,139.9975174137931,137.96326910344828
2016-03-01,190.9915833548387,188.46825148387094,185.90748612903224,188.80671761290324,186.51483016129035,183.96716080645163
2016-04-01,240.850031,239.44107200000002,237.321085,239.31507133333335,237.90052066666667,236.32467766666667
2016-05-01,281.43680774193547,278.81382290322586,274.567065483871,282.9741867741936,280.01823,276.37249709677417
2016-06-01,311.9806443333334,312.9606136666667,312.73176166666667,314.02168033333334,314.6251763333333,314.42255800000004
2016-07-01,281.0007412903226,280.76518870967743,280.74466451612903,282.89978548387097,282.6416422580645,281.91358258064514
2016-08-01,246.8055419354839,246.11022451612905,244.65261774193547,246.29373064516128,245.62811258064517,244.0662612903226
2016-09-01,208.3541086666667,206.20891799999998,203.39657633333334,208.937264,206.860658,204.32623133333334
2016-10-01,156.8016614516129,155.83463658064517,154.9500741612903,155.69397274193548,154.76426532258063,154.0167887419355
2016-11-01,107.48724163333333,106.60881356666667,105.46939426666667,107.02037606666666,106.13487149999999,104.91034880000001
2016-12-01,93.85550074193549,92.96751319354838,91.92469741935483,92.5818199032258,91.77051770967742,90.76158787096773
2017-01-01,111.37251796774193,110.24144238709678,108.87018280645162,110.41321525806453,109.31350035483871,108.04387632258064
2017-02-01,143.19690342857143,141.8742025,140.0971945714286,143.01396425000001,141.75784453571427,140.114246
2017-03-01,192.73471612903228,191.54934903225805,189.74600935483872,192.52879258064516,191.55408193548388,189.79454419354838
2017-04-01,237.528291,236.32437966666666,235.028362,236.977089,235.75650533333334,234.786223
2017-05-01,278.44814,277.21130516129034,275.48353483870966,277.8589706451613,276.2454461290323,275.29194709677415
2017-06-01,305.7576263333333,304.641041,302.30138566666665,307.46111833333333,305.906389,303.54328833333335
2017-07-01,276.00677354838706,275.5128296774194,275.5011532258065,277.0282641935484,276.5530432258064,275.75386612903225
2017-08-01,251.84421903225808,250.37302967741934,248.7027780645161,251.83689290322582,250.48890387096776,248.83799258064516
2017-09-01,203.752441,201.9131306666667,199.51518333333334,202.948777,201.051763,198.85114033333332
2017-10-01,164.67337387096777,162.93065048387095,160.82752596774193,164.1098439032258,162.46151983870968,160.38676983870968
2017-11-01,112.17166416666667,111.1851531,109.9861531,111.6915606,110.8151421,109.647582
2017-12-01,95.62768722580644,94.63315477419354,93.53211212903226,94.37329480645161,93.42896887096774,92.40050741935484
2018-01-01,102.27892538709678,101.40806680645161,99.98937312903226,101.42105903225807,100.63188551612903,99.3205055483871
2018-02-01,145.96258860714286,144.73203767857143,142.85945464285714,145.4463047857143,144.36812764285713,142.730221
2018-03-01,202.1442469354839,201.24236096774192,199.71543261290321,200.29215406451615,199.66100387096773,198.25635806451615
2018-04-01,237.34867633333334,236.6179163333333,235.46249386666665,236.37488966666666,235.54146020000002,234.72401933333333
2018-05-01,254.28824258064517,252.74228967741936,250.74677967741934,257.97666161290323,255.96840212903226,254.39300064516127
2018-06-01,303.584347,303.79456,303.165006,302.89398900000003,302.666852,302.08320100000003
2018-07-01,290.47369129032256,290.3218525806452,290.53359709677414,291.8475006451613,291.6344587096774,291.12809741935484
2018-08-01,232.24679580645162,231.5377906451613,230.87592354838708,233.59119935483872,233.0310470967742,232.31956483870968
2018-09-01,218.26761133333332,217.09416833333336,215.890804,218.471759,217.28695699999997,216.28908066666665
2018-10-01,163.57334548387098,162.2402251612903,160.46237293548387,163.28537580645164,161.99892387096773,160.03615870967744
2018-11-01,118.40603656666667,117.20258833333334,115.44459463333332,118.59972450000001,117.4468179,115.56976086666667
2018-12-01,89.10750780645161,87.75004012903226,86.23175158064517,88.30323512903226,87.03379761290321,85.58900203225807
2019-01-01,107.35703941935483,106.26862606451613,104.98528996774193,106.26283780645161,105.24729783870967,104.0981804516129
2019-02-01,146.83407482142857,145.43576149999998,143.77237164285714,145.8525419285714,144.49587642857142,142.91943446428573
2019-03-01,206.2119308387097,204.41736258064518,202.41587258064519,205.3922822580645,203.79909125806452,201.90987516129033
2019-04-01,226.44415616666666,224.991595,223.17446916666668,226.15675933333333,224.63983266666668,223.17017066666668
2019-05-01,258.0874448387097,257.482374516129,256.25220838709674,256.6677929032258,255.57997112903226,254.76401870967743
2019-06-01,297.927794,297.74502666666666,296.8258156666667,299.87472499999996,299.02613433333335,297.73089266666665
2019-07-01,269.5869003225806,270.30091,271.76381032258064,270.5469893548387,271.28010645161294,272.20736612903227
2019-08-01,246.3750877419355,245.09987290322582,243.3009529032258,247.0016477419355,245.6670958064516,243.5610006451613
2019-09-01,219.007531,217.405913,215.55754280000002,219.84856266666665,218.23871300000002,216.48057166666666
2019-10-01,162.9536135483871,162.09314064516127,161.0443604516129,161.45798883870967,160.68698306451614,159.69867451612905
2019-11-01,109.41039876666667,108.50154233333333,107.24513903333333,107.78064623333333,106.85122559999999,105.4635607
2019-12-01,88.22235303225807,87.15653096774194,85.73437287096775,87.81802480645162,86.86154516129032,85.50069212903226
2020-01-01,106.99451606451613,106.3499790967742,105.2580649032258,105.56689196774194,104.97402812903226,103.96949677419354
2020-02-01,154.75466462068965,153.7802794137931,152.36299744827585,154.6148446896552,153.75337475862068,152.44644086206898
2020-03-01,209.8797777419355,208.06197870967742,205.77541193548387,209.5366135483871,207.9130506451613,205.4801016129032
2020-04-01,245.56047266666667,243.0567135,239.20594416666665,247.27771933333332,244.781529,241.13897200000002
2020-05-01,271.7305983870968,271.333614516129,269.99730612903227,272.1075922580645,271.3637458064516,270.6527751612903
2020-06-01,301.813196,302.0136693333333,301.6155993333333,300.79814566666664,300.5585556666667,300.279839
2020-07-01,279.6431006451613,278.57698032258065,278.1149409677419,279.94682483870963,278.93548387096774,277.9600235483871
2020-08-01,225.51911451612904,224.5723080645161,223.81467322580644,225.2983593548387,224.3146964516129,223.30054580645162
2020-09-01,217.536149,216.00305733333335,213.98119733333334,216.43553599999998,214.861356,213.047809
2020-10-01,156.7504806451613,155.67879532258064,154.29399916129032,155.86232777419355,154.89373212903226,153.55982658064514
2020-11-01,107.48917856666667,106.51320776666667,105.15567733333334,107.1706429,106.2041807,104.80990323333334
2020-12-01,90.81052700000001,89.3698602580645,87.5462814516129,90.16545870967741,88.85461541935484,87.18305532258064
2021-01-01,106.96841458064516,105.81625129032258,104.32845170967741,105.81271316129033,104.74920567741935,103.42964561290323
2021-02-01,154.1411792857143,152.5898219285714,150.53624557142857,153.5207682142857,152.1160257142857,150.29192789285713
2021-03-01,207.6133012903226,206.4204262580645,204.76588258064515,205.1802664516129,204.30241612903225,202.82157516129033
