,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
2015-01-01,237.2673564516129,238.60407322580645,237.28792483870967,240.02368258064516,238.47739064516128,236.28634774193546
2015-02-01,246.8492382142857,247.23994535714286,244.88627357142857,249.56120214285716,247.00418464285713,243.79604357142856
2015-03-01,250.74993322580644,250.9788193548387,248.48600903225807,253.70490032258064,251.01488,247.6925235483871
2015-04-01,273.34173633333336,273.31505166666665,270.170495,276.8330256666667,273.75443033333335,269.78050333333334
2015-05-01,319.32732516129033,319.5895683870968,316.411084516129,324.28323032258066,321.1427948387097,317.09249032258066
2015-06-01,329.8166583333333,329.8823003333334,326.21289199999995,334.2929666666667,330.9424583333333,326.465895
2015-07-01,360.85212193548386,360.6648996774194,356.711390967742,366.72144612903224,362.7872180645161,357.83290741935485
2015-08-01,355.07543935483875,355.57758709677415,352.2331341935484,359.3970809677419,356.1788164516129,351.8813748387097
2015-09-01,337.6304356666667,338.029444,335.0138986666667,341.70768933333335,338.4681166666667,334.5087696666667
2015-10-01,304.6511787096774,305.84760548387095,304.1240458064516,308.68704935483873,306.5271512903226,303.92299258064514
2015-11-01,267.59505966666666,269.0278606666667,267.645673,271.84513366666664,270.180824,267.9141603333333
2015-12-01,252.36257419354837,253.63254709677418,252.06738129032257,255.48867645161292,253.76949032258065,251.3233364516129
2016-01-01,230.46637516129033,231.6932464516129,230.47244741935484,234.02529354838708,232.42906580645163,230.34769387096773
2016-02-01,231.34072448275862,232.20251586206896,230.5809968965517,234.52954896551725,232.54219448275862,230.04781172413792
2016-03-01,254.22828451612904,254.45001129032258,251.78004709677418,257.7010306451613,254.96269064516127,251.4470570967742
2016-04-01,277.8310946666667,278.03716833333334,275.2039076666667,282.250432,279.4607183333334,275.80688833333335
2016-05-01,315.33689516129033,315.21353032258065,311.39670935483866,319.8803609677419,316.4113316129032,311.7548777419355
2016-06-01,326.2191666666667,326.20955433333336,322.64935299999996,330.9125343333333,327.55830433333335,323.13010433333335
2016-07-01,356.9889441935484,357.1471922580645,353.4699712903226,361.95633161290317,358.5033229032258,353.9403893548387
2016-08-01,358.4221480645161,358.9024616129032,355.39889870967744,363.4235883870968,360.2808364516129,355.8989667741935
