,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,2.2041947e-06,1.2025066e-06,1.0742137e-06,2.6280438e-06,1.5137189e-06,1.3446694e-06
1990-01-02,1.2443977e-06,9.23977e-07,8.254941e-07,1.522598e-06,1.1631747e-06,1.0333738e-06
1990-01-03,8.544113e-07,9.369444e-07,9.161144e-07,1.0986424e-06,1.1466176e-06,1.0443786e-06
1990-01-04,1.4584414e-06,1.4765121e-06,1.3304998e-06,1.8383272e-06,1.854371e-06,1.6513214e-06
1990-01-05,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-06,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-07,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-08,7.941424e-06,8.390782e-06,8.111403e-06,9.44292e-06,9.821802e-06,9.471999e-06
1990-01-09,0.00012822902,0.00013236862,0.00013260706,0.00011985578,0.00012116004,0.0001215523
1990-01-10,1.5962467e-05,1.7219443e-05,2.0736094e-05,1.8271856e-05,1.9126552e-05,2.217983e-05
1990-01-11,2.8997208e-06,2.4769731e-06,2.2477723e-06,3.7246823e-06,3.1205034e-06,2.8154982e-06
1990-01-12,2.5222157e-06,2.0829245e-06,1.8748162e-06,3.206099e-06,2.624332e-06,2.348543e-06
1990-01-13,9.826108e-07,7.585196e-07,6.781723e-07,1.2648966e-06,9.557725e-07,8.4960664e-07
1990-01-14,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-15,6.07362e-05,6.2015875e-05,6.0557893e-05,6.9072084e-05,6.97735e-05,6.813585e-05
1990-01-16,7.39798e-06,7.675449e-06,7.67218e-06,2.4699777e-06,2.5081583e-06,2.4925891e-06
1990-01-17,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-18,2.5029174e-05,2.6105045e-05,2.6138932e-05,2.065822e-05,2.119097e-05,2.1030302e-05
1990-01-19,6.585756e-05,7.971197e-05,9.6919706e-05,6.048985e-05,7.093189e-05,8.4159656e-05
1990-01-20,1.1238126e-07,5.1540475e-08,1.6127265e-07,9.577978e-08,6.498819e-08,2.0217423e-07
1990-01-21,5.9375016e-05,6.9068315e-05,7.7845114e-05,4.362114e-05,5.0416842e-05,5.7574634e-05
1990-01-22,8.5784795e-06,1.0627868e-05,1.3600949e-05,1.0966067e-05,1.3152404e-05,1.6468179e-05
1990-01-23,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-24,2.199531e-07,0.0,0.0,1.9285478e-07,0.0,0.0
1990-01-25,0.0001414191,0.0001439428,0.0001439767,0.00014476929,0.00014458092,0.00014215607
1990-01-26,0.00028104152,0.00030259578,0.00030953676,0.0003046053,0.0003203111,0.00032485215
1990-01-27,1.2882715e-05,1.5355665e-05,1.7474778e-05,1.4774447e-05,1.752699e-05,2.0247398e-05
1990-01-28,1.365707e-07,1.3551596e-07,1.2108315e-07,1.7611876e-07,1.7098593e-07,1.5190561e-07
1990-01-29,0.0,0.0,0.0,0.0,0.0,0.0
