,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,105.45382,104.33961,101.59265,103.998985,103.168045,100.80846
1990-01-02,106.29054,106.22881,106.35299,104.00744,104.11438,104.64137
1990-01-03,108.99502,108.06683,106.981445,107.0454,106.478806,106.08371
1990-01-04,110.98213,110.017715,108.64184,108.6051,107.76206,106.69972
1990-01-05,120.30348,119.387856,118.30704,119.37823,118.423035,117.17321
1990-01-06,122.979965,121.81548,120.349266,122.57563,121.36858,119.73107
1990-01-07,108.196175,107.47056,106.598206,107.562416,106.88879,105.97584
1990-01-08,80.1186,79.10285,77.27228,80.880585,80.12617,78.5091
1990-01-09,45.8459,45.412533,45.37032,45.898556,45.42552,45.40168
1990-01-10,80.58469,80.08554,79.36725,78.7197,78.250435,77.541046
1990-01-11,92.39114,92.328255,91.40841,91.90026,91.972534,90.93774
1990-01-12,103.80044,102.08854,100.07227,100.02016,98.66145,97.49969
1990-01-13,104.29284,103.559296,102.1077,102.2375,101.41782,99.99447
1990-01-14,104.79398,102.84112,101.381516,104.52285,102.88213,101.89179
1990-01-15,68.69075,68.64178,68.38588,65.839874,65.19328,64.30875
1990-01-16,130.37851,129.11461,126.68973,133.46626,132.65688,130.38086
1990-01-17,101.82849,101.32965,100.03937,102.19007,101.77991,100.66996
1990-01-18,70.36701,70.38897,70.37444,69.42509,69.05146,68.45414
1990-01-19,78.118866,75.989174,72.21256,78.9887,77.11737,73.50345
1990-01-20,97.62758,98.64854,98.629105,96.41042,97.4099,97.49538
1990-01-21,61.780186,60.342827,58.900185,65.108025,63.704235,62.21752
1990-01-22,111.85026,110.733536,108.79475,112.31358,111.155426,108.84709
1990-01-23,118.885056,118.749695,119.103806,121.223,120.91876,120.73267
1990-01-24,90.99139,91.75157,92.81619,86.38069,87.38934,89.299065
1990-01-25,58.860706,58.599304,57.463474,58.876335,58.82087,57.909573
1990-01-26,55.48697,54.279114,52.472675,55.55067,54.423725,52.768204
1990-01-27,133.51886,131.85619,128.85834,134.58223,133.12439,130.02475
