,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,4.7262044,4.740191,4.823775,4.806084,4.792863,4.8237953
1990-01-02,4.453054,4.5318327,4.7094684,4.4164004,4.480618,4.6268015
1990-01-03,5.8064218,5.85446,5.961067,5.8421984,5.86267,5.917601
1990-01-04,6.206878,6.331577,6.553966,6.1687903,6.2585073,6.420448
1990-01-05,4.458131,4.6533737,4.9210906,4.5127482,4.673644,4.8926487
1990-01-06,2.9106894,3.1056604,3.3217251,2.7676067,2.9357965,3.135357
1990-01-07,2.0145206,2.100839,2.2277398,1.9804554,2.0542033,2.1633015
1990-01-08,3.5376747,3.5343478,3.55445,3.739883,3.724345,3.7030084
1990-01-09,6.2117367,6.2765436,6.367896,6.1201305,6.161231,6.208805
1990-01-10,4.1597958,4.312283,4.5386224,4.0942364,4.227939,4.4192944
1990-01-11,6.4950824,6.597081,6.78795,6.5174947,6.582154,6.7156243
1990-01-12,6.5022163,6.6371446,6.860854,6.767276,6.883673,7.060289
1990-01-13,5.199361,5.243828,5.3463745,5.245069,5.2602186,5.3097787
1990-01-14,4.0092874,4.0512896,4.11492,4.1683,4.188535,4.212441
1990-01-15,3.1144576,3.24467,3.479738,3.1111596,3.2056096,3.3878067
1990-01-16,3.5451834,3.6580303,3.8440852,3.4792233,3.5764685,3.7323287
1990-01-17,3.3080277,3.3093162,3.3451385,3.540623,3.533276,3.5318239
1990-01-18,2.1715484,2.1911895,2.2295933,2.299208,2.312503,2.3175683
1990-01-19,3.3135123,3.4647493,3.651438,3.171116,3.316569,3.510326
1990-01-20,2.8542218,3.0514452,3.2939324,2.825129,3.0221148,3.2596927
1990-01-21,1.8454494,1.9058622,1.9792303,1.9127219,1.9654027,2.0071547
1990-01-22,5.61459,5.7181926,5.904105,5.580805,5.653552,5.7949076
1990-01-23,3.6789346,3.7890837,4.019518,3.724123,3.8204813,4.0260353
1990-01-24,4.3929653,4.503803,4.7040467,4.3943057,4.475988,4.62321
1990-01-25,3.1842403,3.2345421,3.3634822,3.436914,3.4635036,3.5628219
1990-01-26,3.378191,3.517549,3.7763093,3.5602028,3.7108734,3.975534
1990-01-27,6.5975924,6.6692767,6.83,6.670349,6.715262,6.8374176
1990-01-28,5.700556,5.7622485,5.8573003,6.024117,6.068181,6.125432
1990-01-29,4.2624383,4.328298,4.428736,4.674757,4.7099056,4.7678237
1990-01-30,4.0338845,4.0446153,4.123418,4.2377634,4.2340093,4.2691016
1990-01-31,9.497605,9.7032385,9.994529,9.700902,9.862029,10.06954
1990-02-01,3.8094256,3.902053,4.069746,3.8732514,3.936097,4.053002
1990-02-02,5.5509667,5.607776,5.7882524,5.688593,5.7215776,5.85261
1990-02-03,8.578103,8.757955,9.073681,8.517002,8.656865,8.917422
1990-02-04,6.06148,6.2269945,6.4501657,6.114097,6.275337,6.483611
1990-02-05,3.4843993,3.649445,3.8758132,3.439705,3.5746956,3.775848
1990-02-06,3.8393955,3.8601542,3.8892167,4.045592,4.05371,4.033168
1990-02-07,4.678225,4.8210244,5.07517,4.6122513,4.7410097,4.963891
1990-02-08,5.8916006,6.104818,6.408023,5.884688,6.081997,6.359526
1990-02-09,6.6473308,6.7803416,6.9831047,6.6604595,6.7533507,6.8972626
1990-02-10,3.8694336,3.9140146,4.0191507,3.8346548,3.8702254,3.9490473
1990-02-11,6.6200595,6.8063774,7.0646176,6.5837054,6.745032,6.959852
1990-02-12,3.2007287,3.2119322,3.3104115,3.0846558,3.0809767,3.1661704
1990-02-13,6.135084,6.13201,6.2082834,6.3230433,6.2960243,6.325003
1990-02-14,6.836685,6.979164,7.219362,6.988958,7.105651,7.306928
1990-02-15,6.1297636,6.2984443,6.527406,6.456082,6.6117377,6.811015
1990-02-16,4.4816513,4.5357194,4.6593914,4.480842,4.527783,4.643767
1990-02-17,5.457798,5.6130147,5.809859,5.410749,5.557312,5.7262287
1990-02-18,1.6408728,1.7217598,1.9312801,1.5630398,1.6195245,1.8094118
1990-02-19,2.5763478,2.5480032,2.5221653,2.7603436,2.7326639,2.6775043
1990-02-20,3.1922765,3.219659,3.3452969,3.3761387,3.3774898,3.4390287
1990-02-21,6.259786,6.426523,6.6591406,6.296098,6.4393387,6.622782
1990-02-22,3.3892257,3.4760695,3.572901,3.4843922,3.5514848,3.6070619
1990-02-23,4.9715357,5.0517087,5.1990404,4.938823,4.987378,5.076421
1990-02-24,7.424986,7.6159267,7.873144,7.342457,7.530921,7.765966
1990-02-25,1.9213154,1.9674867,2.0774374,1.8303251,1.871173,1.9761608
1990-02-26,2.1150143,2.1271021,2.2001092,2.3759847,2.3948793,2.4421453
1990-02-27,3.7551732,3.7619004,3.861186,3.9180894,3.915298,3.983291
1990-02-28,4.3598385,4.2891016,4.2874002,4.480013,4.401118,4.377933
1990-03-01,6.8718796,6.9378443,7.004042,7.058213,7.1040487,7.12598
1990-03-02,5.334872,5.373943,5.467692,5.4174666,5.456045,5.5581365
1990-03-03,7.9315867,8.217452,8.571943,7.7653832,8.032176,8.356217
1990-03-04,4.1243124,4.3068223,4.545545,4.1711264,4.319305,4.513805
1990-03-05,3.3027437,3.3762097,3.4962196,3.2344413,3.2765725,3.356457
1990-03-06,3.083816,3.080792,3.1140864,3.1658804,3.1523902,3.1497617
1990-03-07,4.121916,4.2164154,4.392455,3.7717776,3.8316553,3.9559987
1990-03-08,4.726211,5.0663695,5.5648317,4.2480855,4.5477324,4.970941
1990-03-09,6.2512307,6.450142,6.785261,6.133751,6.313573,6.6169233
1990-03-10,6.1806493,6.2525344,6.3457947,6.1843,6.246156,6.3045144
1990-03-11,3.9938068,4.0976367,4.175472,3.9681215,4.0659904,4.126522
1990-03-12,1.8759677,1.8786304,1.9231986,1.9146824,1.9158211,1.9523807
1990-03-13,2.6023998,2.5543714,2.4737892,2.7302835,2.6754138,2.574358
1990-03-14,2.1958115,2.2941144,2.3850987,2.2232935,2.3169558,2.3989937
1990-03-15,1.5912858,1.649632,1.7377996,1.5062643,1.5587019,1.6431041
1990-03-16,2.5018497,2.5122275,2.6386862,2.482503,2.4714878,2.5747418
1990-03-17,4.2574577,4.3596783,4.4784303,4.254978,4.339652,4.431454
1990-03-18,3.7074766,3.7197778,3.7497337,3.6595755,3.64446,3.6359656
1990-03-19,5.7196574,5.7530785,5.8104577,5.801322,5.8204927,5.834073
1990-03-20,5.102652,5.326012,5.584126,5.047106,5.2577467,5.493477
1990-03-21,2.6799176,2.763707,2.8954773,2.7210662,2.7839818,2.8862522
1990-03-22,3.381435,3.4671123,3.5829856,3.2623816,3.3322792,3.4299808
1990-03-23,2.9415138,3.0538416,3.2070718,2.8826947,2.9793591,3.11404
1990-03-24,3.057948,3.050743,3.1042843,2.9502232,2.9196038,2.942276
1990-03-25,5.9447865,6.061162,6.216322,6.046987,6.160265,6.2928977
1990-03-26,3.3601527,3.4258153,3.506482,3.229691,3.2902837,3.3653243
1990-03-27,7.177221,7.3306975,7.5708838,6.997271,7.1221724,7.3268914
1990-03-28,6.473795,6.634611,6.859173,6.3999953,6.5280223,6.699235
1990-03-29,8.815374,8.94961,9.212888,8.837611,8.952196,9.176964
1990-03-30,7.716324,7.8926044,8.122197,7.744784,7.8913603,8.072433
1990-03-31,5.4606156,5.5894337,5.7434916,5.508815,5.603227,5.704498
1990-04-01,5.436293,5.518493,5.616831,5.5062675,5.566338,5.6201763
1990-04-02,3.3553112,3.5094168,3.7398226,3.3970234,3.535573,3.7390041
1990-04-03,1.9806086,1.9479308,2.0390413,1.935892,1.8972756,1.9840925
1990-04-04,3.5375688,3.509678,3.5159676,3.557899,3.5188384,3.4977689
1990-04-05,4.3060064,4.453876,4.652914,4.241677,4.3727236,4.543184
1990-04-06,2.6976864,2.87669,3.1496797,2.5502205,2.6940122,2.9224882
1990-04-07,3.4660747,3.4707,3.5019295,3.5150418,3.507699,3.5170865
1990-04-08,5.494581,5.52687,5.635312,5.6145005,5.6472945,5.758787
1990-04-09,5.0589495,5.267662,5.528945,4.880224,5.083781,5.3387733
