,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,268.92145,268.9192,268.64395,268.9985,268.86456,268.74182
1990-01-02,265.2833,265.25275,264.80698,265.75522,265.58237,265.17184
1990-01-03,262.8706,262.7072,262.027,263.1268,262.82098,262.21204
1990-01-04,258.61655,258.39697,257.88354,258.62152,258.25842,257.8451
1990-01-05,261.31128,261.064,260.42505,261.44595,261.06238,260.51755
1990-01-06,269.27402,268.8384,268.0329,268.89038,268.35812,267.67014
1990-01-07,276.02042,275.67642,274.75613,276.09286,275.66367,274.9315
1990-01-08,276.5165,276.25446,275.526,276.56613,276.20804,275.6366
1990-01-09,284.53738,284.07272,282.9238,284.9407,284.39777,283.40076
1990-01-10,284.796,284.49854,283.54178,285.08643,284.73517,283.97665
1990-01-11,278.2344,278.1275,277.46255,278.29767,278.13177,277.6696
1990-01-12,273.20593,272.99365,272.27228,273.10184,272.7802,272.22025
1990-01-13,273.67572,273.4962,272.7797,273.85733,273.56146,272.9743
1990-01-14,273.14587,272.78326,272.03522,273.53143,273.05646,272.4112
1990-01-15,273.2721,273.0741,272.5053,273.28622,272.9388,272.45068
1990-01-16,272.33133,272.12622,271.43985,272.18015,271.86456,271.283
1990-01-17,274.66043,274.4481,273.78983,274.89716,274.5504,273.96725
1990-01-18,276.13272,276.0011,275.39264,276.2351,275.96497,275.43808
1990-01-19,279.1479,278.93982,278.15237,278.87845,278.56512,277.89636
1990-01-20,278.4234,278.29297,277.6206,278.17532,277.95465,277.45425
1990-01-21,278.3373,278.13394,277.42734,278.30112,277.96625,277.3625
1990-01-22,277.48285,277.30496,276.6742,277.38367,277.07666,276.55527
1990-01-23,273.76447,273.64963,273.15268,273.9179,273.68433,273.32004
1990-01-24,282.34866,281.8926,280.85153,282.3486,281.80438,280.94983
1990-01-25,281.7836,281.4276,280.4777,281.6898,281.2506,280.48245
1990-01-26,280.96585,280.3098,279.21146,279.53726,278.79504,277.94766
1990-01-27,285.0849,284.6274,283.5286,284.6452,284.08398,283.11584
1990-01-28,273.5942,273.46832,272.79865,273.06357,272.8235,272.30212
1990-01-29,274.94058,274.73047,273.99753,275.0356,274.7052,274.1139
1990-01-30,275.3185,275.31424,274.76624,275.2408,275.0922,274.65182
1990-01-31,273.0974,272.96628,272.31274,273.17096,272.86777,272.27194
1990-02-01,274.6067,274.4197,273.7625,274.75113,274.42416,273.86154
1990-02-02,283.3855,283.10754,282.2513,283.20038,282.84683,282.18396
1990-02-03,286.74704,286.45218,285.523,286.76907,286.39508,285.64508
1990-02-04,270.1369,270.14603,269.6685,270.1833,270.04282,269.63663
1990-02-05,267.8473,267.67825,266.97922,267.8467,267.5703,267.00397
1990-02-06,273.10114,273.04712,272.61176,273.32068,273.1122,272.75223
1990-02-07,272.7114,272.75995,272.41797,272.79193,272.68552,272.40167
1990-02-08,269.49188,269.567,269.149,269.41367,269.3481,269.06686
1990-02-09,268.087,268.05658,267.49838,268.3105,268.12836,267.6314
1990-02-10,270.0484,270.07053,269.69427,269.5349,269.45166,269.2595
1990-02-11,266.96466,267.0851,266.74747,266.8032,266.7812,266.55768
1990-02-12,267.50168,267.39902,266.8819,267.14465,266.85132,266.39224
1990-02-13,278.13492,278.03467,277.4245,278.04263,277.81265,277.35974
1990-02-14,280.31668,280.15436,279.4575,280.1591,279.88126,279.3491
1990-02-15,273.50473,273.61298,273.2763,272.68945,272.66177,272.5073
1990-02-16,269.5969,269.60342,269.11526,268.98386,268.8492,268.44202
1990-02-17,267.29224,267.32132,266.8528,266.93857,266.83322,266.4732
1990-02-18,269.1464,268.9506,268.32123,269.1714,268.8766,268.4035
1990-02-19,275.6477,275.3856,274.5663,275.91376,275.53638,274.85867
1990-02-20,276.92535,276.8878,276.40305,277.01633,276.84695,276.4568
1990-02-21,275.40256,275.39612,274.9421,275.45572,275.32788,274.9966
1990-02-22,274.77908,274.6862,274.068,274.5241,274.28897,273.73648
1990-02-23,275.41312,275.3611,274.8282,275.1881,275.0133,274.53363
1990-02-24,269.64105,269.73566,269.4125,269.34174,269.29373,269.069
1990-02-25,269.16232,268.9103,268.23404,269.08707,268.70172,268.15323
1990-02-26,275.4874,275.38745,274.78793,275.7025,275.4657,274.95676
1990-02-27,276.06006,275.92184,275.35034,276.13724,275.8567,275.3691
1990-02-28,278.32123,278.15436,277.4788,278.47635,278.17935,277.5941
1990-03-01,274.94785,275.1997,274.81708,274.8946,275.01166,274.74316
1990-03-02,267.07886,267.39764,267.42477,265.56686,265.72363,265.86716
1990-03-03,265.2357,265.3719,265.24478,264.99585,264.8835,264.65137
1990-03-04,268.7784,268.55215,267.85504,268.7572,268.38446,267.79257
1990-03-05,274.04065,273.8591,273.20935,273.9839,273.69604,273.201
1990-03-06,274.39236,274.21417,273.61337,274.67065,274.3415,273.8131
1990-03-07,276.10806,275.9283,275.22882,276.26276,275.92407,275.30414
1990-03-08,275.36844,275.1904,274.56073,275.9056,275.57565,274.95923
1990-03-09,275.04315,274.9457,274.29074,274.7725,274.53708,273.99667
1990-03-10,275.39865,275.2995,274.72012,275.16388,274.9335,274.47372
1990-03-11,277.85922,277.72388,277.0954,277.41345,277.15625,276.69577
1990-03-12,279.76947,279.5676,278.96396,279.76624,279.4183,278.94415
1990-03-13,282.05783,281.59995,280.65475,282.0801,281.51157,280.67624
1990-03-14,283.387,283.06006,282.25198,284.00153,283.5325,282.81418
1990-03-15,283.6255,283.44006,282.89682,283.44177,283.15952,282.81073
1990-03-16,284.49316,284.372,283.68765,284.26376,284.0172,283.46838
1990-03-17,280.68945,280.8121,280.37506,280.43524,280.42032,280.134
1990-03-18,273.6997,273.84058,273.64136,273.0275,273.02814,273.06134
1990-03-19,271.20367,271.27505,270.89404,271.27893,271.18127,270.83694
1990-03-20,271.6961,271.6118,271.16226,271.57712,271.37332,271.0423
1990-03-21,274.99008,274.7887,274.1509,275.2298,274.9015,274.3473
1990-03-22,277.03198,276.85825,276.2673,276.9012,276.57013,276.0498
1990-03-23,281.6721,281.33853,280.60025,281.12405,280.67804,280.13556
1990-03-24,287.34296,287.01685,286.31006,286.91156,286.49677,286.0072
1990-03-25,285.94507,285.6068,284.8236,285.9529,285.51874,284.91113
