,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-02,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-03,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-04,6.036523814145767e-07,2.6810090503204265e-07,2.2956191969569772e-07,8.534461812814698e-07,6.119848876551259e-07,5.210594054005924e-07
1990-01-05,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-06,3.0449707992374897e-05,2.7195670554647222e-05,2.4038552510319278e-05,2.7413365387474187e-05,2.3337648599408567e-05,2.0185771063552238e-05
1990-01-07,0.00026018553762696683,0.00028440915048122406,0.00030513235833495855,0.0002535344974603504,0.0002696251031011343,0.0002867617004085332
1990-01-08,9.64078299148241e-06,9.235931429429911e-06,8.482688826916274e-06,8.47872161102714e-06,7.830656613805331e-06,7.367599209828768e-06
1990-01-09,1.9176671628429176e-07,0.0,0.0,1.2832478546442871e-07,0.0,0.0
1990-01-10,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-11,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-12,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-13,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-14,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-15,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-16,7.842551713110879e-05,7.473504956578836e-05,7.013224967522547e-05,9.192113066092134e-05,8.756634633755311e-05,8.255134162027389e-05
1990-01-17,0.00013409543316811323,0.00013646918523591012,0.00013171609316486865,0.00015811169578228146,0.00015951399109326303,0.00015665798855479807
1990-01-18,4.6282188122859225e-05,4.7142555558821186e-05,4.5968972699483857e-05,6.934470729902387e-05,6.96019342285581e-05,6.839809066150337e-05
1990-01-19,5.973924430691113e-07,5.078822482573742e-07,5.074138584859611e-07,1.3953302868685569e-06,1.1609338343987474e-06,1.1531476502568694e-06
1990-01-20,2.1821356313012075e-06,2.116880068570026e-06,2.0105178464291384e-06,5.097472694615135e-06,4.839294433622854e-06,4.569542852550512e-06
