,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,233.01010131835938,234.8781280517578,234.33062744140625,237.9993133544922,237.00045776367188,235.61021423339844
1990-01-02,228.42576599121094,228.55250549316406,224.65760803222656,231.54808044433594,229.11512756347656,225.3487091064453
1990-01-03,218.42086791992188,218.08901977539062,215.12545776367188,214.75689697265625,211.54525756835938,207.100830078125
1990-01-04,197.54592895507812,197.34478759765625,193.87322998046875,194.07351684570312,191.8404998779297,188.51373291015625
1990-01-05,157.197265625,158.93536376953125,159.34007263183594,158.80967712402344,158.71826171875,158.6688690185547
1990-01-06,188.04429626464844,189.20855712890625,188.50131225585938,188.8103485107422,187.634765625,186.1874542236328
1990-01-07,276.1131286621094,277.5845642089844,275.9049377441406,276.4862060546875,274.59332275390625,271.9058532714844
1990-01-08,205.025390625,207.73268127441406,208.99118041992188,206.9109344482422,206.85598754882812,207.0017547607422
1990-01-09,191.36575317382812,191.7658233642578,190.41575622558594,188.85296630859375,187.0067596435547,185.45423889160156
1990-01-10,167.70697021484375,168.6815643310547,167.8861083984375,173.28768920898438,172.58316040039062,171.22731018066406
1990-01-11,171.11557006835938,172.62448120117188,172.6834259033203,173.9700164794922,173.33216857910156,172.75106811523438
1990-01-12,211.98057556152344,213.17221069335938,212.19789123535156,215.97471618652344,214.46310424804688,212.8058624267578
1990-01-13,211.1647491455078,213.03175354003906,213.07518005371094,214.19024658203125,213.2405242919922,212.1781463623047
1990-01-14,231.17807006835938,230.9746856689453,226.84840393066406,236.97341918945312,234.30491638183594,230.11264038085938
1990-01-15,201.38536071777344,202.22738647460938,200.73162841796875,204.32257080078125,202.46983337402344,199.80398559570312
1990-01-16,269.701416015625,269.09161376953125,265.6282958984375,273.74517822265625,269.7726745605469,265.1755065917969
1990-01-17,300.8456115722656,301.1448669433594,297.7241516113281,304.754150390625,301.53558349609375,297.298583984375
1990-01-18,303.7880859375,304.4709167480469,301.6125183105469,307.7197265625,304.9255065917969,301.1131591796875
