,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,84.48964,84.147125,83.67441,84.99275,84.66516,84.253525
1990-01-02,90.64116,90.54099,90.301575,90.54328,90.423004,90.2139
1990-01-03,84.916,84.52303,84.008316,85.85665,85.500145,85.06672
1990-01-04,77.75413,77.076614,76.296165,78.57032,77.91168,77.19092
1990-01-05,80.214966,78.94934,77.58979,80.877525,79.58549,78.241776
1990-01-06,78.61815,78.08086,77.44486,79.55304,79.035355,78.45966
1990-01-07,82.29609,81.45368,80.515976,83.96528,83.00906,82.00107
1990-01-08,73.59535,73.43095,73.17616,74.089066,73.9648,73.788025
1990-01-09,81.43609,80.276405,79.03463,82.50369,81.3607,80.1767
1990-01-10,73.91703,73.56467,73.13103,75.15579,74.7948,74.39027
1990-01-11,73.61865,73.04514,72.397125,75.19418,74.489716,73.749504
1990-01-12,82.99737,82.41167,81.74465,84.72498,84.08767,83.41142
1990-01-13,72.84104,73.21481,73.50778,74.46152,74.67488,74.84662
1990-01-14,69.73024,68.63013,67.47588,72.29181,71.0623,69.81444
1990-01-15,78.40164,77.88454,77.29959,79.84839,79.34957,78.82207
1990-01-16,80.08902,79.78151,79.40464,80.77408,80.45526,80.10797
1990-01-17,73.37984,73.672264,73.895966,75.450905,75.61729,75.75375
1990-01-18,78.920975,77.640724,76.310936,79.477615,78.053055,76.6205
1990-01-19,77.68826,76.878746,76.01684,78.39286,77.63576,76.864944
1990-01-20,84.12941,83.85329,83.51491,84.94905,84.56773,84.16864
1990-01-21,97.750595,97.79864,97.77226,97.78021,97.73811,97.67351
1990-01-22,94.48076,94.40754,94.2665,94.660034,94.52257,94.3673
1990-01-23,84.26963,83.98933,83.65345,85.32218,84.99448,84.65561
1990-01-24,74.07924,73.10532,72.093735,75.86789,74.9793,74.09015
1990-01-25,78.63464,77.56343,76.454285,78.78279,77.473,76.16922
1990-01-26,90.87533,90.48345,90.03843,91.51793,91.07897,90.6357
1990-01-27,78.98886,78.37298,77.71571,80.00395,79.43514,78.86646
1990-01-28,74.85899,74.455734,74.01199,74.96337,74.480415,73.99836
1990-01-29,90.44358,90.17614,89.8581,90.67663,90.35478,90.032394
1990-01-30,85.40255,84.69666,83.949554,86.51017,85.83877,85.17255
1990-01-31,76.63707,75.749916,74.82953,77.69501,76.736984,75.78886
1990-02-01,83.838425,82.914536,81.95417,85.3461,84.40951,83.48338
1990-02-02,91.32714,91.560616,91.739296,91.78219,92.01115,92.23774
1990-02-03,63.961945,63.441784,62.89182,64.303894,63.76494,63.233036
1990-02-04,64.791916,63.833767,62.8507,65.627235,64.72022,63.82496
1990-02-05,66.138115,65.038445,63.914665,67.21317,66.11952,65.040085
1990-02-06,68.65592,67.86737,67.049194,66.796646,66.16425,65.54097
1990-02-07,73.25599,72.40241,71.51697,74.88713,74.10186,73.3278
1990-02-08,76.66576,75.764015,74.82847,78.78965,78.005615,77.23288
