,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,214.7876,216.07147,215.0358,213.21129,211.1154,208.56392
1990-01-02,275.19833,276.9385,275.70413,277.81326,276.5796,274.72574
1990-01-03,265.3944,266.19083,264.126,271.82822,269.77612,267.1313
1990-01-04,198.701,201.5315,202.19601,199.31535,199.85893,199.93182
1990-01-05,205.67952,202.3469,196.83446,205.30956,199.55719,193.4293
1990-01-06,198.5556,198.55418,196.4148,201.57181,199.10167,196.2071
1990-01-07,206.867,210.22675,211.32365,213.64104,214.596,215.03824
1990-01-08,193.85223,197.19423,198.41264,196.04053,197.07774,197.64111
1990-01-09,207.5771,206.83083,203.85359,210.37349,206.92213,203.0415
1990-01-10,200.52878,201.53113,200.35951,202.67212,201.03098,198.94621
1990-01-11,198.61519,200.82402,200.86613,204.09033,203.82053,203.07918
1990-01-12,241.45224,242.44312,240.81606,242.5286,240.52841,237.99663
1990-01-13,189.81738,192.77806,193.65715,195.46762,195.9928,196.0513
1990-01-14,184.0346,185.00406,183.97398,186.39638,185.09375,183.37724
1990-01-15,195.58415,195.51819,193.33762,199.40251,196.73796,193.65248
1990-01-16,192.50284,194.8504,195.09059,198.14162,198.00255,197.40016
1990-01-17,189.73904,192.29591,192.7721,187.57906,187.53082,187.0418
1990-01-18,215.42616,216.49712,215.2238,217.96062,215.94522,213.45164
1990-01-19,202.65509,202.6589,200.46709,204.93797,202.56242,199.74509
1990-01-20,222.36775,222.28398,219.79086,223.33876,220.35706,216.90016
1990-01-21,277.3029,277.0831,273.85886,281.14578,277.90466,274.0552
1990-01-22,292.6233,294.1496,292.48538,296.32077,294.57614,292.15924
1990-01-23,233.5755,236.21178,236.28508,237.33958,237.12703,236.35373
1990-01-24,181.54422,182.67937,181.83142,183.85951,182.37727,180.4836
1990-01-25,211.70122,213.31717,212.61656,210.78593,209.84596,208.41971
1990-01-26,263.83038,266.29666,265.8698,266.0545,265.54834,264.41483
1990-01-27,209.82399,211.00764,209.89803,214.32387,213.41815,212.01509
1990-01-28,190.68103,191.49706,190.23112,191.19955,189.73943,187.84668
1990-01-29,258.27014,258.5862,256.0901,262.5596,259.93497,256.72638
1990-01-30,237.38684,237.7296,235.48611,242.36948,239.84688,236.78596
1990-01-31,209.86754,210.55568,208.95229,216.08986,214.20845,211.83934
1990-02-01,252.0545,251.21059,247.63246,255.36992,251.36385,246.81319
1990-02-02,294.56503,297.591,297.37497,298.38504,298.09943,297.09448
1990-02-03,179.54005,182.04678,182.56912,180.95064,181.10411,180.81432
1990-02-04,163.96365,165.34404,164.92198,161.7772,161.26457,160.36682
1990-02-05,170.38606,171.541,170.82553,167.09349,166.23726,164.98846
1990-02-06,209.1374,211.79008,212.13168,210.0181,210.12112,209.70732
1990-02-07,175.36157,175.48134,173.68744,180.65233,178.14352,175.23825
1990-02-08,182.96445,183.929,182.88637,189.82245,188.44385,186.62375
1990-02-09,194.45055,195.53992,194.49466,199.8305,198.31157,196.328
1990-02-10,206.36372,207.06125,205.49815,214.31798,212.34679,209.8826
1990-02-11,185.12798,185.96391,184.76874,189.52306,187.85681,185.75198
1990-02-12,174.643,176.67712,176.7792,175.55144,175.44528,174.90395
1990-02-13,196.09477,197.47836,196.70302,198.10577,196.98769,195.39653
1990-02-14,251.55975,252.46228,250.6053,255.67038,253.60632,250.94226
1990-02-15,231.84372,232.83952,231.28922,233.34428,231.73326,229.5677
1990-02-16,200.37341,201.24992,199.9251,206.20364,204.38379,202.08032
1990-02-17,206.94075,208.33575,207.45027,211.9152,211.02525,209.61739
1990-02-18,184.24332,185.77174,185.26541,184.52563,183.79509,182.61134
1990-02-19,185.4443,186.87308,186.25456,186.2666,185.37938,184.03625
1990-02-20,208.0306,208.00978,205.71306,208.26143,205.83713,202.93036
1990-02-21,270.7266,270.61636,267.54468,273.4539,270.2935,266.49713
1990-02-22,267.49844,268.17908,265.92215,269.19174,266.90164,263.9668
1990-02-23,278.19843,278.63254,276.01443,282.30096,279.52686,276.08206
1990-02-24,255.39162,256.0434,253.8889,260.69424,258.169,255.02162
1990-02-25,243.3552,243.1083,240.1986,249.23476,245.97916,242.14415
1990-02-26,208.3583,208.97565,207.30092,211.69772,209.99657,207.77948
1990-02-27,264.71082,263.75342,259.9077,267.2363,263.33002,258.8069
1990-02-28,282.01785,281.80988,278.51245,284.9701,281.4587,277.27356
1990-03-01,291.1913,291.10327,287.82254,294.08212,290.82977,286.87186
1990-03-02,237.9302,238.97102,237.38623,242.63914,240.79457,238.34785
1990-03-03,222.99028,223.79515,222.14085,227.90201,226.03471,223.60263
