,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,94.05304,91.72789,89.153656,98.50297,96.5091,94.24543
1990-01-02,58.58161,56.23055,53.748024,60.33714,57.681076,54.896862
1990-01-03,85.24708,84.55216,83.590485,80.04944,79.40612,78.52143
1990-01-04,114.68183,113.56453,112.09149,114.2444,113.2302,111.87616
1990-01-05,108.59259,110.09876,111.19679,109.066536,110.53619,111.6227
1990-01-06,112.49979,111.764626,110.66699,110.987526,110.324234,109.327675
1990-01-07,97.44987,96.653694,95.54618,91.88705,91.24064,90.32301
1990-01-08,116.81921,114.95817,112.746315,115.84337,113.913765,111.6728
1990-01-09,96.89225,97.25138,97.26649,95.15289,95.68518,95.912025
1990-01-10,118.57655,118.06258,117.15113,116.73251,116.48171,115.881744
1990-01-11,113.48752,112.137886,110.428825,110.95342,109.57163,107.88909
1990-01-12,60.849754,60.37512,59.699944,59.536297,59.025547,58.349457
1990-01-13,117.07235,115.69646,113.94495,113.46648,112.26203,110.75128
1990-01-14,97.48519,96.531525,95.25813,96.62357,95.65703,94.43092
1990-01-15,105.89253,106.69641,107.101906,104.356926,105.20103,105.72233
1990-01-16,125.39777,123.955284,122.10263,123.226074,121.86533,120.183304
1990-01-17,107.30701,105.29933,102.9593,111.39869,109.77494,107.87298
1990-01-18,115.6243,116.69574,117.32112,114.0689,115.38214,116.342735
1990-01-19,124.967285,124.17171,122.94378,124.446205,123.57254,122.37175
1990-01-20,73.29314,73.47364,73.382256,72.85479,73.08671,73.11124
1990-01-21,64.37361,64.90546,65.18768,64.87912,65.25312,65.43991
1990-01-22,87.15776,86.76893,86.070114,87.48803,87.582726,87.43623
1990-01-23,126.21405,125.07045,123.491516,122.888626,121.89981,120.60035
1990-01-24,139.22745,138.03267,136.3541,138.51282,137.44371,136.02531
1990-01-25,71.90692,71.956345,71.73761,75.75127,75.83971,75.722496
1990-01-26,94.75467,94.09869,93.10724,92.68665,92.425446,91.92205
1990-01-27,135.63525,133.66162,131.2335,134.41788,132.44173,130.15193
1990-01-28,134.64117,134.74907,134.3509,135.45715,135.30849,134.80215
1990-01-29,72.618866,71.73425,70.600746,69.48787,68.755775,67.85528
1990-01-30,117.421776,116.278824,114.725365,116.81815,115.85422,114.60099
1990-01-31,133.8327,134.40266,134.45593,130.31296,131.17096,131.66197
1990-02-01,120.14579,122.41784,124.18053,118.94549,121.19041,123.06658
1990-02-02,70.58546,64.871994,59.040573,68.83294,63.245712,57.60005
1990-02-03,151.11165,149.55194,147.46559,150.39777,149.01172,147.25189
1990-02-04,155.18036,153.51422,151.30943,156.05992,154.53209,152.61623
1990-02-05,147.8106,147.11504,145.88441,153.33989,152.44412,151.15091
1990-02-06,132.27129,129.81248,126.92255,131.26587,128.78413,125.99816
1990-02-07,156.51637,156.05464,155.02194,153.76288,153.64226,153.0995
1990-02-08,159.46408,158.14883,156.27496,156.95665,155.82536,154.28209
1990-02-09,149.01207,148.36224,147.1777,144.12262,143.57968,142.6437
1990-02-10,152.21083,150.66405,148.59546,148.74179,147.17682,145.22461
1990-02-11,172.72545,171.22559,169.12993,172.25201,171.03665,169.35445
1990-02-12,174.5364,172.63866,170.15154,174.47931,172.70091,170.45647
1990-02-13,150.04474,149.12059,147.67511,148.5491,147.81035,146.65273
1990-02-14,119.42048,119.79579,119.7312,115.600426,116.08407,116.214226
1990-02-15,146.00458,143.62714,140.78548,146.9333,144.84743,142.36739
1990-02-16,169.02155,167.36087,165.13997,166.74864,165.24773,163.27426
1990-02-17,178.59224,176.21545,173.26665,177.49222,175.14232,172.29968
1990-02-18,181.14545,179.78294,177.81958,182.67441,181.39958,179.58546
1990-02-19,187.82436,186.3405,184.2409,187.69798,186.27356,184.29054
1990-02-20,166.27081,166.53572,166.22241,168.45154,168.73485,168.47581
