,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,268.15317,267.72498,266.91547,267.92603,267.31152,266.5578
1990-01-02,272.58032,272.2655,271.5681,272.86038,272.47064,271.9408
1990-01-03,273.25745,273.13873,272.63626,273.2118,272.99463,272.6365
1990-01-04,268.6524,268.50635,267.9753,268.33557,268.0968,267.71622
1990-01-05,267.99838,267.53546,266.68622,267.5882,267.03467,266.33838
1990-01-06,266.15576,265.77863,265.01395,265.98578,265.5431,264.95673
1990-01-07,264.4289,264.2705,263.7232,264.47668,264.24567,263.86993
1990-01-08,263.39926,263.1989,262.60828,263.2326,262.93,262.48178
1990-01-09,264.40488,263.8872,262.9778,264.32803,263.68924,262.90387
1990-01-10,264.15323,263.8069,263.06744,263.87213,263.40088,262.78204
1990-01-11,263.19727,262.9273,262.26288,263.22766,262.83813,262.3001
1990-01-12,265.75537,265.34607,264.54083,265.41028,264.88477,264.20972
1990-01-13,258.95862,258.5004,257.6449,259.05048,258.49228,257.78363
1990-01-14,254.58939,254.13422,253.28033,254.47841,253.88052,253.1312
1990-01-15,260.01004,259.69092,258.97168,259.90643,259.43646,258.8141
1990-01-16,261.7641,261.62128,261.07697,261.9909,261.7298,261.31543
1990-01-17,259.10492,258.90112,258.29456,258.8216,258.4876,257.99945
1990-01-18,264.0066,263.68982,262.96893,263.9852,263.56882,262.9974
1990-01-19,264.65344,264.36115,263.66345,264.61996,264.2045,263.63312
1990-01-20,263.1283,262.54205,261.54926,262.90033,262.14807,261.23914
1990-01-21,270.69284,270.2302,269.35974,270.4657,269.89243,269.16168
1990-01-22,274.79797,274.69946,274.19193,274.67633,274.51147,274.18845
1990-01-23,268.39392,268.36957,267.93518,268.06445,267.95038,267.67734
1990-01-24,261.76288,261.57758,260.98117,261.45923,261.12012,260.6214
1990-01-25,262.23212,262.17178,261.69934,261.7615,261.54037,261.1591
1990-01-26,269.95837,269.9442,269.5171,269.58093,269.4621,269.18256
1990-01-27,265.90616,265.78235,265.24475,265.7334,265.5083,265.12198
1990-01-28,263.29572,263.06665,262.42303,263.07278,262.72144,262.2084
1990-01-29,270.04242,269.79382,269.13,270.323,269.89392,269.30273
1990-01-30,267.59082,267.48535,266.96393,267.8282,267.64252,267.29443
1990-01-31,262.9259,262.9502,262.55807,263.138,263.08502,262.86945
1990-02-01,270.16235,269.9195,269.2598,270.0901,269.721,269.1891
1990-02-02,273.40515,273.4574,273.09247,273.23035,273.199,273.0047
1990-02-03,261.07938,261.12482,260.75278,260.9798,260.92017,260.6975
1990-02-04,256.72717,256.58408,256.02344,256.0192,255.76344,255.34476
1990-02-05,256.30673,256.15305,255.58176,255.78725,255.51645,255.08276
1990-02-06,259.14697,258.98517,258.4058,259.00098,258.7091,258.25452
1990-02-07,256.5823,256.28888,255.57797,256.41394,255.98175,255.3871
1990-02-08,258.81647,258.57623,257.91882,259.02136,258.64294,258.10242
1990-02-09,259.7858,259.65512,259.1076,259.81253,259.5696,259.16492
1990-02-10,264.485,264.22662,263.55176,264.8274,264.4414,263.8941
1990-02-11,261.65967,261.42535,260.77502,261.52368,261.1325,260.58063
1990-02-12,261.99606,261.7811,261.15082,261.77347,261.45667,260.97968
1990-02-13,262.6986,262.59714,262.081,262.34134,262.10867,261.71655
1990-02-14,270.3838,270.1779,269.55817,270.46072,270.12003,269.6206
1990-02-15,269.21545,269.1092,268.59003,268.9536,268.73746,268.3634
1990-02-16,264.44125,264.36047,263.86768,264.3634,264.12494,263.72943
1990-02-17,266.45456,266.2376,265.60974,266.32983,266.00195,265.518
