,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,263.15466,262.47153,261.46442,262.38397,261.40182,260.34573
1990-01-02,270.80048,270.52243,269.92,270.91556,270.58606,270.18274
1990-01-03,271.81796,271.6624,271.182,271.74924,271.53632,271.24973
1990-01-04,264.50125,264.31378,263.80106,264.06,263.76666,263.3998
1990-01-05,264.96167,264.1932,263.0989,264.33322,263.46347,262.52023
1990-01-06,263.14142,262.61664,261.76556,262.947,262.37396,261.7275
1990-01-07,260.75183,260.56778,260.0568,260.95016,260.7165,260.40942
1990-01-08,260.2286,260.02542,259.49478,260.02774,259.7209,259.34064
1990-01-09,257.41418,256.68842,255.63455,257.05316,256.1897,255.25288
1990-01-10,257.81174,257.44733,256.75418,257.04843,256.5426,255.96335
1990-01-11,260.7964,260.39713,259.66846,260.9147,260.38165,259.77515
1990-01-12,259.7741,259.21643,258.3287,259.3993,258.74393,258.01505
1990-01-13,247.3952,246.60312,245.48035,247.58969,246.73949,245.81573
1990-01-14,247.0424,246.31192,245.25005,247.23999,246.37453,245.43542
1990-01-15,254.40707,253.90948,253.07983,254.47452,253.81004,253.07185
1990-01-16,258.58224,258.33142,257.74786,259.11435,258.7489,258.30972
1990-01-17,253.88417,253.55759,252.89763,253.05075,252.54446,251.96431
1990-01-18,259.88934,259.4087,258.59402,259.79578,259.2242,258.57867
1990-01-19,261.98502,261.52228,260.72498,261.89548,261.29846,260.62738
1990-01-20,258.4516,257.70978,256.63272,258.39716,257.4897,256.50812
1990-01-21,266.7034,265.86124,264.68326,266.24524,265.31583,264.31226
1990-01-22,272.758,272.4934,271.89246,272.5687,272.23532,271.8277
1990-01-23,262.8263,262.6049,262.0466,262.08328,261.7162,261.27475
1990-01-24,257.87698,257.607,256.9996,257.49008,257.04672,256.52896
1990-01-25,257.4262,257.2792,256.7944,256.54907,256.25894,255.89441
1990-01-26,266.38196,266.0617,265.4033,265.80035,265.34143,264.80804
1990-01-27,263.07138,262.80353,262.19714,262.84647,262.5126,262.10428
1990-01-28,255.67882,255.40991,254.80211,255.32674,254.9401,254.47906
1990-01-29,266.9743,266.44894,265.5845,267.21698,266.4652,265.63898
1990-01-30,264.1211,263.81076,263.16107,264.36154,264.0069,263.5779
1990-01-31,259.31992,259.28842,258.91742,259.64093,259.55695,259.3987
1990-02-01,264.26486,263.70297,262.80154,264.0342,263.36197,262.61557
1990-02-02,264.2146,264.34164,264.12912,263.79852,263.8265,263.7805
1990-02-03,253.70848,253.13466,252.2213,253.46942,252.77573,252.00822
1990-02-04,252.28569,251.99739,251.3697,251.44728,251.06705,250.61325
1990-02-05,250.80103,250.5389,249.93758,249.77164,249.41875,248.99248
1990-02-06,257.2281,256.9584,256.34973,257.20325,256.80664,256.3369
1990-02-07,252.47148,252.00935,251.20857,252.32243,251.73749,251.07974
1990-02-08,254.47374,254.01154,253.2111,254.82373,254.19838,253.50055
1990-02-09,254.85942,254.60457,254.01196,254.83957,254.48192,254.05215
1990-02-10,260.84134,260.36426,259.54993,261.6112,261.01526,260.34766
1990-02-11,258.32413,257.89926,257.13766,258.20828,257.6027,256.9259
1990-02-12,254.8612,254.44865,253.7001,254.43013,253.93492,253.36894
1990-02-13,253.99576,253.9315,253.53192,253.27824,253.06522,252.78198
1990-02-14,267.42902,267.0448,266.32608,267.6818,267.15775,266.56403
1990-02-15,266.783,266.58698,266.05734,266.34912,266.0598,265.7014
1990-02-16,262.0308,261.7864,261.20926,262.0721,261.68115,261.2217
1990-02-17,261.8523,261.42142,260.65872,261.86218,261.3177,260.70535
1990-02-18,259.07202,258.98935,258.57596,258.364,258.20517,257.97928
1990-02-19,259.4334,259.42386,259.08463,258.8178,258.70026,258.51636
1990-02-20,257.9945,257.6457,256.9684,256.86685,256.39944,255.86644
1990-02-21,270.67773,270.34433,269.68365,270.8916,270.47543,269.99445
1990-02-22,270.558,270.12234,269.36063,270.6227,270.09775,269.50882
1990-02-23,269.65833,269.1352,268.28732,269.20877,268.58102,267.89014
1990-02-24,271.66537,271.35675,270.7247,271.774,271.3718,270.90732
1990-02-25,268.40594,268.15247,267.57697,268.45285,268.16504,267.81583
1990-02-26,259.03595,258.6179,257.87915,258.31134,257.77133,257.1709
1990-02-27,269.79498,269.21475,268.3153,269.69385,269.02798,268.30258
1990-02-28,270.69925,270.20007,269.38312,270.7416,270.13858,269.477
1990-03-01,272.43094,271.95956,271.17188,272.38074,271.85367,271.26904
1990-03-02,268.85175,268.60562,268.0446,268.6563,268.3201,267.92734
1990-03-03,266.15433,265.93335,265.39896,266.27704,265.95474,265.5768
1990-03-04,261.26276,261.24554,260.91638,261.15573,261.0798,260.94928
1990-03-05,260.27988,260.06247,259.5346,259.89755,259.5936,259.23602
1990-03-06,260.4174,260.21768,259.70892,259.99005,259.72934,259.41608
1990-03-07,260.71982,260.39185,259.75632,260.04068,259.67435,259.25644
1990-03-08,258.2841,257.57294,256.55573,257.0382,256.24957,255.4104
1990-03-09,269.29318,268.5686,267.53934,269.23352,268.40933,267.53558
1990-03-10,266.26953,266.03214,265.4915,266.19492,265.8885,265.5335
1990-03-11,261.42535,261.14026,260.55328,260.4527,260.0885,259.6767
1990-03-12,265.26096,264.9316,264.30173,265.05026,264.62643,264.15594
1990-03-13,270.4008,270.04062,269.3812,270.1248,269.70648,269.2425
1990-03-14,265.9605,265.72275,265.18704,265.85806,265.50723,265.1116
1990-03-15,259.51474,259.3653,258.9191,258.61398,258.3867,258.11557
1990-03-16,266.41635,265.712,264.712,266.38596,265.59985,264.77078
1990-03-17,274.51443,273.99002,273.17105,275.17523,274.6085,273.99963
1990-03-18,274.61426,274.15466,273.4016,273.59473,273.10492,272.57382
1990-03-19,267.04434,266.6587,265.98056,266.83487,266.40088,265.92645
1990-03-20,266.41623,265.82422,264.94067,266.23438,265.5672,264.86032
1990-03-21,268.33676,267.6935,266.75952,268.47412,267.75397,266.9948
1990-03-22,267.38562,266.49033,265.30508,267.5123,266.576,265.60138
1990-03-23,269.63565,268.74088,267.5569,269.54727,268.5612,267.53748
1990-03-24,273.17108,272.91428,272.36893,272.46,272.1311,271.76523
1990-03-25,266.3545,266.26407,265.88562,266.21762,266.0375,265.82095
1990-03-26,260.81076,260.39246,259.6867,260.63654,260.1693,259.6662
1990-03-27,258.98532,258.60144,257.93048,258.9418,258.46432,257.95145
1990-03-28,260.04425,259.5802,258.8294,259.67273,259.12006,258.5324
1990-03-29,261.54507,261.08167,260.33176,261.2061,260.65063,260.06058
1990-03-30,263.45874,262.8971,262.04913,263.2036,262.54443,261.85098
1990-03-31,272.44058,271.75015,270.77353,272.54755,271.78894,270.9964
1990-04-01,269.21628,268.80206,268.10165,268.58066,268.04892,267.48346
1990-04-02,266.20752,265.7891,265.08438,266.0359,265.56754,265.06567
1990-04-03,268.4193,268.33954,267.97336,268.386,268.24573,268.07217
1990-04-04,265.98264,265.41086,264.55246,265.52716,264.88074,264.20108
1990-04-05,266.9715,266.5723,265.8861,266.44757,265.9456,265.41046
1990-04-06,263.80884,263.31934,262.54254,263.19992,262.64212,262.05118
1990-04-07,267.18213,266.36774,265.2657,267.1471,266.2232,265.26614
1990-04-08,273.59387,273.17297,272.46384,273.0791,272.58267,272.05298
1990-04-09,268.057,267.57364,266.8015,267.88873,267.32208,266.72205
