,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,89.84454,89.32642,88.629845,90.26916,89.73609,89.13467
1990-01-02,75.81021,75.281334,74.55989,75.81082,75.25327,74.56865
1990-01-03,78.13001,78.05766,77.89709,77.63901,77.55059,77.546104
1990-01-04,94.45483,93.98148,93.17751,94.65842,94.199104,93.52694
1990-01-05,94.68994,94.16413,93.13822,95.20759,94.76823,93.96348
1990-01-06,77.27026,76.30987,75.16578,78.04517,77.0288,75.887596
1990-01-07,65.1655,64.246376,63.75004,66.55643,65.57793,64.94506
1990-01-08,75.00337,74.404755,73.86656,74.34815,73.81876,73.45699
1990-01-09,73.32478,72.8598,72.31307,73.40898,72.94874,72.512436
1990-01-10,64.59495,63.66432,63.657722,65.61239,64.56976,64.5164
1990-01-11,68.859825,68.33196,68.44143,69.766235,69.20348,69.25138
1990-01-12,74.178825,73.44947,73.0134,73.880066,73.35034,73.20595
1990-01-13,69.54429,68.30031,67.25662,69.44399,68.18119,67.28686
1990-01-14,70.59526,69.2522,67.996346,72.17693,70.85016,69.55012
1990-01-15,80.5011,79.61439,78.80864,80.69348,79.97466,79.36681
1990-01-16,85.380295,84.79319,83.57862,85.1971,84.711876,83.8
1990-01-17,83.54414,82.49572,81.24362,83.44267,82.54023,81.495995
1990-01-18,77.37205,76.99926,76.4965,77.60693,77.2769,76.93584
1990-01-19,88.13146,87.71756,86.97229,88.15307,87.78506,87.20092
1990-01-20,61.18402,60.459785,60.399296,62.406223,61.622562,61.42756
1990-01-21,82.60135,82.43284,82.093285,82.17431,82.13991,82.05088
1990-01-22,67.734505,67.34859,67.357185,68.282166,67.88827,67.82894
1990-01-23,74.15698,73.75439,73.18026,72.86788,72.51282,72.23486
1990-01-24,74.63668,74.149,73.77944,75.30756,74.738716,74.35555
1990-01-25,86.29257,85.82795,84.98607,86.39865,86.10519,85.500275
1990-01-26,67.13382,66.78665,66.46913,66.26582,65.868,65.65024
1990-01-27,87.752945,86.85391,85.53582,86.567986,85.65851,84.53004
1990-01-28,75.98814,75.18857,74.78063,75.85124,74.75739,74.00886
1990-01-29,71.49492,71.057304,71.7306,72.97615,72.270645,72.41162
1990-01-30,67.08691,66.877205,67.88732,70.22237,69.74719,70.021576
1990-01-31,90.25019,89.76004,88.69104,90.28324,89.68796,88.48223
1990-02-01,80.04549,80.06012,80.682594,80.123146,80.00354,80.522545
1990-02-02,77.89201,77.02085,76.1742,77.97543,77.13679,76.19566
1990-02-03,76.38118,75.46803,74.37433,75.94688,75.08966,74.130035
1990-02-04,77.64025,76.95355,76.00052,78.90502,78.17314,77.17567
1990-02-05,91.2679,90.60339,89.17725,91.8039,91.07103,89.64341
1990-02-06,72.81005,72.860306,72.82239,73.71315,73.76688,73.722435
1990-02-07,81.70777,80.922844,79.57508,81.67114,80.94575,79.71285
1990-02-08,87.57853,87.06789,86.14024,87.6655,87.1193,86.2772
1990-02-09,74.30329,74.540436,75.07868,75.58779,75.702934,76.06302
1990-02-10,87.51504,87.16185,86.76817,87.97849,87.53845,87.07093
1990-02-11,87.704765,87.43167,86.829315,87.212425,86.900314,86.39217
1990-02-12,88.71094,88.751236,88.90879,88.5241,88.50242,88.64687
1990-02-13,71.13743,70.4626,69.474304,71.62192,70.93841,69.93966
1990-02-14,67.336945,66.1348,64.40807,67.209595,66.0113,64.43287
1990-02-15,73.967415,73.93387,73.88727,73.7536,73.6768,73.68896
1990-02-16,86.0394,86.05698,85.60232,86.08899,86.10484,85.681114
1990-02-17,85.15318,85.539665,86.00285,84.19478,84.60703,85.13181
1990-02-18,91.69402,91.82911,91.7244,91.676216,91.758026,91.641075
1990-02-19,65.40742,65.69815,66.19778,65.33433,65.54225,66.00136
1990-02-20,54.54582,54.344883,54.8863,55.242126,54.97591,55.41241
1990-02-21,87.28947,87.1794,87.04582,86.35764,86.27296,86.069176
1990-02-22,60.568245,60.321686,60.23664,61.203255,60.88174,60.76081
1990-02-23,61.017128,60.758568,60.537296,61.40806,61.089043,60.819225
1990-02-24,64.45457,64.60662,64.76948,65.377144,65.3724,65.34605
1990-02-25,71.54886,71.53709,71.29144,71.55667,71.5019,71.20166
1990-02-26,83.830215,83.57512,83.33811,81.09845,80.84484,80.90255
1990-02-27,82.4416,83.08655,83.82489,82.93389,83.50602,84.22802
1990-02-28,70.68777,69.5558,69.14855,70.27973,69.23094,68.98838
1990-03-01,75.39389,75.150475,74.81665,75.93994,75.65,75.33985
1990-03-02,71.73736,70.95578,70.195885,73.478035,72.75225,72.08594
1990-03-03,75.4136,74.72476,73.89826,76.861565,76.118065,75.28092
1990-03-04,74.626465,73.795456,72.96057,74.682175,73.9777,73.41834
1990-03-05,81.78777,81.77911,81.55103,81.98005,82.05155,81.96379
1990-03-06,96.61061,96.0415,94.831665,96.45041,95.96404,95.061035
1990-03-07,93.5551,93.56929,93.51186,93.54311,93.4872,93.437546
1990-03-08,91.57674,91.74707,91.790245,91.50799,91.67775,91.802704
1990-03-09,72.26257,71.825096,71.44241,73.830414,73.35487,72.822945
1990-03-10,87.95439,87.55461,87.056404,89.2677,88.80154,88.116394
1990-03-11,83.24065,83.09222,82.81568,84.35905,84.169685,83.89641
1990-03-12,68.551125,68.37877,68.61736,71.16177,71.024734,71.11515
1990-03-13,81.36454,80.85115,80.35694,81.173805,80.83954,80.44495
1990-03-14,87.24565,87.37255,87.228424,87.000885,87.08822,87.06322
1990-03-15,78.42263,78.12121,78.01528,79.522644,79.20412,79.10014
1990-03-16,79.627464,78.977844,78.34986,81.268715,80.67116,80.09558
1990-03-17,79.849594,79.05188,78.07408,80.93983,80.2429,79.431656
1990-03-18,76.5303,75.681435,74.45626,77.83162,77.12791,76.03079
1990-03-19,71.46635,70.74223,70.02356,73.95862,73.40052,72.65607
1990-03-20,82.6451,81.68696,79.937744,83.027084,82.12526,80.60747
1990-03-21,90.99194,90.24404,88.88829,90.376755,89.65495,88.53557
1990-03-22,79.770805,79.50332,79.150955,80.143776,79.87993,79.61102
1990-03-23,80.10302,79.92043,79.440674,80.61764,80.39626,80.032814
1990-03-24,78.11591,77.699196,76.93884,78.87065,78.51758,77.93347
1990-03-25,77.324615,76.933,76.57717,77.75562,77.422295,77.29479
1990-03-26,76.75235,75.950066,75.364006,77.980865,77.362175,77.004074
1990-03-27,63.085415,62.493034,62.291985,66.9961,66.52509,66.14866
1990-03-28,58.149155,57.765514,57.64118,61.830547,61.498093,61.112255
1990-03-29,63.313267,63.187336,62.880566,63.6304,63.47659,63.25672
1990-03-30,69.17066,68.69491,68.10211,69.93904,69.31312,68.7786
1990-03-31,78.747185,78.14726,77.12074,79.95701,79.22516,78.2159
1990-04-01,59.313145,58.510544,57.186,59.48357,58.744972,57.55588
1990-04-02,75.03262,74.4273,73.35708,74.39233,73.85167,73.00602
1990-04-03,88.27313,88.43287,88.54957,88.97907,89.09593,89.195335
1990-04-04,68.6064,68.68816,68.837204,70.22804,70.31324,70.40099
1990-04-05,65.993484,66.007256,66.1812,67.25222,67.27234,67.38343
1990-04-06,74.046196,73.86741,73.32935,75.11854,75.04692,74.60562
1990-04-07,73.63229,73.92799,74.032196,74.819214,75.09895,75.24161
1990-04-08,75.8102,75.963264,75.9788,75.88235,75.93485,75.85655
1990-04-09,70.87724,72.10702,74.38569,71.31691,72.41557,74.54037
1990-04-10,92.30704,92.51566,92.881,91.629425,91.84098,92.27077
1990-04-11,86.83846,87.36879,88.063805,86.68384,87.12329,87.64108
1990-04-12,75.39719,75.77518,76.51878,76.37683,76.724045,77.23677
1990-04-13,72.82401,72.896,73.28233,73.62099,73.582726,73.79644
1990-04-14,67.77142,68.026855,68.63597,67.07424,67.28455,67.829865
1990-04-15,62.27663,62.88298,64.04068,62.087402,62.57741,63.546677
1990-04-16,87.116196,87.428696,87.428314,85.24022,85.44559,85.59517
1990-04-17,66.35789,66.51416,66.883896,67.242134,67.3418,67.60932
1990-04-18,68.625305,68.94453,69.40186,67.88993,68.16373,68.63146
1990-04-19,64.471756,64.8668,65.427055,64.50189,64.82195,65.27767
1990-04-20,57.749813,57.976425,58.398506,58.219105,58.409332,58.7425
1990-04-21,62.97431,63.015224,63.31135,64.67716,64.58012,64.67902
1990-04-22,56.61442,56.98003,57.757214,56.625107,56.907192,57.545105
1990-04-23,58.235626,58.337265,58.685078,58.50228,58.54616,58.798244
1990-04-24,66.00005,66.35057,66.718765,65.336235,65.5955,65.87811
1990-04-25,70.47582,70.61448,71.00257,70.50713,70.48873,70.75176
1990-04-26,75.21613,75.24773,75.76331,76.313065,76.19773,76.50421
1990-04-27,88.51439,88.964264,89.66975,87.978294,88.3143,88.99528
1990-04-28,74.00975,73.92369,74.48508,76.54823,76.49474,76.956085
1990-04-29,80.24405,79.504845,79.072754,81.07284,80.33626,79.854416
1990-04-30,78.51053,78.62336,79.14359,80.68519,80.798775,81.20481
1990-05-01,72.53123,72.65398,72.82777,74.424416,74.57465,74.682014
1990-05-02,69.60585,69.76942,69.89802,70.57584,70.74724,70.9163
1990-05-03,84.39167,84.49285,85.01539,84.12984,84.16906,84.65122
1990-05-04,96.56086,96.52431,96.4269,95.87881,95.86007,95.875046
1990-05-05,93.440475,93.81977,94.07721,93.48696,93.82858,94.138725
1990-05-06,79.3646,79.64327,79.99294,82.16671,82.402794,82.61086
1990-05-07,77.150085,77.251724,77.24872,79.263306,79.31976,79.14856
1990-05-08,93.47355,93.25218,93.242,93.7896,93.51432,93.40267
1990-05-09,99.00218,99.0821,99.10726,98.68559,98.74998,98.76403
1990-05-10,91.97365,91.95835,92.10574,92.101685,92.122375,92.199646
1990-05-11,83.148155,82.71285,82.96615,82.97603,82.56575,82.89466
1990-05-12,82.03443,82.18813,82.92605,81.311005,81.3724,82.064545
1990-05-13,63.25283,63.52081,65.05849,63.722233,63.853966,65.08939
