,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,1.1089439e-08,9.704038e-09,3.0340573e-08,1.2211168e-08,1.7579554e-08,5.465705e-08
1990-01-02,4.5963708e-07,4.900096e-07,4.6085793e-07,8.5048475e-07,8.877405e-07,8.3024855e-07
1990-01-03,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-04,2.919259e-06,3.1825604e-07,3.089355e-07,3.220413e-06,2.3758976e-07,2.4211735e-07
1990-01-05,0.00027345578,0.00027648915,0.00027350712,0.00033424876,0.00033515503,0.00032517058
1990-01-06,1.50271035e-05,1.382576e-05,1.2981851e-05,1.736844e-05,1.5892687e-05,1.4837809e-05
1990-01-07,1.8170985e-08,1.9325661e-08,1.803133e-08,3.3638326e-08,3.502496e-08,3.249337e-08
1990-01-08,6.6066855e-06,7.059944e-06,7.514727e-06,7.1572254e-06,7.348094e-06,7.5450334e-06
1990-01-09,1.883762e-05,2.2117953e-05,2.576804e-05,1.8582079e-05,2.1645814e-05,2.5569087e-05
1990-01-10,1.2805159e-06,1.1591324e-06,1.1196206e-06,1.7182844e-06,1.4383515e-06,1.3937922e-06
1990-01-11,9.633377e-07,8.1742496e-07,7.628467e-07,7.949544e-07,5.952828e-07,5.523474e-07
1990-01-12,2.387122e-06,1.5523544e-06,1.4501858e-06,3.0237575e-06,2.2274457e-06,2.0694138e-06
1990-01-13,5.4194534e-06,5.036622e-06,4.7420067e-06,6.8055474e-06,6.389924e-06,6.0038947e-06
1990-01-14,1.9474486e-07,1.4931159e-07,1.3935292e-07,2.0546581e-07,1.0876677e-07,1.009265e-07
1990-01-15,1.399332e-05,1.3521416e-05,1.3359435e-05,1.4716793e-05,1.4163211e-05,1.3979463e-05
1990-01-16,2.1073978e-05,2.1502721e-05,2.139192e-05,2.122314e-05,2.1160948e-05,2.088343e-05
1990-01-17,4.2468123e-06,3.8430726e-06,3.678582e-06,7.696752e-06,6.9716584e-06,6.634635e-06
1990-01-18,1.0075215e-06,1.1266168e-06,1.2245906e-06,1.8398507e-06,2.0439788e-06,2.2088657e-06
1990-01-19,0.00018119413,0.00019457113,0.0002028918,0.00017581774,0.00018402634,0.0001901762
1990-01-20,6.3477344e-08,4.3037772e-08,4.054737e-08,1.1770361e-07,7.809684e-08,7.315186e-08
1990-01-21,1.1147927e-05,1.5552074e-05,2.2533495e-05,1.0889707e-05,1.459773e-05,2.0579475e-05
1990-01-22,0.0,5.301721e-08,1.6587734e-07,0.0,6.1813324e-08,1.9228071e-07
1990-01-23,1.676903e-05,1.6944203e-05,1.685932e-05,1.6860831e-05,1.660349e-05,1.6344417e-05
1990-01-24,0.0,4.9984678e-08,1.5636901e-07,0.0,6.040871e-08,1.8789058e-07
1990-01-25,2.0669193e-05,2.0547415e-05,2.0003607e-05,2.157337e-05,2.0948153e-05,2.0257397e-05
1990-01-26,6.979639e-06,8.198478e-06,9.269671e-06,5.863871e-06,6.7242363e-06,7.529067e-06
1990-01-27,3.6935326e-05,4.0038154e-05,4.2465686e-05,2.7636292e-05,2.9205878e-05,3.0811218e-05
1990-01-28,9.716857e-06,9.212034e-06,8.764387e-06,7.5667826e-06,6.7188894e-06,6.3559987e-06
1990-01-29,0.0,3.751873e-08,1.17317796e-07,0.0,2.736639e-08,8.5086974e-08
1990-01-30,0.0,7.765978e-08,2.4280834e-07,0.0,5.664878e-08,1.7611588e-07
1990-01-31,2.1247102e-05,2.3083841e-05,2.4366547e-05,2.1782946e-05,2.271745e-05,2.3324254e-05
1990-02-01,1.728721e-05,1.8900435e-05,1.998931e-05,1.6152168e-05,1.722059e-05,1.8206278e-05
1990-02-02,7.500094e-07,6.8936384e-07,6.425859e-07,5.592595e-07,5.029261e-07,4.6619175e-07
1990-02-03,1.3041596e-08,0.0,0.0,1.9116372e-08,0.0,0.0
1990-02-04,4.7614417e-08,0.0,0.0,3.550625e-08,0.0,0.0
1990-02-05,1.4036607e-06,1.3275023e-06,1.236922e-06,1.2969775e-06,1.1633668e-06,1.0780674e-06
1990-02-06,2.9485125e-07,3.15875e-07,2.9428017e-07,5.473882e-07,5.737776e-07,5.3165235e-07
1990-02-07,0.0,0.0,0.0,0.0,0.0,0.0
1990-02-08,0.00017088508,0.00018609926,0.00019358206,0.00016766878,0.00017773379,0.00018263575
1990-02-09,1.0803997e-06,6.3098346e-06,1.7164395e-05,1.8535844e-06,6.525837e-06,1.6031034e-05
1990-02-10,0.0,0.0,0.0,0.0,0.0,0.0
1990-02-11,0.0,0.0,0.0,0.0,0.0,0.0
1990-02-12,3.991749e-05,4.2035972e-05,4.2600437e-05,4.071388e-05,4.1848496e-05,4.199852e-05
1990-02-13,2.898426e-07,1.3084104e-07,1.7486134e-07,2.1606232e-07,9.546318e-08,1.2692603e-07
1990-02-14,4.5867952e-07,3.6138317e-07,3.3628268e-07,7.372071e-07,6.5640967e-07,6.07709e-07
1990-02-15,3.0308996e-07,3.2497903e-07,3.023632e-07,5.623797e-07,5.902693e-07,5.464205e-07
1990-02-16,0.0,1.4412319e-07,4.4954282e-07,0.0,1.18671366e-07,3.683031e-07
1990-02-17,1.1945907e-07,2.3786875e-07,4.615169e-07,8.901253e-08,2.0395105e-07,4.2941932e-07
1990-02-18,7.87334e-05,8.118915e-05,7.9978694e-05,7.756478e-05,7.845972e-05,7.7195866e-05
1990-02-19,0.0,0.0,0.0,0.0,0.0,0.0
1990-02-20,0.0,0.0,0.0,0.0,0.0,0.0
1990-02-21,1.5221438e-05,1.6279888e-05,1.652756e-05,1.4439702e-05,1.5050294e-05,1.5145922e-05
1990-02-22,3.316292e-07,3.5547066e-07,3.3041712e-07,6.1474987e-07,6.4546197e-07,5.9711994e-07
1990-02-23,0.0,0.0,0.0,0.0,0.0,0.0
1990-02-24,0.0,0.0,0.0,0.0,0.0,0.0
1990-02-25,0.0,1.2356509e-08,3.8496516e-08,0.0,9.010874e-09,2.7943079e-08
1990-02-26,6.048775e-05,5.710193e-05,5.34947e-05,5.2576386e-05,4.7750727e-05,4.4628414e-05
1990-02-27,0.00013471344,0.00015326872,0.00016538108,0.00014187777,0.0001585027,0.00017081214
1990-02-28,6.6099676e-07,0.0,0.0,4.9166044e-07,0.0,0.0
1990-03-01,4.170791e-05,4.508218e-05,4.548159e-05,4.483498e-05,4.7582023e-05,4.7897414e-05
