,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,233.42027,232.11888,231.3683,239.56433,235.35559,233.35715
1990-01-02,223.7101,225.85133,226.37022,230.99326,230.50862,229.65572
1990-01-03,216.34213,218.23944,218.01543,219.44283,218.67554,217.69408
1990-01-04,271.022,270.33527,267.1818,277.67438,273.6756,269.47195
1990-01-05,299.66803,302.4497,300.5225,302.6937,302.00626,299.3296
1990-01-06,249.08044,251.61453,252.27176,251.14066,250.64288,250.44072
1990-01-07,216.72429,218.86107,218.05557,217.10487,216.60063,215.22256
1990-01-08,207.60385,208.6363,207.5636,209.56027,208.03659,206.18172
1990-01-09,248.23383,251.0043,250.11855,250.73366,250.45181,248.62196
1990-01-10,201.04955,203.58849,203.3388,201.46393,201.39433,200.34894
1990-01-11,193.83762,194.04506,191.83966,194.56581,192.21828,189.23026
1990-01-12,200.82797,201.73454,199.96211,203.91228,202.21701,199.81001
1990-01-13,210.48448,212.94145,213.21829,211.7205,211.59515,211.00893
1990-01-14,195.96716,196.90729,194.43997,196.94733,195.19983,191.93794
1990-01-15,212.47865,214.41359,214.61479,215.05688,214.20535,213.4344
1990-01-16,243.28542,244.19925,242.28284,247.65315,245.52513,242.80894
1990-01-17,205.56984,206.98521,206.45288,210.60236,209.40343,207.92249
1990-01-18,226.21297,226.62056,225.6122,231.84166,229.63818,227.4588
1990-01-19,274.49927,275.1192,272.67523,276.61313,273.94022,270.5689
1990-01-20,207.0347,208.5554,208.29672,207.29427,206.04268,204.91287
1990-01-21,235.30699,236.88177,236.01578,237.69405,236.3745,234.56236
1990-01-22,208.83774,210.50484,208.8902,213.33615,212.49461,209.95201
1990-01-23,238.9211,239.55338,237.96123,244.66133,242.35793,239.68503
1990-01-24,194.79694,195.63522,194.76431,195.25177,193.71852,192.05266
1990-01-25,227.00452,226.72716,223.83347,227.13884,224.13776,220.71996
1990-01-26,210.06593,213.01118,213.59706,211.70978,212.19423,212.09021
1990-01-27,221.4357,222.55775,221.36418,221.24179,219.7111,217.77414
1990-01-28,207.77509,207.38672,204.37283,202.84404,200.00905,196.65436
1990-01-29,165.00089,165.78076,165.32146,166.32191,164.98431,163.82573
1990-01-30,167.57893,169.63063,170.44427,170.36848,170.29646,170.35556
1990-01-31,205.10735,204.94505,203.42216,206.65747,204.0299,201.8074
1990-02-01,265.83316,266.27585,263.15802,269.54883,266.75415,262.78983
1990-02-02,220.55392,221.61577,220.03813,223.47076,221.80574,219.48296
1990-02-03,197.32143,197.9134,196.84538,200.35402,198.2921,196.34937
1990-02-04,187.05649,184.6006,182.62865,186.95187,182.35985,179.95302
1990-02-05,228.63011,226.07388,221.95467,228.51675,223.17474,218.64723
1990-02-06,239.32506,241.38127,238.7528,241.18683,240.43379,237.05928
1990-02-07,198.84769,201.97029,204.11581,200.29474,201.15175,202.46709
1990-02-08,256.7753,257.02084,254.46806,257.15558,254.2171,251.01219
1990-02-09,240.53773,243.17126,243.12848,244.44675,244.24649,243.30296
1990-02-10,212.05782,213.9854,214.38504,214.39555,213.60411,213.11133
1990-02-11,220.7816,220.46758,218.40956,226.7978,223.73294,220.3421
1990-02-12,270.8734,272.0422,269.8332,274.80408,272.7802,269.659
