,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
1990-01-01,3.6198833,3.6255429,3.735498,3.7504702,3.748601,3.8203292
1990-01-02,5.172209,5.302334,5.482253,5.233082,5.3526692,5.50333
1990-01-03,4.396529,4.440333,4.525778,4.436314,4.462864,4.5117292
1990-01-04,4.3455596,4.433472,4.5415936,4.444957,4.5203705,4.5848217
1990-01-05,3.7016263,3.8610845,4.3258085,3.3701859,3.48353,3.9261944
1990-01-06,6.5094056,6.5870214,6.6423817,6.480619,6.534376,6.5473275
1990-01-07,5.465311,5.661469,5.869887,5.3439302,5.523007,5.7110534
1990-01-08,4.483953,4.439507,4.4566135,4.710633,4.646359,4.6142554
1990-01-09,6.651133,6.6799564,6.7400384,6.8303604,6.8283396,6.8356247
1990-01-10,7.7093406,7.888141,8.074405,7.5777845,7.7257204,7.8763127
1990-01-11,4.9095497,4.9801455,5.146166,4.7141805,4.749239,4.886712
1990-01-12,7.110357,7.156811,7.2217793,7.174493,7.1755114,7.1855283
1990-01-13,6.5377316,6.7565975,7.042784,6.429902,6.613591,6.8545933
1990-01-14,5.3636575,5.527819,5.7260637,5.1149735,5.226847,5.3836474
1990-01-15,5.2982383,5.363896,5.502384,5.370552,5.4003654,5.4948497
1990-01-16,4.722159,4.7976685,4.9609838,4.690864,4.7355413,4.8448796
1990-01-17,2.9349031,3.0187743,3.1804597,3.044715,3.0976303,3.2176082
1990-01-18,2.2912364,2.3519874,2.5025265,2.411769,2.4651103,2.5861282
1990-01-19,6.5433326,6.522348,6.5964026,6.6105676,6.56848,6.5860944
1990-01-20,7.5620193,7.836191,8.196785,7.460215,7.706603,8.029741
1990-01-21,3.1761956,3.140812,3.2096667,3.4239283,3.3728616,3.390136
1990-01-22,6.661087,6.842008,7.0126805,6.605104,6.7406173,6.850388
1990-01-23,5.186571,5.3453374,5.6102133,5.205988,5.3329387,5.5357165
1990-01-24,4.482057,4.6922326,4.996628,4.3036866,4.4995,4.7727556
1990-01-25,5.0497346,5.119891,5.2394476,5.162704,5.207114,5.2737775
1990-01-26,5.4474473,5.626332,5.8723516,5.4996243,5.6518025,5.8588986
1990-01-27,2.9386709,3.1313634,3.4298763,3.0202935,3.1855426,3.4400365
1990-01-28,3.487204,3.714452,4.1813965,3.6671681,3.8783484,4.3055677
1990-01-29,6.9735646,7.2874727,7.7230854,6.956909,7.2367873,7.6263785
1990-01-30,6.9702363,7.3615284,7.797984,6.841777,7.199463,7.6066103
1990-01-31,2.9400194,2.9689415,3.1324337,3.0446239,3.0621192,3.1925244
1990-02-01,5.0355916,5.074424,5.07296,5.115386,5.1470556,5.131027
1990-02-02,3.0959508,3.2597487,3.4855993,3.012377,3.172607,3.4074938
1990-02-03,4.729649,4.9015536,5.1510496,4.6766763,4.8267517,5.0375075
1990-02-04,2.9207623,3.111505,3.514649,2.8251302,3.011729,3.3867092
1990-02-05,2.7738965,2.7901511,2.8839092,2.6267083,2.6339803,2.70965
1990-02-06,4.988531,5.0976353,5.136256,4.8904853,4.9812193,4.9888434
1990-02-07,3.009877,3.062218,3.1747124,2.9407396,2.97112,3.0539541
1990-02-08,5.680893,5.830418,6.065692,5.4287314,5.5632353,5.763529
1990-02-09,5.0977435,5.1475525,5.232309,4.6326647,4.6511703,4.6949377
1990-02-10,2.4627569,2.5180292,2.6483116,2.3899226,2.4383616,2.5575612
1990-02-11,2.8621318,2.9163992,3.0190728,2.93092,2.9760423,3.0516005
1990-02-12,4.20219,4.2500753,4.314715,4.261585,4.299273,4.335007
1990-02-13,4.91821,5.0351777,5.245999,4.8495007,4.9478865,5.1315722
1990-02-14,5.794761,5.8993883,6.071213,5.887135,5.9681654,6.1034374
1990-02-15,1.8595866,1.9137564,2.015915,1.8345205,1.8783187,1.9786901
1990-02-16,2.599024,2.7273233,3.0600173,2.6379857,2.7318635,3.0039616
1990-02-17,4.5443697,4.4563284,4.3709626,4.793692,4.7138586,4.6050663
1990-02-18,4.8016386,4.843197,4.920924,4.980784,5.017377,5.0642424
1990-02-19,3.8381364,3.921384,3.9978013,3.7970226,3.8677788,3.9353647
1990-02-20,3.468177,3.5992875,3.7843401,3.41613,3.5389364,3.7173796
1990-02-21,4.054983,4.0125074,4.0852385,4.2838426,4.2296824,4.269922
1990-02-22,7.6139054,7.770228,7.962651,7.7337413,7.8788066,8.040492
1990-02-23,5.0544896,5.2381783,5.4817095,5.014374,5.1848874,5.4134088
1990-02-24,5.433372,5.6156273,5.856636,5.3328414,5.480904,5.678466
1990-02-25,4.252432,4.411068,4.6883416,4.0679746,4.189128,4.4210954
1990-02-26,6.6678305,6.796292,6.9185457,6.7663713,6.867187,6.921321
