site,supplies,area_km2,meanVPD,meanT,meanSM,bvpd_present,bvpd_early,reorg,bsm_present,brg_present,blai_present,bvperp_present,bvperp_early,reorg_ortho
Cannonsville NY,New York City,1168.848,0.525671235,16.80891502,0.330150598,0.72567172,-0.31986784,1.04553956,0.845990301,0.415702259,0.142595848,0.492651453,-0.192568437,0.68521989
Sebago ME,Portland,1117.476,0.592860806,17.15309285,0.224742131,0.269331386,0.036937345,0.23239404,0.386210621,0.717463044,0.173873705,0.184526337,0.021634102,0.162892235
Quabbin MA,Boston,484.519,0.676798799,17.78730015,0.199438978,0.488672664,0.483070716,0.005601947,0.482131862,0.62816915,0.049617144,0.373852593,0.29689785,0.076954743
Wachusett MA,Boston,312.271,0.671964719,17.78101162,0.198359189,0.403672132,0.377974781,0.025697351,0.541388296,0.60109389,0.172342151,0.302262515,0.229655672,0.072606843
Scituate RI,Providence,243.02,0.642504313,17.90205371,0.198234998,0.549455979,0.088855673,0.460600306,0.662409281,0.591964853,-0.014676175,0.431304552,0.056080864,0.375223688
Barkhamsted CT,Hartford,136.707,0.605212756,17.42212073,0.215772878,0.62768373,0.279015487,0.348668243,0.605009436,0.589751657,0.045461148,0.476797783,0.186189074,0.290608709
Massabesic NH,Manchester,120.72,0.71589742,18.01106218,0.184111026,0.236742597,0.147156225,0.089586372,0.579601813,0.792557971,-0.236509828,0.173944681,0.090561319,0.083383362
Hemlock-Canadice NY,Rochester,143.169,0.598158571,17.30831612,0.335716053,0.174085648,-0.415474274,0.589559922,0.899734839,0.489230097,0.075394027,0.118657526,-0.234128509,0.352786035
Alcove NY,Albany,87.232,0.598555549,17.66876594,0.329278646,0.570235178,-0.075436119,0.645671298,0.513787546,0.408377172,0.152827268,0.412181882,-0.050820956,0.463002838
Hinckley NY,Utica,960.019,0.479318666,16.13775883,0.23780728,0.540529389,0.421081227,0.119448163,0.553373753,0.5175411,0.231598348,0.334745806,0.230510911,0.104234895
